id,unique_id_l,unique_id_r,company_name_l,company_name_r,matches
774277,28806,75953,374water,374Water,true
1106822,39793,103527,374Water,374Water,true
1129584,41603,79495,3A Antioxidants,3A Antioxidants,true
1129378,41394,79286,3A Informatica,3A Informatica,true
378722,16505,95238,3D Systems,3D Systems,true
785858,29906,140568,3d Systems,3d Systems Corporation,true
3754408,140568,151782,3d Systems Corporation,3D Systems,true
3611456,129555,151782,3D SYSTEMS CORPORATION,3D Systems,true
1129569,41588,79480,3E Studio,3E Studio,true
3480756,122509,134289,3i group,3I GROUP,true
2056436,71365,135291,3i Group,3i Group,true
2278705,79953,124292,3I GROUP,3I GROUP,true
1613434,55606,63972,3i Group plc,3i Group,true
2972010,109315,122509,3i Group Plc,3i group,true
499586,20583,141529,3i Infotech,3i Infotech,true
2544697,86193,138691,3I INFOTECH,3i Infrastructure,false
1100014,38995,86193,"3i Infotech
",3I INFOTECH,true
3735581,138691,141529,3i Infrastructure,3i Infotech,false
2368183,83361,130526,3I INFRASTRUCTURE,3I INFOTECH,false
3502244,123133,138691,3i infrastructure,3i Infrastructure,true
1611686,55680,83361,3I Infrastructure plc,3I INFRASTRUCTURE,true
623192,25665,148209,3m,3M,true
827369,31609,60302,3M,3M,true
3684928,135016,160379,3m Company,3M COMPANY,true
2188891,77687,105123,3M Company,3M Company,true
2220911,79675,134011,3M COMPANY,3M COMPANY,true
745805,26869,139090,3m India,3m India,true
2736063,93861,155206,3M India,3M India,true
2364826,83762,155206,3M INDIA,3M India,true
3844884,160382,163839,3M INNOVATIVE PROPERTIES COMPANY,3M INNOVATIVE PROPERTIES COMPANY,true
3826888,159440,162587,3P LOGISTICS OU,3P LOGISTICS OU,true
2271090,81667,137005,3PEAK INCORPORATED,3peak Incorporated,true
777860,30426,74482,3r Petroleum,3R Petroleum,true
490210,22403,74482,3R Petroleum,3R Petroleum,true
1317513,46431,95163,3R Petroleum ÃƒÂ“leo e GÃƒÂ¡s SA,3R Petroleum,true
2448081,86013,141349,3SBIO,3sbio,true
2023559,65682,79323,3zehn Auto Discount,3zehn Auto Discount,true
783320,29279,102928,4d Molecular Therapeutics,4D Molecular Therapeutics,true
379452,17243,75282,4D Molecular Therapeutics,4D Molecular Therapeutics,true
2615441,89273,144609,4IMPRINT GROUP,4imprint Group,true
1611823,55889,144609,4imprint Group plc,4imprint Group,true
2023997,66504,67568,4Most Group Holdings,4most Group Holdings,true
166023,11345,131956,4Paradigm,4PARADIGM,true
3652903,131956,142962,4PARADIGM,4paradigm,true
1102933,40834,65803,4Streets Building Innovation Tunnels Bridges Roads,4Streets Building Innovation Tunnels Bridges Roads,true
3845022,160723,162468,"5.11, INC.","5.11, INC.",true
1132592,41312,67746,50NRTH,50NRTH,true
2447091,84559,139893,51JOB,51job,true
162975,11799,32549,56PINGTAI,56PINGTAI,true
163016,11841,32499,58 Daojia,58 Daojia,true
3027996,112581,117644,5D UK OPERATIONS LTD,5D UK REAL ESTATE LTD,true
3028795,112580,117643,5D UK REAL ESTATE LTD,5D UK OPERATIONS LTD,true
776466,28993,39374,5e Advanced Materials,5E Advanced Materials,true
2787540,96441,103264,5E Advanced Materials,5E Advanced Materials,true
2613905,88647,143985,5I5J HOLDING GROUP,5i5j Holding Group,true
162756,11570,32783,5ire,5ire,true
434865,20435,46772,5th Planet Games,5th Planet Games A/S,true
1316802,46772,97589,5th Planet Games A/S,5th Planet Games,true
108215,8089,8135,6D Technologies,6D Technologies,true
129861,9234,11014,6Sense,6Sense,true
600043,25966,98305,7-eleven,7-Eleven,true
428922,18525,98305,7-Eleven,7-Eleven,true
2024547,67407,68756,7Layers,7Layers,true
782422,29529,154634,7road,7Road,true
377138,16945,95622,7Road,7Road,true
2684528,90157,145495,7ROAD HOLDINGS,7road Holdings,true
2027458,65973,121943,84codes,84codes.com,true
1132511,41164,66811,84codes.com,84codes,true
3652192,131758,142760,888 HOLDINGS,888 Holdings,true
2889979,106318,131758,888 Holdings Plc,888 HOLDINGS,true
2876079,103329,153354,89bio,89bio,true
1130685,41483,70212,89up,89up,true
497863,21484,130678,8x8,8X8,true
2542136,86352,141680,8X8,8x8,true
739313,28659,39577,908 Devices,908 Devices,true
2614103,89036,144376,"91APP, INC.","91app, Inc.",true
78897,5421,5433,99acres,99acres,true
3833787,158244,158249,A & A & A LTD,A & A AQUATICS LTD,false
3831075,158235,158261,A & A ACCOUNTANTS LIMITED,A & A BANERJEE LTD,false
3834014,158238,158247,A & A ACCOUNTING SOLUTIONS LIMITED,A & A APPLIANCES LIMITED,false
3834015,158239,158247,A & A ACQUISTIONS LIMITED,A & A APPLIANCES LIMITED,false
3832263,158240,158256,A & A ADMINISTRATION LIMITED,A & A AUTO ELECTRICAL LTD,false
3830403,158241,158263,A & A AGRICULTURAL CONTRACTORS AND PLANT HIRE LTD,A & A BAU LIMITED,false
3832796,158242,158254,A & A AGRICULTURE LIMITED,A & A ASSETS LTD,false
3833788,158245,158249,A & A AND SONS ROOFING LTD,A & A AQUATICS LTD,false
3831083,158246,158261,A & A APPLIANCE CARE LIMITED,A & A BANERJEE LTD,false
3829263,158247,158267,A & A APPLIANCES LIMITED,A & A BIRD HOLDINGS LTD,false
3829264,158249,158267,A & A AQUATICS LTD,A & A BIRD HOLDINGS LTD,false
3828333,158250,158270,A & A ARABLE LIMITED,A & A BUILDING SURVEYORS LIMITED,false
3831087,158252,158261,A & A ASHCROFT LIMITED,A & A BANERJEE LTD,false
3827117,158253,158272,A & A ASSET MANAGEMENT LTD,A & A BUSINESS SUPPLIES LIMITED,false
3829672,158254,158265,A & A ASSETS LTD,A & A BEAUTY TRAINING LTD,false
3828338,158256,158270,A & A AUTO ELECTRICAL LTD,A & A BUILDING SURVEYORS LIMITED,false
3831090,158255,158261,A & A AUTOCARE LIMITED,A & A BANERJEE LTD,false
3830416,158257,158263,A & A AUTOMATICS LIMITED,A & A BAU LIMITED,false
3830766,158258,158262,A & A AUTOMOTIVE SERVICES LTD,A & A BARR,false
3830061,158260,158264,A & A BAILEY LTD,A & A BEAUTY LTD,false
3829274,158261,158267,A & A BANERJEE LTD,A & A BIRD HOLDINGS LTD,false
3827125,158262,158272,A & A BARR,A & A BUSINESS SUPPLIES LIMITED,false
3827126,158263,158272,A & A BAU LIMITED,A & A BUSINESS SUPPLIES LIMITED,false
3827780,158264,158271,A & A BEAUTY LTD,A & A BUSINESS SOLUTIONS LTD,false
3827128,158265,158272,A & A BEAUTY TRAINING LTD,A & A BUSINESS SUPPLIES LIMITED,false
3827129,158267,158272,A & A BIRD HOLDINGS LTD,A & A BUSINESS SUPPLIES LIMITED,false
3828348,158269,158270,A & A BROWN LIMITED,A & A BUILDING SURVEYORS LIMITED,false
3826265,158270,158273,A & A BUILDING SURVEYORS LIMITED,A & A CABLES LTD,false
3826266,158271,158273,A & A BUSINESS SOLUTIONS LTD,A & A CABLES LTD,false
3826267,158272,158273,A & A BUSINESS SUPPLIES LIMITED,A & A CABLES LTD,false
3830002,157883,157891,A A & A AUTOS LTD,A A & E SERVICES LTD,false
3827657,157885,157896,A A & A INVESTMENTS LIMITED,A A & K LETTINGS LIMITED,false
3830721,157887,157889,A A & A STEPHEN (BURPHAM) LTD.,A A & B LTD,false
3829614,157889,157892,A A & B LTD,A A & EVA LIMITED,false
3830006,157890,157891,A A & D FRASER LIMITED,A A & E SERVICES LTD,false
3827661,157891,157896,A A & E SERVICES LTD,A A & K LETTINGS LIMITED,false
3826058,157892,157898,A A & EVA LIMITED,A A & S J FAULKNER LIMITED,false
3826059,157893,157898,A A & F LTD,A A & S J FAULKNER LIMITED,false
3826978,157894,157897,A A & G M ENTERPRISES LTD,A A & S INVESTMENTS LLP,false
3826061,157895,157898,A A & K ENTERPRISES LIMITED,A A & S J FAULKNER LIMITED,false
3826980,157896,157897,A A & K LETTINGS LIMITED,A A & S INVESTMENTS LLP,false
3826063,157897,157898,A A & S INVESTMENTS LLP,A A & S J FAULKNER LIMITED,false
3827652,157878,157908,A A A CURRY HOUSE LTD,A A A SCAFFOLD LIMITED,false
3826967,157880,157909,A A A EAGLES LTD,A A A SCAFFOLD YORKSHIRE LTD,false
3826049,157881,157910,A A A LETTING & MAINTENANCE LTD,A A A S ENTERPRISE LTD,false
3826969,157882,157909,A A A MOTORS LIMITED,A A A SCAFFOLD YORKSHIRE LTD,false
3826984,157908,157909,A A A SCAFFOLD LIMITED,A A A SCAFFOLD YORKSHIRE LTD,false
3826069,157909,157910,A A A SCAFFOLD YORKSHIRE LTD,A A A S ENTERPRISE LTD,false
3826981,157900,157901,A A AND T (WM) LTD,A A AND Z PROPERTIES LTD,false
3826065,157901,157903,A A AND Z PROPERTIES LTD,A A ANYAMELE & SONS LIMITED,false
3826070,157911,157912,A A AUTOS SLOUGH LIMITED,A A AUTOVAN LEISURE LTD,false
3826987,157918,157926,A A B AUTOMOTIVE LIMITED,A A B ELECTRICAL AND PLUMBING CONTRACTORS LTD,false
3826988,157920,157926,A A B COMMUNICATION LIMITED,A A B ELECTRICAL AND PLUMBING CONTRACTORS LTD,false
3826078,157926,157929,A A B ELECTRICAL AND PLUMBING CONTRACTORS LTD,A A B ESTATES LIMITED,false
3826071,157913,157916,A A BAH LIMITED,A A BALLANTYNE (PROPERTIES) LTD,false
3826986,157914,157915,A A BAILEY LTD,A A BAKERS (SCOTLAND) LTD.,false
3826073,157915,157916,A A BAKERS (SCOTLAND) LTD.,A A BALLANTYNE (PROPERTIES) LTD,false
3826077,157924,157928,A A BEER LIMITED,A A BESPOKE WOODWORK LTD,false
3826079,157931,157933,A A BOILERS LTD,A A BOND & SONS LIMITED,false
3826080,157932,157933,A A BOLTON PROPERTIES LTD,A A BOND & SONS LIMITED,false
3827670,157934,157936,A A BRADLEY BUILDERS LIMITED,A A BRAMLEY LIMITED,false
3826082,157936,157938,A A BRAMLEY LIMITED,A A BROWN LIMITED,false
3826083,157937,157938,A A BROTHERS LIMITED,A A BROWN LIMITED,false
3826084,157941,157945,A A BUCKINGHAM LIMITED,A A BUTLER SECURITY LTD,false
3826085,157942,157945,A A BUILDERS MANCHESTER LIMITED,A A BUTLER SECURITY LTD,false
3826086,157943,157945,A A BUILDING SERVICES LIMITED,A A BUTLER SECURITY LTD,false
3826087,157944,157945,A A BUSH ELECTRICAL LIMITED,A A BUTLER SECURITY LTD,false
3827679,157956,157958,A A C CARMEN LTD,A A C FINANCE LIMITED,false
3826097,157958,157979,A A C FINANCE LIMITED,A A C RENEWABLES & PLUMBING LIMITED,false
3826102,157976,157979,A A C PERFORMANCE LTD,A A C RENEWABLES & PLUMBING LIMITED,false
3828254,157947,157952,A A CANNON LIMITED,A A CARROTS LIMITED,false
3826996,157948,157954,A A CANOPIES & VENTILATION SERVICES LTD,A A CASTLE LTD,false
3826090,157949,157955,A A CANOPY AND VENTILATION CLEANING LTD,A A CATERING EQUIPMENT SERVICES LIMITED,false
3826091,157950,157955,A A CARPENTRY & BUILDERS LIMITED,A A CATERING EQUIPMENT SERVICES LIMITED,false
3826999,157951,157954,A A CARPETS AND FURNITURE STORE LIMITED,A A CASTLE LTD,false
3827000,157952,157954,A A CARROTS LIMITED,A A CASTLE LTD,false
3826094,157953,157955,A A CARS (NW) LTD,A A CATERING EQUIPMENT SERVICES LIMITED,false
3826095,157954,157955,A A CASTLE LTD,A A CATERING EQUIPMENT SERVICES LIMITED,false
3826098,157959,157960,A A CHAPMAN LTD,A A CHEFANI LIMITED,false
3830373,157966,157968,A A COLLINS ELECTRICAL LIMITED,A A COMMERCIAL PROPERTIES LTD,false
3827684,157968,157974,A A COMMERCIAL PROPERTIES LTD,A A COOLING LIMITED,false
3828767,157969,157972,A A COMMUNICATIONS (LEICESTER) LTD,A A CONSULTANCY 1 LIMITED,false
3827010,157970,157975,A A CONSORTIUM LTD,A A COOPER LTD,false
3828769,157971,157972,A A CONSTABLE LTD,A A CONSULTANCY 1 LIMITED,false
3827013,157973,157975,A A CONSULT SERVICES PRO LTD,A A COOPER LTD,false
3827012,157972,157975,A A CONSULTANCY 1 LIMITED,A A COOPER LTD,false
3827014,157974,157975,A A COOLING LIMITED,A A COOPER LTD,false
3826103,157978,157980,A A CREATVIE LTD,A A CROYDON HOLDINGS LIMITED,false
3826104,157981,157982,A A CUNNINGHAM LIMITED,A A CURRIES IN A HURRY LTD,false
3827017,157997,158003,A A D HEATING LIMITED,A A D PLUMBING LTD,false
3826112,158003,158005,A A D PLUMBING LTD,A A D SURVEYING SERVICES LIMITED,false
3827690,157992,157994,A A DECORATORS LIMITED,A A DELIGHTS LIMITED,false
3827016,157994,157995,A A DELIGHTS LIMITED,A A DELIVERY EXPRESS LTD,false
3826109,157995,157996,A A DELIVERY EXPRESS LTD,A A DEVELOPMENTS CORNWALL LIMITED,false
3826111,157998,157999,A A DIPS LIMITED,A A DIXON LTD,false
3827020,158013,158014,A A ELECTRICAL (EAST ANGLIA) LTD,A A ELECTRICAL INSTALLATIONS LTD,false
3826114,158012,158015,A A ELECTRICAL CONTRACTORS (SOLWAY) LIMITED,A A ELECTRICAL SERVICES LIMITED,false
3826116,158014,158015,A A ELECTRICAL INSTALLATIONS LTD,A A ELECTRICAL SERVICES LIMITED,false
3826118,158021,158022,A A EXPRESS SOLUTIONS LIMITED,A A EXPRESS TRAVEL LTD,false
3826119,158023,158031,A A F ACCOUNTANCY LTD,A A F PROPERTIES LTD,false
3826122,158029,158031,A A F M S LIMITED,A A F PROPERTIES LTD,false
3826120,158024,158025,A A FASHIONWEAR LTD,A A FAYLI LTD,false
3826123,158032,158035,A A FREEMAN & SON LTD,A A FROZEN FOOD LIMITED,false
3826130,158050,158055,A A G L TRADING LIMITED,A A G TRAINING AND CONSULTANCY LIMITED,false
3826132,158053,158055,A A G RENTALS LIMITED,A A G TRAINING AND CONSULTANCY LIMITED,false
3827023,158037,158039,A A GARAGE LTD,A A GARDNER & SONS LIMITED,false
3827024,158038,158039,A A GARDEN SERVICES LIMITED,A A GARDNER & SONS LIMITED,false
3826127,158039,158040,A A GARDNER & SONS LIMITED,A A GAS (MIDLANDS) LTD,false
3826128,158043,158044,A A GILL LIMITED,A A GILLESPIE LIMITED,false
3828270,158045,158048,A A GLAZE LIMITED,A A GLOBAL ENTERPRISE LIMITED,false
3828271,158046,158048,A A GLAZING (BRISTOL) LIMITED,A A GLOBAL ENTERPRISE LIMITED,false
3826131,158052,158054,A A GREERE LTD,A A GROUP UK HOLDINGS LIMITED,false
3827032,158067,158106,A A H ENGINEERING SERVICES  LIMITED,A A H PLANNING CONSULTANTS LTD,false
3827033,158070,158106,A A H IMPROVEMENTS LIMITED,A A H PLANNING CONSULTANTS LTD,false
3827034,158071,158106,A A H L LTD,A A H PLANNING CONSULTANTS LTD,false
3826173,158106,158107,A A H PLANNING CONSULTANTS LTD,A A H SOFTWARE LTD,false
3827027,158058,158063,A A HAIR LTD,A A HAULAGE LIMITED,false
3827029,158060,158063,A A HALAL MEAT & GROCERY LTD,A A HAULAGE LIMITED,false
3827028,158059,158063,A A HALAL MEAT LIMITED,A A HAULAGE LIMITED,false
3826137,158062,158064,A A HASSIM INVESTMENTS LIMITED,A A HAZARA BUILDERS LTD,false
3826138,158063,158064,A A HAULAGE LIMITED,A A HAZARA BUILDERS LTD,false
3826140,158068,158069,A A HENRY LIMITED,A A HENRY & SONS LIMITED,false
3826171,158103,158105,A A HOMES (YORKSHIRE) LTD,A A HOWARD LIMITED,false
3830743,158094,158096,A A HOMES AND HOUSING ( LESLIE ) LIMITED,A A HOMES AND HOUSING ( METRO POINT ) LIMITED,false
3830035,158096,158098,A A HOMES AND HOUSING ( METRO POINT ) LIMITED,A A HOMES AND HOUSING ( NORTH WEST) LTD,false
3826166,158098,158105,A A HOMES AND HOUSING ( NORTH WEST) LTD,A A HOWARD LIMITED,false
3828790,158091,158101,A A HOMES AND HOUSING (5 SYDENHAM ROAD) LIMITED,A A HOMES AND HOUSING (SUTTON) LTD,false
3833776,158080,158085,A A HOMES AND HOUSING (AYLESBURY) LIMITED,A A HOMES AND HOUSING(COOMBE FARM) LTD,false
3829226,158081,158100,A A HOMES AND HOUSING (BASILDON) LIMITED,A A HOMES AND HOUSING (PREMIER) LIMITED,false
3830384,158086,158097,A A HOMES AND HOUSING (COOMBE LODGE) LTD,A A HOMES AND HOUSING (METRO POINT) PROPERTY LIMITED,false
3829639,158087,158099,A A HOMES AND HOUSING (CROYDON) LIMITED,A A HOMES AND HOUSING (PORTSMOUTH) LIMITED,false
3829640,158088,158099,A A HOMES AND HOUSING (CROYDON) PROPERTY LIMITED,A A HOMES AND HOUSING (PORTSMOUTH) LIMITED,false
3829641,158089,158099,A A HOMES AND HOUSING (CYGNET HOUSE) LIMITED,A A HOMES AND HOUSING (PORTSMOUTH) LIMITED,false
3828789,158090,158101,A A HOMES AND HOUSING (EXCHANGE COURT) LIMITED,A A HOMES AND HOUSING (SUTTON) LTD,false
3829240,158095,158100,A A HOMES AND HOUSING (LIVERPOOL ) LIMITED,A A HOMES AND HOUSING (PREMIER) LIMITED,false
3829649,158097,158099,A A HOMES AND HOUSING (METRO POINT) PROPERTY LIMITED,A A HOMES AND HOUSING (PORTSMOUTH) LIMITED,false
3828798,158099,158101,A A HOMES AND HOUSING (PORTSMOUTH) LIMITED,A A HOMES AND HOUSING (SUTTON) LTD,false
3827059,158100,158104,A A HOMES AND HOUSING (PREMIER) LIMITED,A A HOUSING LIMITED,false
3828301,158101,158102,A A HOMES AND HOUSING (SUTTON) LTD,A A HOMES AND HOUSING(TRAFALGAR) LTD,false
3833041,158082,158088,A A HOMES AND HOUSING BASILDON PROPERTY LTD,A A HOMES AND HOUSING (CROYDON) PROPERTY LIMITED,false
3832786,158084,158089,A A HOMES AND HOUSING CONSTRUCTION LTD,A A HOMES AND HOUSING (CYGNET HOUSE) LIMITED,false
3831070,158092,158095,A A HOMES AND HOUSING GUILDHALL (PORTSMOUTH) LIMITED,A A HOMES AND HOUSING (LIVERPOOL ) LIMITED,false
3830377,158079,158097,A A HOMES AND HOUSING LTD,A A HOMES AND HOUSING (METRO POINT) PROPERTY LIMITED,false
3827052,158093,158104,A A HOMES AND HOUSING( HIPPODROME) LTD,A A HOUSING LIMITED,false
3829228,158083,158100,A A HOMES AND HOUSING(COACH HOUSE) LTD,A A HOMES AND HOUSING (PREMIER) LIMITED,false
3831063,158085,158095,A A HOMES AND HOUSING(COOMBE FARM) LTD,A A HOMES AND HOUSING (LIVERPOOL ) LIMITED,false
3827727,158102,158103,A A HOMES AND HOUSING(TRAFALGAR) LTD,A A HOMES (YORKSHIRE) LTD,false
3833037,158078,158088,A A HOMES LTD,A A HOMES AND HOUSING (CROYDON) PROPERTY LIMITED,false
3826172,158104,158105,A A HOUSING LIMITED,A A HOWARD LIMITED,false
3827730,158113,158118,A A INDEPENDENT TELEVISION PRODUCTIONS LIMITED,A A INTEGRATED LIMITED,false
3826178,158115,158120,A A INSTALLATION SERVICES LIMITED,A A INTERPRETING SERVICE LTD,false
3827731,158114,158118,A A INSTALLATIONS LIMITED,A A INTEGRATED LIMITED,false
3827068,158118,158119,A A INTEGRATED LIMITED,A A INTERNATIONAL LTD,false
3826180,158119,158120,A A INTERNATIONAL LTD,A A INTERPRETING SERVICE LTD,false
3826185,158128,158131,A A J BUILDING SERVICES LTD,A A J R SOLUTIONS LIMITED,false
3826183,158124,158127,A A JACOB LTD,A A JAMAL TAX CONSULTANTS LIMITED,false
3826186,158129,158130,A A JEWELLERS LTD,A A JEWITT AND SONS LIMITED,false
3826187,158136,158137,A A K HAULAGE LIMITED,A A K HEALTHCARE LIMITED,false
3826188,158141,158142,A A KRISH MEDICS LIMITED,A A KRUPSKI LTD,false
3826189,158143,158145,A A LATE SHOP LIMITED,A A LAW (LANCASHIRE) LTD,false
3827079,158179,158180,A A LOCUMS (WIDNES) LIMITED,A A LONDON MIMI MARKET LTD,false
3826205,158180,158181,A A LONDON MIMI MARKET LTD,A A LOVELL LTD,false
3826219,158206,158225,A A M BUSINESS SOLUTIONS LTD,A A M SOLUTIONS LTD,false
3826220,158207,158225,A A M CONSTRUCTION LIMITED,A A M SOLUTIONS LTD,false
3830038,158191,158197,A A MACDONALD JOINERY & BUILDING CONTRACTOR LIMITED,A A MARIAN LTD,false
3830037,158190,158197,A A MACDONALD LIMITED,A A MARIAN LTD,false
3826209,158192,158204,A A MACFARLANE ASSOCIATES LIMITED,A A MAX LTD,false
3827741,158193,158202,A A MACHIN ELECTRICAL SERVICES LTD,A A MASON (CONSULTING) LTD,false
3829655,158194,158198,A A MAGDUM LTD,A A MARQUEES LIMITED,false
3828806,158197,158200,A A MARIAN LTD,A A MARTIAL ARTS LIMITED,false
3828313,158198,158201,A A MARQUEES LIMITED,A A MASON LIMITED,false
3827745,158199,158202,A A MARRIOTT LIMITED,A A MASON (CONSULTING) LTD,false
3827088,158200,158203,A A MARTIAL ARTS LIMITED,A A MASSEN TRADING LIMITED,false
3827090,158202,158203,A A MASON (CONSULTING) LTD,A A MASSEN TRADING LIMITED,false
3827089,158201,158203,A A MASON LIMITED,A A MASSEN TRADING LIMITED,false
3826218,158203,158204,A A MASSEN TRADING LIMITED,A A MAX LTD,false
3826221,158208,158209,A A MECHANISE LIMITED,A A MEDICAL FINANCE SOLUTIONS LIMITED,false
3826222,158213,158214,A A MILLER & SON LTD,A A MIXERS LIMITED,false
3828316,158215,158219,A A MODLINSKI CONSULTANCY LIMITED,A A MOORLEY LIMITED,false
3829253,158216,158217,A A MOLYNEUX BUILDERS LIMITED,A A MOLYNEUX RENTALS LIMITED,false
3826225,158217,158224,A A MOLYNEUX RENTALS LIMITED,"A A MOT CENTRE, LIMITED",false
3826226,158218,158224,A A MOORE & SON LTD,"A A MOT CENTRE, LIMITED",false
3826227,158219,158224,A A MOORLEY LIMITED,"A A MOT CENTRE, LIMITED",false
3826228,158220,158224,A A MORRISON LTD,"A A MOT CENTRE, LIMITED",false
3826229,158223,158224,A A MOSHARAF LTD,"A A MOT CENTRE, LIMITED",false
3827753,158228,158229,A A NAILS LIMITED,A A NAJI TRANSPORT LIMITED,false
3827099,158229,158230,A A NAJI TRANSPORT LIMITED,A A NAJI TRANSPORT LTD,false
3826232,158230,158232,A A NAJI TRANSPORT LTD,A A NATHU LIMITED,false
3826076,157922,157923,A ABDULLAH LOGISTICS LIMITED,A ABDURRAHMAN IT CONSULTANT LTD,false
3826105,157983,157986,A ADAM LTD,A ADAMS SUPERVISORY SOLUTIONS LIMITED,false
3826117,158019,158020,A AESTHETIC CLINIC LONDON LTD,A AESTHETICS TREATMENTS LTD,false
3826124,158033,158034,A AFRIDI LIMITED,A AFRIYIE LTD,false
3827035,158074,158075,A AHMED CONSULTING LTD,A AHMED MEDICAL LTD,false
3826144,158075,158076,A AHMED MEDICAL LTD,A AHMED SOLUTIONS LTD,false
3826181,158121,158122,A AIRD ASSOCIATES LIMITED,A AIRD EXCHANGE LTD,false
3826184,158125,158126,A AJADI CONSULTING LTD,A AJADI PROPERTY MANAGEMENT LTD,false
3827733,158152,158154,A ALEXANDER BUILDERS LIMITED,A ALEXANDER PLUMBING AND HEATING LIMITED,false
