,company_country,company_revenue,company_name
378,China,42750000000.0,Wanhua Chemical
379,Brazil,42650000000.0,Ambev
380,Canada,42600000000.0,Suncor Energy
381,USA,42570000000.0,Ecolab
382,China,42410000000.0,S.F. Express
383,USA,42330000000.0,Paychex
384,Canada,42080000000.0,BCE
385,Brazil,42060000000.0,Banco Santander Brasil
386,Canada,41980000000.0,lululemon athletica
387,USA,41860000000.0,Ross Stores
388,USA,41820000000.0,Newmont
389,UK,41780000000.0,Prudential
390,Singapore,41770000000.0,OCBC Bank
391,USA,41760000000.0,Kinder Morgan
392,Germany,41750000000.0,Infineon
393,China,41690000000.0,CITIC Securities
394,USA,41410000000.0,Workday
395,Netherlands,41360000000.0,NXP Semiconductors
396,USA,41260000000.0,Block
397,China,41230000000.0,Ping An Bank
398,USA,41120000000.0,Fidelity National Information Services
399,Italy,41110000000.0,Ferrari
400,Ireland,41100000000.0,Trane Technologies
401,Japan,40920000000.0,Tokio Marine
402,Japan,40800000000.0,Chugai Pharmaceutical
403,USA,40770000000.0,Palo Alto Networks
404,Finland,40750000000.0,Nordea Bank
405,Canada,40620000000.0,TC Energy
406,USA,40560000000.0,Republic Services
407,Japan,40530000000.0,Honda
408,Hong Kong,40500000000.0,Sun Hung Kai Properties
409,Canada,40500000000.0,Nutrien
410,USA,40480000000.0,Arthur J. Gallagher & Co.
411,USA,40380000000.0,Autodesk
412,USA,40210000000.0,Biogen
413,USA,40180000000.0,Realty Income
414,USA,40020000000.0,Devon Energy
415,USA,40020000000.0,Microchip Technology
416,Spain,40020000000.0,Banco Bilbao Vizcaya Argentaria
417,USA,39890000000.0,Snowflake
418,UK,39880000000.0,Compass Group
419,USA,39880000000.0,Sysco
420,Denmark,39690000000.0,Ãrsted
421,USA,39660000000.0,Williams Companies
422,USA,39610000000.0,Parker-Hannifin
423,China,39580000000.0,Zijin Mining
424,USA,39520000000.0,Constellation Brands
425,USA,39400000000.0,Las Vegas Sands
426,UK,39360000000.0,Lloyds Banking Group
427,USA,39250000000.0,L3Harris Technologies
428,China,39120000000.0,East Money Information
429,South Africa,39070000000.0,Naspers
430,USA,39010000000.0,Xcel Energy
431,USA,38860000000.0,Chipotle Mexican Grill
432,USA,38750000000.0,Bank of New York Mellon
433,USA,38720000000.0,Dow
434,USA,38590000000.0,Apollo Global Management
435,Canada,38430000000.0,CIBC
436,Singapore,38400000000.0,UOB
437,Sweden,38370000000.0,Volvo Group
438,Hong Kong,38340000000.0,Jardine Matheson
439,Switzerland,38190000000.0,TE Connectivity
440,USA,38140000000.0,IQVIA
441,Switzerland,38060000000.0,Sika
442,USA,38030000000.0,Fortinet
443,China,37770000000.0,Muyuan Foods
444,USA,37520000000.0,Energy Transfer Partners
445,USA,37500000000.0,MSCI
446,USA,37490000000.0,Allstate
447,Denmark,37350000000.0,Maersk
448,Hong Kong,37340000000.0,Bank of China (Hong Kong)
449,China,37230000000.0,WuXi AppTec
450,USA,37170000000.0,Prudential Financial
451,USA,37080000000.0,IDEXX Laboratories
452,USA,37050000000.0,Capital One
453,Japan,37000000000.0,Mizuho Financial Group
454,China,36970000000.0,Xiaomi
455,USA,36920000000.0,Nucor
456,Japan,36850000000.0,Denso
457,Japan,36780000000.0,7-Eleven
458,USA,36700000000.0,Yum! Brands
459,USA,36510000000.0,Halliburton
460,China,36500000000.0,YANGHE
461,Canada,36480000000.0,Cenovus Energy
462,China,36440000000.0,Jiangsu Hengrui Medicine
463,Germany,36420000000.0,BioNTech
464,Switzerland,36270000000.0,Lonza
465,China,36230000000.0,WuXi Biologics
466,USA,36060000000.0,Carrier
467,China,36040000000.0,Anta Sports
468,Australia,36010000000.0,Wesfarmers
469,USA,36000000000.0,Dupont De Nemours
470,UK,35960000000.0,Haleon
471,Finland,35680000000.0,Neste
472,USA,35520000000.0,Cheniere Energy
473,India,35520000000.0,Larsen & Toubro
474,Switzerland,35460000000.0,Alcon
475,USA,35290000000.0,TransDigm
476,India,35270000000.0,Adani Green Energy
477,USA,35220000000.0,Hilton Worldwide
478,USA,34880000000.0,Paccar
479,India,34840000000.0,Axis Bank
480,Japan,34740000000.0,Japan Tobacco
481,USA,34710000000.0,Consolidated Edison
482,Canada,34650000000.0,Manulife Financial
483,India,34600000000.0,Asian Paints
484,Switzerland,34590000000.0,STMicroelectronics
485,USA,34550000000.0,Arista Networks
486,USA,34390000000.0,Cummins
487,S. Korea,34370000000.0,LG Chem
488,Canada,34240000000.0,Constellation Software
489,Taiwan,34210000000.0,MediaTek
490,USA,34200000000.0,Electronic Arts
491,USA,34180000000.0,Ameriprise Financial
492,USA,34150000000.0,Waste Connections
493,India,34090000000.0,Adani Transmission
494,USA,34090000000.0,Otis Worldwide
495,China,33990000000.0,Haier Smart Home
496,India,33950000000.0,HCL Technologies
497,Japan,33790000000.0,Hoya
498,Canada,33770000000.0,Barrick Gold
499,Germany,33760000000.0,Hapag-Lloyd
500,USA,33720000000.0,Pacific Gas and Electric
501,USA,33690000000.0,MPLX
502,China,33640000000.0,China State Construction Engineering
503,UK,33560000000.0,Barclays
504,USA,33480000000.0,AmerisourceBergen
505,France,33470000000.0,CrÃ©dit Agricole
506,France,33430000000.0,Danone
507,USA,33220000000.0,Old Dominion Freight Line
508,Denmark,33180000000.0,DSV
509,Hong Kong,33140000000.0,MTR Corporation
510,USA,33030000000.0,Ametek
511,UK,32980000000.0,NatWest Group
512,USA,32970000000.0,Welltower
513,France,32770000000.0,ENGIE
514,USA,32740000000.0,Kroger
515,UK,32720000000.0,BAE Systems
516,Ireland,32480000000.0,Cement Roadstone Holding
517,Switzerland,32440000000.0,Holcim Group
518,USA,32310000000.0,Mettler-Toledo
519,USA,32250000000.0,Dollar Tree
520,USA,32240000000.0,D. R. Horton
521,Hong Kong,32200000000.0,Hang Seng Bank
522,Japan,32120000000.0,Murata Manufacturing (Murata Seisakusho)
523,China,32110000000.0,AIER Eye Hospital
524,USA,32020000000.0,Illumina
525,Mexico,31990000000.0,Grupo MÃ©xico
526,Thailand,31930000000.0,Airports of Thailand
527,China,31920000000.0,Vanke
528,USA,31750000000.0,Enphase Energy
529,China,31750000000.0,CITIC Bank
530,Japan,31740000000.0,Japan Post Bank
531,USA,31570000000.0,Walgreens Boots Alliance
532,USA,31460000000.0,SBA Communications
533,China,31390000000.0,China Pacific Insurance
534,Ireland,31380000000.0,Experian
535,USA,31360000000.0,Keysight
536,USA,31360000000.0,CoStar Group
537,China,31310000000.0,Bank of Ningbo
538,China,31310000000.0,Shanghai Pudong Development Bank
539,Hong Kong,31300000000.0,China Overseas Land & Investment
540,Singapore,31280000000.0,Sea (Garena)
541,USA,31250000000.0,PSEG
542,Singapore,31070000000.0,Singtel
543,Australia,30980000000.0,Atlassian
544,Australia,30970000000.0,Telstra
545,China,30940000000.0,CITIC limited
546,USA,30860000000.0,Brown Forman
547,USA,30800000000.0,Marvell Technology Group
548,USA,30700000000.0,Cognizant Technology Solutions
549,USA,30690000000.0,Interactive Brokers
550,USA,30690000000.0,Rockwell Automation
551,Spain,30690000000.0,CaixaBank
552,India,30670000000.0,Maruti Suzuki India
553,USA,30620000000.0,VICI Properties
554,USA,30590000000.0,ResMed
555,S. Korea,30580000000.0,Samsung SDI
556,Brazil,30480000000.0,Banco Bradesco
557,China,30390000000.0,The People's Insurance Company (PICC)
558,Germany,30380000000.0,Deutsche BÃ¶rse
559,USA,30370000000.0,Dell
560,China,30360000000.0,Peopleâs Insurance Company of China
561,USA,30280000000.0,Nasdaq
562,USA,30210000000.0,Baker Hughes
563,USA,30200000000.0,PPG Industries
564,India,30150000000.0,DMart
565,Norway,30020000000.0,DNB
566,Italy,29970000000.0,UniCredit
567,USA,29920000000.0,Corning
568,USA,29890000000.0,WEC Energy Group
569,USA,29880000000.0,Eversource Energy
570,China,29830000000.0,Luxshare Precision
571,Brazil,29820000000.0,WEG ON
572,USA,29780000000.0,Digital Realty
573,China,29760000000.0,Great Wall Motors
574,USA,29750000000.0,Oneok
575,Sweden,29730000000.0,Hexagon
576,USA,29710000000.0,Copart
577,Canada,29710000000.0,Restaurant Brands International
578,France,29680000000.0,Capgemini
579,USA,29600000000.0,State Street Corporation
580,S. Korea,29580000000.0,Coupang
581,Japan,29540000000.0,Nidec
582,UK,29340000000.0,Vodafone
583,USA,29330000000.0,LyondellBasell
584,S. Korea,29320000000.0,Hyundai
585,India,29310000000.0,Sun Pharmaceutical
586,China,29290000000.0,Yili Group
587,Switzerland,29280000000.0,Swiss Re
588,Switzerland,29220000000.0,Swisscom
589,Taiwan,29190000000.0,Chunghwa Telecom
590,UK,29080000000.0,Ferguson
591,India,29070000000.0,Bajaj Finserv
592,Japan,29070000000.0,Japan Post Holdings
593,Canada,28970000000.0,Telus
594,Switzerland,28880000000.0,Givaudan
595,Italy,28780000000.0,Generali
596,USA,28770000000.0,American Water Works
597,USA,28750000000.0,GlobalFoundries
598,Mexico,28700000000.0,Fomento EconÃ³mico Mexicano
599,Canada,28680000000.0,Loblaw Companies
600,Germany,28610000000.0,Henkel
601,USA,28600000000.0,Verisk Analytics
602,Hong Kong,28540000000.0,Galaxy Entertainment
603,Netherlands,28460000000.0,Ahold Delhaize
604,USA,28430000000.0,Global Payments
605,Canada,28430000000.0,Imperial Oil
606,Denmark,28350000000.0,Genmab
607,Japan,28330000000.0,Fanuc
608,Indonesia,28320000000.0,Bank Mandiri
609,France,28250000000.0,Compagnie de Saint-Gobain
610,USA,28150000000.0,Discover Financial Services
611,France,28090000000.0,Orange
612,USA,28040000000.0,International Flavors & Fragrances
613,Belgium,28000000000.0,KBC
614,Canada,28000000000.0,Sun Life Financial
615,China,28000000000.0,JD Health
616,USA,27920000000.0,W. W. Grainger
617,China,27910000000.0,Gree Electric Appliances
618,Germany,27860000000.0,RWE
619,USA,27850000000.0,HP
620,Denmark,27850000000.0,Vestas Wind Systems
621,Switzerland,27810000000.0,KÃ¼hne + Nagel
622,Japan,27750000000.0,SMC corp
623,USA,27680000000.0,Alnylam Pharmaceuticals
624,USA,27590000000.0,Fastenal
625,Finland,27490000000.0,KONE
626,Finland,27430000000.0,Nokia
627,UK,27430000000.0,Willis Towers Watson
628,Australia,27300000000.0,Transurban
629,USA,27300000000.0,Constellation Energy
630,Thailand,27300000000.0,PTT PCL
631,India,27290000000.0,Titan Company
632,Australia,27290000000.0,Woolworths Group
633,USA,27260000000.0,Lennar
634,USA,27240000000.0,Warner Bros. Discovery
635,China,27220000000.0,Shenzhen Inovance
636,Germany,27130000000.0,E.ON
637,China,27070000000.0,Foxconn Industrial Internet
638,Germany,27030000000.0,Adidas
639,USA,27010000000.0,ON Semiconductor
640,USA,26970000000.0,Cheniere Energy
641,Canada,26970000000.0,Franco-Nevada
642,Ireland,26630000000.0,Aptiv
643,Malaysia,26630000000.0,Maybank
644,UK,26470000000.0,Coca-Cola European Partners
645,USA,26370000000.0,Zimmer Biomet
646,Finland,26370000000.0,Sampo
647,Japan,26360000000.0,Astellas Pharma
648,Sweden,26330000000.0,EQT
649,Germany,26240000000.0,Daimler Truck
650,USA,26150000000.0,United Rentals
651,France,25960000000.0,Thales
652,USA,25960000000.0,Gartner
653,USA,25960000000.0,Albemarle
654,India,25950000000.0,Wipro
655,USA,25920000000.0,M&T Bank
656,UK,25880000000.0,Ashtead
657,Germany,25860000000.0,Beiersdorf
658,Netherlands,25790000000.0,Wolters Kluwer
659,Canada,25790000000.0,Intact Financial
660,Germany,25750000000.0,Deutsche Bank
661,Brazil,25750000000.0,BTG Pactual
662,Ireland,25640000000.0,Horizon Therapeutics
663,Spain,25640000000.0,Amadeus IT Group
664,USA,25630000000.0,Hormel Foods
665,S. Arabia,25600000000.0,Saudi Electricity
666,USA,25560000000.0,CBRE Group
667,USA,25530000000.0,Edison International
668,China,25490000000.0,BeiGene
669,Canada,25400000000.0,Agnico Eagle Mines
670,Japan,25390000000.0,Fujitsu
671,Israel,25350000000.0,Mobileye
672,USA,25280000000.0,Seagen
673,Denmark,25240000000.0,Coloplast
674,Taiwan,25190000000.0,Formosa Petrochemical
675,USA,25130000000.0,Diamondback Energy
676,Spain,25110000000.0,Naturgy
677,USA,25090000000.0,The Hartford
678,USA,25090000000.0,T. Rowe Price
679,USA,25050000000.0,Equifax
680,Germany,25030000000.0,EnBW Energie
681,Germany,24990000000.0,Sartorius
682,Sweden,24850000000.0,Skandinaviska Enskilda Banken
683,USA,24840000000.0,Veeva Systems
684,USA,24800000000.0,CDW Corporation
685,USA,24730000000.0,ULTA Beauty
686,USA,24720000000.0,Kellogg's
687,Sweden,24690000000.0,Assa Abloy
688,Ireland,24640000000.0,Flutter Entertainment
689,China,24590000000.0,Trip.com
690,China,24570000000.0,SAIC Motor
691,S. Arabia,24520000000.0,Riyad Bank
