,company_founded,company_location,company_industry,company_name
545,1976,Lisbon,Industrials,Cimpor
546,1976,Anadia,Consumer goods,CMS-Helmets
547,1856,Porto,Consumer services,Cofina
548,1856,Lisbon,Consumer services,Comboios de Portugal
549,1853,Matosinhos,Consumer goods,Conservas Ramirez
550,1985,Matosinhos,Consumer services,Continente
551,1870,Santa Maria da Feira,Basic materials,Corticeira Amorim
552,1998,Coimbra,Technology,Critical Software
553,1520,Lisbon,Industrials,"CTT Correios de Portugal, S.A."
554,1961,Campo Maior,Consumer goods,Delta CafÃ©s
555,1948,Matosinhos,Industrials,EFACEC
556,1976,Lisbon,Utilities,Energias de Portugal
557,1947,Lisbon,Industrials,FÃ¡brica Nacional de MuniÃ§Ãµes de Armas Ligeiras
558,1999,Lisbon,Utilities,Galp Energia
559,2008,Lisbon,Technology,Glintt
560,1986,Lisbon,Conglomerates,Grupo JosÃ© de Mello
561,1975,Marinha Grande,Industrials,Iberomoldes
562,1972,Oeiras,Consumer services,Impresa
563,1792,Lisbon,Consumer services,JerÃ³nimo Martins
564,1996,Porto,Consumer goods,Lactogal
565,1976,Cascais,Industrials,Logoplaste
566,1990,Oliveira de Frades,Industrials,Martifer
567,1988,Oeiras,Consumer services,Media Capital
568,1970,Lisbon,Health care,Medinfar
569,1991,Lisbon,Telecommunications,MEO
570,1840,Lisbon,Financials,Montepio
571,1946,Porto,Industrials,Mota-Engil
572,2008,Cascais,Technology,Move Interactive
573,1994,Lisbon,Telecommunications,NOS
574,1989,Lisbon,Technology,Novabase
575,2014,Lisbon,Financials,Novo Banco
576,1980,Lisbon,Consumer services,Pingo Doce
577,1944,Porto,Consumer services,Porto Editora
578,1994,Lisbon,Telecommunications,Portugal Telecom
579,1988,Lisbon,Technology,Quidgest
580,1935,Lisbon,Consumer services,RÃ¡dio e TelevisÃ£o de Portugal
581,1994,Lisbon,Utilities,Redes EnergÃ©ticas Nacionais
582,1939,Torres Novas,Basic materials,Renova
583,1995,Lisbon,Telecommunications,SAPO
584,1991,Lisbon,Industrials,Semapa
585,1959,Oliveira de AzemÃ©is,Industrials,Simoldes
586,1918,Porto,Industrials,Soares da Costa
587,1992,Lisbon,Consumer services,SIC
588,1959,Maia,Industrials,Sonae IndÃºstria
589,1959,Maia,Conglomerates,Sonae
590,1956,Oeiras,Consumer goods,Sovena Group
591,2008,Oeiras,Consumer goods,Sumol + Compal
592,1927,Lisbon,Consumer goods,Tabaqueira
593,1945,Lisbon,Consumer services,TAP Air Portugal
594,1993,Oeiras,Consumer services,TelevisÃ£o Independente
595,2001,SetÃºbal,Basic materials,The Navigator Company
596,1871,Lisbon,Financials,Tranquilidade
597,1977,Lisbon,Consumer services,Tupam editores
598,1977,Lisbon,Industrials,UMM
599,1890,Matosinhos,Consumer goods,Unicer Brewery
600,2012,Lisbon,Technology,Uniplaces
601,1980,Viseu,Conglomerates,Visabeira
602,1824,Ãlhavo,Consumer goods,Vista Alegre
603,2010,Warsaw,Technology,11 bit studios
604,1979,Turek,Basic materials,AdamÃ³w Coal Mine
605,2008,Warsaw,Financials,Alior Bank
606,1945,Wronki,Consumer goods,Amica
607,1991,RzeszÃ³w,Technology,Asseco
608,1989,Warsaw,Financials,Bank Millennium
609,1929,Warsaw,Financials,Bank Pekao
610,1955,BeÅchatÃ³w,Basic materials,BeÅchatÃ³w Coal Mine
611,1995,Kostrzyn,Consumer services,Biedronka
612,1248,Bochnia,Basic materials,Bochnia Salt Mine
613,1975,Lublin Voivodeship,Basic materials,Bogdanka Coal Mine
614,2009,KrakÃ³w,Technology,Brainly
615,1968,ÅomÅ¼a,Consumer goods,Browar ÅomÅ¼a
616,2004,Warsaw,Consumer goods,Carlsberg Polska
617,1994,Warsaw,Technology,CD Projekt
618,1993,KrakÃ³w,Technology,Comarch
619,1998,ElblÄg,Consumer goods,Elbrewery
620,1992,Warsaw,Industrials,Elektrim
621,2003,PoznaÅ,Utilities,Enea SA
622,1991,ÅÃ³dÅº,Technology,Ericpol
623,1919,ChrzanÃ³w,Industrials,Fablok
624,1948,Bielsko-BiaÅa,Consumer goods,Fabryka SamochodÃ³w MaÅolitraÅ¼owych
625,1948,Warszawa,Consumer goods,Fabryka SamochodÃ³w Osobowych
626,1938,KraÅnik,Industrials,FÅT-KraÅnik
627,1913,Katowice,Industrials,FASING S.A.
628,2004,Gaworzyce,Basic materials,Gaworzyce mine
629,2004,Warsaw,Utilities,Gaz-System
630,2004,Polkowice,Basic materials,GÅogÃ³w GÅÄboki-PrzemysÅowy mine
631,1927,TarnÃ³w,Chemical industry,Grupa Azoty
632,2003,GdaÅsk,Oil & gas,Grupa Lotos
633,1955,Gubin,Basic materials,Gubin Coal Mine
634,1897,Ruda ÅlÄska,Basic materials,Halemba Coal Mine
635,1958,Warsaw,Consumer goods,Hortex
636,1988,Katowice,Financials,ING Bank ÅlÄski
637,1984,Warsaw,Consumer services,ITI Group
638,1884,Warsaw,Consumer services,JabÅkowski Brothers
639,1993,JastrzÄbie-ZdrÃ³j,Basic materials,JSW
640,1961,Lubin,Basic materials,KGHM Polska MiedÅº
641,2003,Warsaw,Consumer services,Kino Polska
642,1950,KÅodawa,Basic materials,KÅodawa Salt Mine
643,1999,PoznaÅ,Consumer goods,Kompania Piwowarska
644,2003,Katowice,Basic materials,Kompania WÄglowa
645,1975,PoznaÅ,Consumer goods,Lech Browary Wielkopolski
646,2002,WrocÅaw,Technology,Livechat Software
647,1929,Warsaw,Consumer services,LOT Polish Airlines
648,1991,GdaÅsk,Consumer services,LPP
649,1990,Wadowice,Food,Maspex
650,1998,Warsaw,Consumer services,Multikino
651,1990,Warsaw,Telecommunications,Netia
652,1845,Brzesko,Consumer goods,Okocim Brewery
653,1988,Warsaw,Technology,Optimus S.A.
654,1991,Warsaw,Telecommunications,Orange Polska
655,1851,Bydgoszcz,Industrials,Pesa SA
656,1976,Warsaw,Oil & gas,PGNiG
657,1999,PÅock,Oil & gas,PKN Orlen
658,2007,Warsaw,Telecommunications,Play
659,1995,Warsaw,Telecommunications,Plus
660,1558,Warsaw,Consumer services,Poczta Polska
661,2006,Warsaw,Consumer services,Polcast Television
662,1926,Warsaw,Industrials,Polish State Railways
663,1992,Warsaw,Consumer services,Polsat
664,1990,Warsaw,Utilities,Polska Grupa Energetyczna
665,1951,Szczecin,Industrials,Polsteam
666,1948,Warsaw,Financials,Powszechna Kasa OszczÄdnoÅci Bank Polski
667,1803,Warsaw,Financials,Powszechny ZakÅad UbezpieczeÅ
668,1988,Narew,Consumer goods,Pronar
669,1945,BiaÅystok,Consumer services,PrzedsiÄbiorstwo Komunikacji Samochodowej
670,2001,Warsaw,Consumer services,Przewozy Regionalne
671,2004,Konstancin-Jeziorna,Utilities,PSE (Polskie Sieci Elektroenergetyczne)
672,1847,Pudliszki,Food Products,Pudliszki
673,1985,Warsaw,Technology,Qumak
674,2000,Warszawa,Consumer services,Smyk Department Store
675,2001,Bolechowo,Industrials,Solaris Bus & Coach
676,1920,Bydgoszcz,Industrials,Tele-Fonika Kable
677,1952,Warsaw,Consumer services,Telewizja Polska
678,1996,Warsaw,Telecommunications,T-Mobile Polska
679,2001,Warsaw,Consumer services,TVN24
680,2002,Warsaw,Consumer services,TVN 7
681,1995,Warsaw,Consumer services,TVN Group
682,1936,Tymbark,Consumer goods,Tymbark
683,1989,Rakszawa,Consumer goods,Van Pur
684,1252,Wieliczka,Consumer services,Wieliczka Salt Mine
685,1998,PoznaÅ,Consumer services,Å»abka
686,1917,TarnÃ³w,Industrials,ZMT SA
687,1981,Utrecht,Industrials,Aalberts
688,2001,Utrecht,Transport,Abellio
689,1991,Amsterdam,Financials,ABN AMRO
690,2006,Amsterdam,Financials,Adyen
691,1998,Heerenveen,Consumer goods,Accell Group
692,1983,The Hague,Financials,Aegon N.V.
693,2016,Zaandam,Consumer services,Ahold Delhaize
694,1994,Amsterdam,Basic materials,AkzoNobel
695,1870,Zoeterwoude,Consumer goods,Amstel Brewery
696,2001,The Hague,Industrials,APM Terminals
697,1909,Amsterdam,Consumer goods,Apollo Vredestein B.V.
698,1888,Amsterdam,Industrials,Arcadis
699,1984,Veldhoven,Industrials,ASML Holding
700,1960,The Hague,Financials,ASN Bank
701,1925,Amsterdam,Financials,Atradius
702,1979,Veenendaal,Consumer services,Australian Homemade
703,1919,Veendam,Consumer goods,AVEBE
704,1680,Lieshout,Consumer goods,Bavaria Brewery
705,1981,Uden,Consumer services,Beter Bed
706,2013,Utrecht,Technology,Blendle
707,1996,Amsterdam,Consumer services,Booking.com
708,2008,Amsterdam,Technology,Catawiki
709,1986,Amsterdam,Real Estate,Chipshol
710,1999,Amsterdam,Industrials,CNH Global
711,2010,Lijnden,Consumer services,Corendon Dutch Airlines
712,1993,Eindhoven,Consumer goods,DAF Trucks
713,1927,Gorinchem,Industrials,Damen Group
714,1993,Breda,Industrials,Dockwise
715,1978,Lelystad,Consumer goods,Donkervoort
716,1753,Utrecht,Consumer goods,Douwe Egberts
717,1902,Heerlen,Health care,DSM
718,2003,Amsterdam,Technology,eBuddy
719,1880,Amsterdam,Consumer services,Elsevier
720,1994,Amsterdam,Consumer services,Endemol
721,1984,Delft,Technology,Exact Software
722,1927,Amsterdam,Financials,Exor
723,1949,Haarlem,Consumer goods,Feadship
724,1918,Heerlen,Industrials,FRABA
725,2008,Amersfoort,Consumer goods,FrieslandCampina
726,1962,Leidschendam,Oil & gas,Fugro
727,1999,Amsterdam,Industrials,General Logistics Systems
728,1615,Enschede,Consumer goods,Grolsch Brewery
729,2000,Amsterdam,Technology,Guerrilla Games
730,1989,Amsterdam,Consumer goods,G-Star Raw
731,1948,Leiden,Oil & gas,Heerema Marine Contractors
732,1864,Amsterdam,Consumer goods,Heineken International
733,1926,Amsterdam,Consumer goods,HEMA
734,1997,De Bilt,Technology,High-Logic
735,2001,Groningen,Consumer services,Hotels.nl
736,1886,Hilversum,Consumer services,HunkemÃ¶ller
737,1919,Rotterdam,Industrials,Hunter Douglas
738,1942,Leiden,Consumer services,IKEA
739,1991,Amsterdam,Financials,ING Group
740,1998,Schiphol-Rijk,Technology,Interxion
741,1996,Amsterdam,Telecommunications,IPTP Networks
742,1921,Veghel,Consumer goods,Jumbo
743,2000,Amsterdam,Technology,Just Eat Takeaway
744,1919,Amstelveen,Consumer services,KLM
745,1987,Amstelveen,Industrials,KPMG
746,1852,The Hague,Telecommunications,KPN
747,2011,Best,Consumer goods,LandFighter
748,1963,Amsterdam,Consumer services,LeasePlan
749,2008,Arnhem,Utilities,Liander
750,1575,Amsterdam,Consumer goods,Lucas Bols
751,1958,Schiphol-Oost,Consumer services,Martinair
752,1938,Utrecht,Industrials,Nederlandse Spoorwegen
753,1981,Amsterdam,Consumer goods,Nipparts
754,1896,Amsterdam,Consumer goods,Nutricia
755,1995,Amsterdam,Utilities,Nuon Energy
756,1953,Eindhoven,Technology,NXP Semiconductors
757,1877,Venlo,Technology,OcÃ©
758,2001,Lainate,Consumer goods,Perfetti Van Melle
759,1891,Eindhoven,Consumer goods,Philips
760,1998,The Hague,Industrials,PostNL
761,2019,Amsterdam,Technology,Prosus
762,1998,Maastricht,Consumer services,Q-Park
763,1972,Utrecht,Financials,Rabobank
764,1960,Diemen,Industrials,Randstad Holding
765,1869,Bunnik,Industrials,Royal BAM Group
766,1910,Papendrecht,Industrials,Royal Boskalis Westminster
767,1860,Gouda,Industrials,Royal Imtech N.V.
768,1916,Schiphol,Industrials,Royal Schiphol Group
769,1868,Rotterdam,Industrials,Royal Van Oord
770,1965,Schiedam,Oil & gas,SBM Offshore
771,1980,Heemstede,Consumer goods,Serpent Model Racing Cars
772,1896,Utrecht,Industrials,SHV Holdings
773,1932,Amsterdam,Consumer goods,SPAR
774,1999,Zeewolde,Consumer goods,Spyker Cars
775,1868,Naarden,Industrials,Stork B.V.
776,2004,Hilversum,Consumer services,Talpa Network
777,1993,Amsterdam,Telecommunications,Tele2 Netherlands
778,1997,Alphen aan den Rijn,Telecommunications,Telfort
779,1922,Hengelo,Industrials,Thales Nederland
780,1988,Amsterdam,Industrials,TMF Group
781,2011,Hoofddorp,Industrials,TNT Express
782,1991,Amsterdam,Technology,TomTom
783,2005,Amsterdam,Consumer goods,Tony's Chocolonely
784,1965,Schiphol-Oost,Consumer services,Transavia
785,1980,Zeist,Financials,Triodos Bank
786,1981,Dordrecht,Technology,Trust
787,2005,Schiphol-Rijk,Consumer services,TUI fly Netherlands
788,2008,Heerenveen,Consumer goods,Vanguard Dutch Marine
789,1993,Valkenswaard,Industrials,VDL Bus & Coach
790,1967,Born,Consumer goods,VDL NedCar
791,1998,Amsterdam,Industrials,Vedior
792,2009,Amsterdam,Telecommunications,VEON
793,1964,Haarlem,Consumer services,Verenigde Nederlandse Uitgeverijen
794,1966,Rotterdam,Energy,Vitol
795,1995,Maastricht,Telecommunications,Vodafone Netherlands
796,1854,Amersfoort,Industrials,VolkerWessels
797,1955,Zwolle,Industrials,Wavin
798,1917,Utrecht,Consumer goods,WE
799,2011,Amsterdam,Technology,Wercker
800,1836,Alphen aan den Rijn,Industrials,Wolters Kluwer
801,1967,Alphen aan den Rijn,Consumer goods,Zeeman
802,1973,Luqa,Consumer services,Air Malta
803,1910,Swatar,Financials,APS Bank
804,1974,Santa Venera,Financials,Bank of Valletta
805,1968,Valletta,Financials,Central Bank of Malta
806,1907,Valletta,Consumer goods,Emmanuel Delicata
807,1997,Marsa,Telecommunications,GO
808,1882,Valletta,Financials,HSBC Bank Malta
809,1969,Valletta,Financials,Lombard Bank
810,1998,Marsa,Industrials,MaltaPost
811,1978,Luqa,Consumer services,Medavia
812,UNKNOWN,PietÃ ,Consumer services,Media.link Communications
813,1992,Birkirkara,Telecommunications,Melita
814,2012,St Julian's,Consumer services,Multilotto
815,1994,Marsa,Consumer services,One Productions
816,1928,Birkirkara,Consumer goods,Simonds Farsons Cisk
817,1997,GÅ¼ira,Consumer services,Unibet
818,1989,Luqa,Telecommunications,Epic
819,2005,Munsbach,Financials,Advanzia Bank
820,2002,Luxembourg City,Basic materials,Arcelor
821,2006,Luxembourg City,Basic materials,ArcelorMittal
822,2007,Luxembourg City,Technology,Artec 3D
823,1920,Luxembourg City,Financials,Banque de Luxembourg
824,1856,Luxembourg City,Financials,Banque et Caisse d'Ãpargne de l'Ãtat
825,1926,Leudelange,Financials,Banque Raiffeisen
826,1919,Luxembourg City,Financials,BGL BNP Paribas
827,2000,Luxembourg City,Financials,BIP Investment Partners
828,1975,Bascharage,Consumer goods,Brasserie Nationale
829,1900,Bereldange,Consumer services,Cactus
830,1970,Sandweiler,Industrials,Cargolux
831,2009,Strassen,Utilities,Creos Luxembourg
832,1998,Luxembourg City,Financials,Central Bank of Luxembourg
833,1975,Luxembourg City,Health care,Centre Hospitalier de Luxembourg
834,2002,Mamer,Industrials,Ceratizit
835,1931,Luxembourg City,Consumer services,Cipriani S.A.
836,1981,Luxembourg City,Financials,CVC Capital Partners
837,1913,Luxembourg City,Consumer services,Editpress
838,1922,Luxembourg City,Financials,Foyer S.A.
839,1979,Luxembourg City,Conglomerates,General Mediterranean Holding
840,2008,Howald,Financials,Genii Capital
841,1995,Luxembourg City,Consumer goods,Gold & Wood
842,1949,Luxembourg City,Financials,KBL European Private Bankers
843,2007,Luxembourg City,Financials,Kulczyk Investments
844,1988,Luxembourg City,Consumer services,Lionair
845,2009,Luxembourg City,Consumer goods,Luvanis
846,1962,Sandweiler,Consumer services,Luxair
847,2002,Doncols,Consumer services,LuxAnimation
848,1928,Luxembourg City,Financials,Luxembourg Stock Exchange
849,1988,Leudelange,Financials,Luxempart
850,1997,Howald,Consumer services,Melusine
851,1511,Luxembourg City,Consumer goods,Mousel
852,1991,Capellen,Financials,ORCO
853,1992,Luxembourg City,Telecommunications,P&TLuxembourg
854,1933,Luxembourg City,Consumer services,Radio Luxembourg
855,1989,Luxembourg City,Industrials,Regus
856,2008,Luxembourg City,Financials,Reinet Investments
857,1922,Lintgen,Industrials,Rotarex
858,1920,Kirchberg,Consumer services,RTL Group
859,1848,Luxembourg City,Consumer services,Saint-Paul Luxembourg
860,1985,Betzdorf,Telecommunications,SES S.A.
861,1978,Luxembourg City,Financials,SociÃ©tÃ© Nationale de CrÃ©dit et d'Investissement
862,1946,Luxembourg City,Industrials,SociÃ©tÃ© Nationale des Chemins de Fer Luxembourgeois
863,2010,Luxembourg City,Consumer services,Strategic Airlines Luxembourg
864,2006,Luxembourg City,Consumer services,Streamworks International
865,1977,Luxembourg City,Consumer services,Techniques d'Avant Garde
866,2002,Luxembourg City,Consumer services,Utopia Group
867,2002,Bertrange,Industrials,West Air Luxembourg
868,1962,Jonava,Basic materials,Achema
869,1963,Alytus,Consumer goods,Alita
870,1993,Vilnius,Consumer services,Apranga
871,1996,Vilnius,Consumer services,Aurela
872,2010,Vilnius,Industrials,Avia Solutions Group
873,2007,Vilnius,Industrials,AviaAM Leasing
874,1999,Vilnius,Industrials,Aviavilsa
875,2005,Vilnius,Consumer services,Avion Express
876,1952,KlaipÄda,Industrials,Baltija Shipbuilding Yard
877,1993,Å iauliai,Consumer goods,Baltik vairas
878,1997,Vilnius,Consumer services,Äili
879,2003,KarmÄlava,Consumer services,DOT LT
880,1888,Vilnius,Industrials,DvarÄioniÅ³ keramika
881,1983,Vilnius,Industrials,Ekspla
882,1665,Å iauliai,Consumer goods,Gubernija
883,1902,PanevÄÅ¾ys,Consumer goods,Kalnapilis
884,1961,Vilnius,Utilities,Lietuvos Dujos
885,1997,Vilnius,Utilities,Lietuvos Energija
886,1918,Vilnius,Consumer services,Lietuvos paÅ¡tas
887,1992,Vilnius,Consumer services,Maxima Group
888,2007,Vilnius,Consumer services,Small Planet Airlines
889,1906,Kaunas,Consumer goods,Stumbras
890,1860,Vilnius,Consumer goods,Tauras
891,1992,Vilnius,Telecommunications,Teo LT
892,1989,Kaunas,Financials,Åªkio bankas
893,1992,Vilnius,Consumer services,Vilniaus prekyba
894,1853,Kaunas,Consumer goods,Volfas Engelman
895,1997,Vilnius,Financials,Å½IA valda
896,1993,Riga,Financials,ABLV Bank
897,2004,Sigulda,Industrials,Aerodium Latvia
898,1995,Riga,Consumer services,AirBaltic
899,2000,Riga,Industrials,Ave Line
900,2005,Ventspils,Industrials,Baltic Coal Terminal
901,1993,Riga,Financials,Banka Baltija
902,1992,Riga,Financials,Bank of Latvia
903,1931,Riga,Consumer services,Bellaccord Electro
904,1590,CÄsis,Consumer goods,CÄsu Alus
905,2010,Riga,Financials,Citadele Banka
906,2008,Riga,Consumer goods,Dartz
907,2002,Riga,Consumer services,Double Coffee
908,1993,Riga,Consumer goods,Elko Grupa
909,1936,Riga,Consumer goods,Ford-Vairogs
910,1999,Riga,Technology,Forticom
911,1991,Riga,Health care,Grindeks
912,1991,Riga,Industrials,Inversija
913,2008,Riga,Telecommunications,Just5
914,1870,Riga,Consumer goods,Laima
915,1992,Riga,Telecommunications,Lattelecom
916,1958,Riga,Utilities,Latvenergo
917,1992,Riga,Telecommunications,Latvian Mobile Telephone
918,1940,Riga,Industrials,Latvian Shipping Company
919,1997,Riga,Consumer goods,Latvijas Balzams
920,1991,Riga,Oil & gas,Latvijas GÄze
921,1924,Riga,Financials,Latvijas KrÄjbanka
922,1992,Riga,Logistics,Latvijas Pasts
923,1993,Riga,Consumer services,Microphone Records
924,1992,Riga,Financials,Norvik Banka
925,1972,Olaine,Health care,Olainfarm
926,1992,Riga,Financials,Parex Bank
927,2007,Riga,Financials,PrivatBank Latvia
928,1990,Riga,Consumer services,RAF-Avia
929,1992,Riga,Financials,Rietumu Banka
930,1949,Riga,Consumer goods,Riga Autobus Factory
931,2004,Riga,Consumer services,Rimi Baltic
932,1874,Riga,Consumer goods,Russo-Balt
933,1999,Riga,Technology,SAF Tehnika
934,1993,Riga,Financials,SEB Unibanka
935,2011,Riga,Consumer goods,Sereal
936,1993,MÄrupe,Consumer services,SmartLynx Airlines
937,1919,Riga,Consumer goods,VEF
938,1988,Turin,Industrials,A&G Management Consulting
939,2008,Brescia,Utilities,A2A
940,1949,Turin,Consumer goods,Abarth
941,1973,Gornate-Olona,Industrials,Abon Plastic
942,1912,Varese,Industrials,Aermacchi
943,1926,Rome,Oil & gas,Agip
944,2000,Rome,Industrials,AgustaWestland
945,1946,Alessandria,Consumer goods,AGV
946,1991,Villafranca di Verona,Consumer services,Air Dolomiti
947,1983,Fiumicino,Consumer services,Air One
948,1972,Veggiano,Consumer goods,ALAN
949,2012,Venegono Superiore,Industrials,Alenia Aermacchi
950,1990,Rome,Industrials,Alenia Aeronautica
951,1921,Omegna,Consumer goods,Alessi
952,1910,Turin,Consumer goods,Alfa Romeo
953,1999,Fiumicino,Consumer services,Alitalia
954,1898,Milan,Financials,Alleanza Assicurazioni
955,1963,Asolo,Consumer goods,Alpinestars
956,1985,Morrovalle,Consumer goods,Andrea Moda
957,1919,Rome,Health care,Angelini
958,1933,Rome,Oil & gas,Anonima Petroli Italiana
959,1853,Genoa,Utilities,Ansaldo Energia
960,2006,Genoa,Industrials,Ansaldo STS
961,1945,Noale,Consumer goods,Aprilia
962,1947,Milan,Consumer goods,Arflex
963,1975,Milan,Consumer goods,Armani
964,1907,Segrate,Consumer services,Arnoldo Mondadori Editore
965,1960,Pregnana Milanese,Consumer goods,Artemide
966,1831,Trieste,Financials,Assicurazioni Generali
967,1921,Monza,Consumer goods,Atala
968,1995,Milan,Consumer goods,Autobianchi
969,1947,Rozzano,Consumer services,Autogrill
970,1908,Rome,Industrials,Avio
971,1969,Turin,Industrials,Azimut Yachts
972,2000,Campogalliano,Consumer goods,B Engineering
973,1966,Novedrate,Consumer goods,B&B Italia
974,1910,San Mauro Pascoli,Consumer goods,Baldinini
975,1483,Genoa,Financials,Banca Carige
976,1472,Siena,Financials,Banca Monte dei Paschi di Siena
977,1913,Rome,Financials,Banca Nazionale del Lavoro
978,1865,Milan,Financials,Banca Popolare di Milano
979,2007,Verona,Financials,Banco Popolare
980,1946,ForlÃ¬,Consumer goods,Bandini Automobili
981,1877,Parma,Consumer goods,Barilla Group
982,1977,San Zenone degli Ezzelini,Consumer goods,Basso Bikes
983,1967,Urbino,Industrials,Benelli Armi SpA
984,1911,Pesaro,Consumer goods,Benelli
985,1873,Viareggio,Industrials,Benetti
986,1965,Ponzano Veneto,Consumer goods,Benetton Group
987,1964,Montano Lucino,Consumer services,Bennet
988,1526,Brescia,Industrials,Beretta
989,1865,Lucca,Consumer goods,Bertolli
990,1904,Rignano sull'Arno,Consumer goods,Beta
991,1994,Vigasio,Consumer goods,Bettanin & Venturi
992,1885,Milan,Consumer goods,Bianchi
993,1973,Rimini,Consumer goods,Bimota
994,1958,Lissone,Consumer goods,Birel
995,1997,Rimini,Consumer goods,Birra Amarcord
996,1912,Assemini,Consumer goods,Birra Ichnusa
997,1846,Biella,Consumer goods,Birra Menabrea
998,1859,Udine,Consumer goods,Birra Moretti
999,1877,Induno Olona,Consumer goods,Birrificio Angelo Poretti
1000,1964,Livorno,Consumer goods,Bizzarrini
1001,1998,Fiumicino,Consumer services,Blue Panorama Airlines
1002,1977,Carpi,Consumer goods,Blufin
1003,1929,Milan,Consumer services,Bompiani
1004,1937,Potenza Picena,Consumer goods,Bontempi
1005,2004,Montegranaro,Consumer goods,Bontoni
1006,1922,Milan,Consumer goods,Borrani
1007,1857,Alessandria,Consumer goods,Borsalino
1008,1924,Cavarzere,Consumer goods,Bottecchia
1009,1966,Vicenza,Consumer goods,Bottega Veneta
1010,1959,Parma,Industrials,B-P Battioni e Pagani S.p.A.
1011,1954,Florence,Consumer goods,Braccialini
1012,1927,Milan,Health care,Bracco Group
1013,1886,Brescia,Industrials,Breda
1014,1961,Stezzano,Consumer goods,Brembo
1015,1945,Rome,Consumer goods,Brioni
1016,1945,Pordenone,Consumer goods,Brionvega
1017,1935,Turin,Consumer goods,Brondi
1018,1978,Perugia,Consumer goods,Brunello Cucinelli
1019,1936,Bologna,Consumer goods,Bruno Magli
1020,1827,Sansepolcro,Consumer goods,Buitoni
1021,1884,Rome,Consumer goods,Bulgari
1022,1999,Casale Monferrato,Industrials,Buzzi Unicem
1023,2006,Fiumicino,Consumer services,C.A.I. Second
1024,1978,Varese,Consumer goods,Cagiva
1025,1999,Rome,Consumer services,Caltagirone Editore
1026,1945,Capolona,Consumer goods,Calzaturificio fratelli soldini
1027,1995,Milan,Financials,Cambiocasa
1028,1933,Vicenza,Consumer goods,Campagnolo
1029,1860,Milan,Consumer goods,Campari Group
1030,1934,Sovico,Consumer goods,Canali
1031,1945,Brugherio,Consumer goods,Candy
1032,1913,Rome,Consumer goods,Caraceni
1033,1944,Bologna,Consumer goods,Carpigiani
1034,1956,Padua,Consumer goods,Carrera Sunglasses
1035,1919,Milan,Industrials,Carrozzeria Boneschi
1036,1849,Milan,Industrials,Carrozzeria Castagna
1037,1916,Turin,Industrials,Carrozzeria Ghia
1038,1967,Milan,Industrials,Carrozzeria Marazzi
1039,1951,Modena,Industrials,Carrozzeria Scaglietti
1040,1926,Milan,Industrials,Carrozzeria Touring
1041,1808,Milan,Consumer services,Casa Ricordi
1042,1927,Meda,Consumer goods,Cassina S.p.A.
1043,1914,Recanati,Consumer goods,Castagnari
1044,1958,Como,Consumer goods,Chicco
1045,1935,Parma,Health care,Chiesi Farmaceutici S.p.A.
1046,1948,Milan,Consumer goods,Cinelli
1047,1757,Turin,Consumer goods,Cinzano
1048,1856,San Lazzaro di Savena,Consumer goods,Cirio
1049,1986,Milan,Consumer services,Class Editori
1050,1952,Cambiago,Consumer goods,Colnago
1051,1958,Modena,Consumer goods,Colotti Trasmissioni
1052,1919,Settala,Consumer goods,Columbus
1053,1973,Turin,Industrials,Comau
1054,?,Ancona,Consumer goods,Comus S.p.A.
1055,1994,Milan,Consumer goods,COMVERT S.r.l.
1056,1962,Bologna,Consumer services,Conad
1057,1967,Casalecchio di Reno,Consumer services,Coop
1058,1952,Mercato San Severino,Consumer goods,Coppola Industria Alimentare
1059,1958,Mantua,Consumer goods,Corneliani
1060,1854,Genoa,Consumer services,Costa Crociere
1061,1971,Castelfidardo,Consumer goods,Crumar
1062,1972,Molvena,Consumer goods,Dainese
1063,1972,Varano de' Melegari,Consumer goods,Dallara
1064,1924,Valenza,Consumer goods,Damiani
1065,1914,Buttrio,Industrials,Danieli
1066,1956,Caldonazzo,Consumer goods,Dario Pegoretti
1067,1901,Novara,Consumer services,De Agostini
1068,1886,Fara San Martino,Consumer goods,De Cecco
1069,1953,Milan,Consumer goods,De Rosa
1070,1959,Modena,Consumer goods,De Tomaso
1071,1933,Cabiate,Consumer goods,Dell'Orto
1072,1902,Treviso,Consumer goods,DeLonghi
1073,2007,Milan,Consumer services,Design42Day
1074,1952,Francofonte,Consumer goods,Di Blasi Industriale
1075,1948,Caerano di San Marco,Consumer goods,Diadora
1076,1978,Breganze,Consumer goods,Diesel
1077,1985,Milan,Consumer goods,Dolce & Gabbana
1078,2006,Macchia d'Isernia,Consumer goods,DR Motor Company
1079,1926,Bologna,Consumer goods,Ducati
1080,1926,Bologna,Industrials,Ducati Energia
1081,1936,Brixen,Technology,Durst
1082,1884,Milan,Utilities,Edison
1083,1938,Genoa,Utilities,Edoardo Raffinerie Garrone
1084,1959,Recanati,Consumer goods,Eko guitars
1085,1959,Perugia,Consumer goods,Ellesse
1086,1914,Naples,Consumer goods,E. Marinella
1087,1962,Rome,Utilities,Enel
1088,2010,Modena,Consumer goods,Energica Motor Company
1089,1953,Rome,Oil & gas,Eni
1090,1910,Milan,Consumer goods,Ermenegildo Zegna
1091,1988,Torrile,Consumer goods,ErreÃ 
1092,1957,Milan,Consumer services,Esselunga
1093,1968,Milan,Consumer goods,Etro
1094,1989,Milan,Consumer services,Eurofly
