,company_name,company_location,company_country
26,CIRO PAONE SPA,VIALE DELLE INDUSTRIE SNC,ITALY
27,ASTEL GARDEN GROUP OU,Veski poik 3,ESTONIA
28,"BRIDGESTONE AMERICAS, INC.",200 4TH AVE S STE 100,UNITED STATES
29,THE ENCORE GROUP (ENVELOPES AND PACKAGING) LIMITED,Industrial Road Hertburn Industrial Estate Hertburn,UNITED KINGDOM
30,DIAMALTERIA ITALIANA SRL,PIAZZA SICILIA 6,ITALY
31,ABC GARDEN OU,Variku tee 6-1,ESTONIA
32,"UNITED RENTALS, INC.",100 1ST STAMFORD PL STE 700,UNITED STATES
33,DASSAULT SYSTEMES UK LIMITED,"Unit 9, Riley Court Milburn Hill Road",UNITED KINGDOM
34,CREMOFIN SRL,VIA MODENA 53,ITALY
35,BRANDGATE GROUP OU,Erika tn 14,ESTONIA
36,MERCK SHARP & DOHME LLC,126 E LINCOLN AVE,UNITED STATES
37,IMPERIAL COLLEGE LONDON LIMITED,"FACULTY BUILDING, LEVEL 1 SOUTH KENSINGTON CAMPUS",UNITED KINGDOM
38,FEDRIGONI SPA,VIA ENRICO FERMI 13/F,ITALY
39,AURUM OU,Kullassepa tn 4,ESTONIA
40,MERCK SHARP & DOHME (I.A.) LLC,126 E LINCOLN AVE,UNITED STATES
41,Nottinghamshire Healthcare N H S Foundation Trust,Duncan Macmillan House Porchester Road,UNITED KINGDOM
42,EIFFAGE INFRAESTRUCTURAS SA,PIAZZA ATTIAS 13,ITALY
43,BOLT TECHNOLOGY OU,Vana-Louna tn 15,ESTONIA
44,MERCK SHARP & DOHME (ARGENTINA) INC.,126 E LINCOLN AVE,UNITED STATES
45,LIBERTY FINANCE MANAGEMENT (LIG) LTD,2nd Floor 40 Grosvenor Place,UNITED KINGDOM
46,SAFE SPA,VIA FERRUCCIO LAMBORGHINI 18,ITALY
47,GAME MACHINE OU,Ravala pst 8,ESTONIA
48,HL MANDO AMERICA CORPORATION,4201 NORTHPARK DR,UNITED STATES
49,GCP ASSET MANAGEMENT (UK) LTD,"2nd Floor Kingsbourne House, 229-231 High Holborn",UNITED KINGDOM
50,STMICROELECTRONICS SRL,VIA CAMILLO OLIVETTI 2,ITALY
51,MILWORKS OU,Sarruse tn 3,ESTONIA
52,"HYATT HOTELS OF FLORIDA, INC.",9801 INTERNATIONAL DR,UNITED STATES
53,GARNET UK 7 NEW LIMITED,"2nd Floor Kingsbourne House, 229-231 High Holborn",UNITED KINGDOM
54,TRAVAGLINI LOGISTIC AND TRANSPORT SRL,VIA PALERMO 21-23,ITALY
55,BOLT OPERATIONS OU,Vana-Louna tn 15,ESTONIA
56,"KOLB-LENA, INC.",3990 N SUNNYSIDE RD,UNITED STATES
57,GARNET UK 7 NEW RESIDENTIAL LIMITED,"2nd Floor Kingsbourne House, 229-231 High Holborn",UNITED KINGDOM
58,HUNTSMAN GOMET SRL,STRADA TOMBOLETO 12,ITALY
59,B-BUS OU,Narva mnt 5,ESTONIA
60,VERIZON INTERNATIONAL HOLDINGS INC.,3900 N WASHINGTON ST STE 2,UNITED STATES
61,GARNET UK 23 NEW LIMITED,"2nd Floor Kingsbourne House, 229-231 High Holborn",UNITED KINGDOM
62,JOHNSON CONTROLS ITALIA SRL,VIA MILANESE 124,ITALY
63,LUMINOR BANK AS,Liivalaia tn 45,ESTONIA
64,"MICRO FOCUS (US) INTERNATIONAL HOLDINGS, INC.",1209 N ORANGE ST,UNITED STATES
65,TURNER BROADCASTING SYSTEM EUROPE LIMITED,Turner House 16 Great Marlborough Street,UNITED KINGDOM
66,JOHNSON ELECTRIC ASTI SRL,CORSO ALESSANDRIA 395,ITALY
67,TALLINK AS,Sadama tn 5,ESTONIA
68,"USF INTERNATIONAL HOLDINGS, LLC",1209 ORANGE STE,UNITED STATES
69,SOUTHERN PARKS LIMITED,"The Maylands Building 200 Maylands Avenue, Hemel Hempstead Industrial Estate",UNITED KINGDOM
70,MOBY SPA,VIA LARGA 26,ITALY
71,TALLINK GRUPP AS,Sadama tn 5,ESTONIA
72,"GANTREX, INC.",6000 TOWN CENTER BLVD STE 240,UNITED STATES
73,CVC ADVISERS LIMITED,111 Strand,UNITED KINGDOM
74,GALPERTI ENGINEERING AND FLOW CONTROL SPA,VIA PRATI DELLA ROSA 17,ITALY
75,TOP CONNECT OU,Vaike-Paala tn 1,ESTONIA
76,ALABAMA POWER COMPANY,600 N 18TH ST,UNITED STATES
77,PENGUIN RANDOM HOUSE LIMITED,20 VAUXHALL BRIDGE ROAD,UNITED KINGDOM
78,ABB SPA,VIA LUCIANO LAMA 33,ITALY
79,PONTOS BALTIC AS,Viru valjak 4,ESTONIA
80,"CONSTRUCTION PARTNERS, INC.",290 HEALTHWEST DR STE 2,UNITED STATES
81,THE RANDOM HOUSE GROUP LIMITED,Whole Building 20 Vauxhall Bridge Road,UNITED KINGDOM
82,OLI SPA,VIA CANALAZZO 35,ITALY
83,SANDMANI GRUPI AS,Laki poik 6,ESTONIA
84,"GADSDEN REGIONAL MEDICAL CENTER, LLC",1007 GOODYEAR AVE,UNITED STATES
85,AVANTI GAS LIMITED,"Fao Sophie Leedham Ugi House Gisborne Close, Staveley",UNITED KINGDOM
86,OLI EBIKE SYSTEMS SRL,STRADA DEGLI SCHIOCCHI 12,ITALY
87,PRFOODS AS,Parnu mnt 141,ESTONIA
88,"LUMINATE CAPITAL PARTNERS II, LP",1 LETTERMAN DR STE CM 500,UNITED STATES
89,BOUYGUES E&S SOLUTIONS LIMITED,Becket House 1 Lambeth Palace Road,UNITED KINGDOM
90,BUSINESS INTEGRATION PARTNERS SPA,PIAZZA SAN BABILA 5,ITALY
91,SCHNEIDER ELECTRIC EESTI AS,Parnu mnt 139e/2,ESTONIA
92,WALMART INC.,702 SW 8TH ST,UNITED STATES
93,BOUYGUES (U.K.) LIMITED,Becket House 1 Lambeth Palace Road,UNITED KINGDOM
94,SOCIETA' GESTIONE SERVIZI AEROPORTI CAMPANI GE.S.A.C. SPA,UFFICI DIREZIONALI GESAC SNC,ITALY
95,KODUMAJA AS,Puidu tn 2,ESTONIA
96,"WAL-MART STORES EAST, LP",702 SW 8TH ST,UNITED STATES
97,DELOITTE LLP,1 New Street Square,UNITED KINGDOM
98,UNIVERSITA' DEGLI STUDI SUOR ORSOLA BENINCASA,CORSO VITTORIO EMANUELE 292,ITALY
99,IIZI KINDLUSTUSMAAKLER AS,Telliskivi tn 60/2,ESTONIA
100,"PALO ALTO NETWORKS, INC.",3000 TANNERY WAY,UNITED STATES
101,DELOITTE MCS LIMITED,1 New Street Square,UNITED KINGDOM
102,LOMBARD INTERNATIONAL ASSURANCE S.A.,PIAZZA SAN MARCO 3,ITALY
103,MARSH KINDLUSTUSMAAKLER AS,Tartu mnt 18,ESTONIA
104,"TONOGA, INC.",95-136 COONBROOK RD,UNITED STATES
105,FIRST MTR SOUTH WESTERN TRAINS LIMITED,"8th Floor The Point, 37 North Wharf Road",UNITED KINGDOM
106,PM SRL,VIALE SERENISSIMA 20,ITALY
107,KROONPRESS AS,Tahe tn 133,ESTONIA
108,EVOQUA WATER TECHNOLOGIES LLC,210 6TH AVE STE 3300,UNITED STATES
109,ABELLIO SCOTRAIL LTD,Culzean House 36 Renfield Street,UNITED KINGDOM
110,BIOCHEM SRL,VIA GIOVANNI BENINI 13,ITALY
111,MAKSEKESKUS HOLDING OU,Niine tn 11,ESTONIA
112,INSTITUTIONAL SHAREHOLDER SERVICES INC.,702 KING FARM BLVD STE 400,UNITED STATES
113,DEMEX LIMITED,Bernera Works Psalters Lane,UNITED KINGDOM
114,4WARD SRL,VIA LOMBARDIA 2/A,ITALY
115,MAKSEKESKUS AS,Niine tn 11,ESTONIA
116,"ISS CORPORATE SOLUTIONS, INC.",702 KING FARM BLVD STE 400,UNITED STATES
117,GENERAL MEDITERRANEAN HOLDING (UK) LIMITED,137-143 Hammersmith Road,UNITED KINGDOM
118,AGCO ITALIA SPA,VIA DELL'INDUSTRIA 63,ITALY
119,ELECTROAIR OU,"Kapteni tee 1, Soodevahe kula",ESTONIA
120,"POUDRE VALLEY HEALTH CARE, INC.",12401 E 17TH AVE STE B132,UNITED STATES
121,MOMENTUM GLOBAL INVESTMENT MANAGEMENT LIMITED,"2nd Floor The Rex Building, 62 Queen Street",UNITED KINGDOM
122,LAVERDA AGCO SPA,VIA FRANCESCO LAVERDA 15/17,ITALY
123,MEDIABRANDS DIGITAL OU,Tehnika tn 55,ESTONIA
124,"EXPERIAN INFORMATION SOLUTIONS, INC.",475 ANTON BLVD,UNITED STATES
125,PARITY GROUP PUBLIC LIMITED COMPANY,82 St. John Street,UNITED KINGDOM
126,VETROELITE SRL,VIA I MAGGIO 4,ITALY
127,TALLINNA LINNATRANSPORT AS,Kadaka tee 62a,ESTONIA
128,TIMBERLAND LLC,200 DOMAIN DR,UNITED STATES
129,CSO OIL & GAS TECHNOLOGY (WEST AFRICA) LIMITED,"Po Box 48, Second Floor, Sir Walter Raleigh House 48-50 The Esplanade, St. Helier",UNITED KINGDOM
130,VETROELITE PACKAGING SRL,VIA FOGGIA 177/A,ITALY
131,ADMIRAL MARKETS AS,Maakri tn 19/1,ESTONIA
132,"MERCK, SHARP & DOHME (EUROPE) INC.",300 FRANKLIN SQUARE DR,UNITED STATES
133,LINKLATERS LLP,One Silk Street,UNITED KINGDOM
134,TUA ASSICURAZIONI SPA,VIA BENIGNO CRESPI 19,ITALY
135,ADMIRALS GROUP AS,Maakri tn 19/1,ESTONIA
136,"PENTAX OF AMERICA, INC.",3 PARAGON DR,UNITED STATES
137,LINKLATERS BUSINESS SERVICES,1 Silk Street,UNITED KINGDOM
138,GRANITIFIANDRE SPA,VIA RADICI NORD 112,ITALY
139,FIBENOL OU,Moisa tn 4,ESTONIA
140,"EATELCORP, L.L.C.",913 S BURNSIDE AVE,UNITED STATES
141,SOPHEON PLC,"Dorna House One, Guildford Road West End",UNITED KINGDOM
142,GENERALI ITALIA SPA,VIA MAROCCHESA 14,ITALY
143,COMBIWOOD OU,"Liimi, Moldre kula",ESTONIA
144,MARTIN TOOL WORKS INC,2050 MITCHELL BLVD,UNITED STATES
145,VAUXHALL MOTORS LIMITED,"CHALTON HOUSE UK1-101-135, LUTON ROAD",UNITED KINGDOM
146,EZ SERVICE SRL,VIALE ROMA 99/100,ITALY
147,ELECTROAIR GROUP AS,"Kapteni tee 1, Soodevahe kula",ESTONIA
148,HLT PROPERTY ACQUISITION LLC,1751 HOTEL PLAZA BLVD,UNITED STATES
149,VML 2017 PENSION TRUSTEES LIMITED,Pinley House 2 Sunbeam Way,UNITED KINGDOM
150,INVESTIS INSURANCE BROKER SPA O IN BREVE INVESTIS BROKER SPA,VIA SAN DALMAZZO 15,ITALY
151,ELECTROAIR TECHNOLOGIES OU,"Kapteni tee 1, Soodevahe kula",ESTONIA
152,"WALT DISNEY PARKS AND RESORTS U.S., INC.",1375 BUENA VISTA DR FL 4,UNITED STATES
153,CENTRESOFT LIMITED,6 Pavilion Drive Holford,UNITED KINGDOM
154,DREAM YACHT ITALIA SRL,VIALE ISOLA BIANCA 1 A,ITALY
155,IDEAL GROUP AS,Tartu mnt 80,ESTONIA
156,TISHMAN DOLPHIN LIMITED PARTNERSHIP,1500 EPCOT RESORT BLVD,UNITED STATES
157,EMERSON SALES UK LIMITED,"Aberdeen Solution Centre Harvest Avenue, D2 Business Park Dyce",UNITED KINGDOM
158,HILDING ANDERS ITALY SRL,VIA VERONA 20,ITALY
159,LUMINOR PENSIONS ESTONIA AS,Liivalaia tn 45,ESTONIA
160,B OREGON LEASING LLC,55 W 46TH ST STE 2204,UNITED STATES
161,BRAY CONTROLS (UK) LIMITED,16-18 Fountain Crescent Inchinnan Business Park Inchinnan,UNITED KINGDOM
162,C-MAP ITALY SRL,VIA MARINA DI LEVANTE 19,ITALY
163,DIGITAL LEDGER OU,Tartu mnt 43,ESTONIA
164,B OREGON OWNER LLC,55 W 46TH ST STE 2204,UNITED STATES
165,ARABIC NEWS BROADCASTING UK LTD,137-143 Hammersmith Road Hammersmith,UNITED KINGDOM
166,INGENICO ITALIA SPA,VIA GIORGIO STEPHENSON 43/A,ITALY
167,VALMET TECHNOLOGIES OU,Roosikrantsi tn 2,ESTONIA
168,"IDEANOMICS, INC.",1441 BROADWAY STE 5116,UNITED STATES
169,BOLUDA TOWAGE LONDON LTD.,London Gateway Logistic Centre 1st Floor North Sea Crossing,UNITED KINGDOM
170,VALEO SPA,VIA ASTI 89,ITALY
171,ESTONIA CAPITAL OU,Ravala pst 8,ESTONIA
172,EMERGO GLOBAL CONSULTING LLC,2500 BEE CAVES RD # I,UNITED STATES
173,DTW 1991 UNDERWRITING LIMITED,71 Fenchurch Street,UNITED KINGDOM
174,SERVIER ITALIA SPA,VIA LUCA PASSI 85,ITALY
175,BOLT SERVICES EE OU,Vana-Louna tn 15,ESTONIA
176,MODERN SYSTEMS CORPORATION,3200 WINDY HILL RD SE STE 230,UNITED STATES
177,0044 LIMITED,Park House Clifton Park,UNITED KINGDOM
178,MAISONS DU MONDE ITALIE SRL,VIA TIZIANO 32,ITALY
179,BOLT HOLDINGS OU,Vana-Louna tn 15,ESTONIA
180,"NED DAVIS RESEARCH, INC.",600 BIRD BAY DR W,UNITED STATES
181,LCH LIMITED,10 PATERNOSTER SQUARE,UNITED KINGDOM
182,PAVAN SPA,VIA MONTE GRAPPA 8,ITALY
183,SCANFIL OU,Vana-Sauga tn 40,ESTONIA
184,"PUERTO RICO, COMMONWEALTH OF",63 CALLE DE LA FORTALEZA,UNITED STATES
185,VESTEY FOODS INTERNATIONAL LIMITED,29 Ullswater Crescent,UNITED KINGDOM
186,PRYSMIAN POWERLINK SRL,VIA CHIESE 6,ITALY
187,RINGCENTRAL ESTONIA OU,Parnu mnt 22,ESTONIA
188,"ICE DATA INDICES, LLC",100 CHURCH ST,UNITED STATES
189,ABELS MOVING SERVICES LIMITED,Wimbledon Avenue,UNITED KINGDOM
190,PRYSMIAN SPA,VIA CHIESE 6,ITALY
191,SWEDBANK AS,Liivalaia 8,ESTONIA
192,PALANTIR TECHNOLOGIES INC.,1200 17TH S FL 15,UNITED STATES
193,ABEL & COLE LIMITED,16 Waterside Way,UNITED KINGDOM
194,ELECTRONIC AND OPTICAL SENSING SOLUTIONS SRL IN BREVE EOSS SRL,VIA CHIESE 6,ITALY
195,SWEDBANK LIFE INSURANCE SE,Liivalaia tn 8,ESTONIA
196,PALANTIR INTERNATIONAL INC.,1555 BLAKE ST STE 250,UNITED STATES
197,YARA LIMITED,"Harvest House Origin Way, Europarc",UNITED KINGDOM
198,AMMOTEC ITALIA SRL,VIA GALILEO GALILEI 56,ITALY
199,SWEDBANK P&C INSURANCE AS,Liivalaia tn 8,ESTONIA
200,"DELTA AIR LINES, INC.",1030 DELTA BLVD,UNITED STATES
201,PIB RISK SERVICES LIMITED,Rossingtons Business Park West Carr Road,UNITED KINGDOM
202,I.I.S. 'MARCONI GALLETTI EINAUDI',VIA ALDO OLIVA 15,ITALY
203,LHV KINDLUSTUS AS,Tartu mnt 2,ESTONIA
204,"DELTA TECHNOLOGY, LLC",1001 INTERNATIONAL BLVD,UNITED STATES
205,PIB GROUP LIMITED,1 Minster Court,UNITED KINGDOM
206,THE BRIDGE SPA,VIA ERNESTO CODIGNOLA 14/16,ITALY
207,TAVRIDA ELECTRIC EXPORT AS,Visase tn 14,ESTONIA
208,PALANTIR TECHNOLOGIES HOLDINGS LLC,1555 BLAKE ST STE 250,UNITED STATES
209,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",25 Bank Street Canary Wharf,UNITED KINGDOM
210,VALENTINO SPA,VIALE DEI LANIFICI 1,ITALY
211,SMARTSWAP OU,Rannaku pst 12,ESTONIA
212,PALANTIR TECHNOLOGIES CANADA INC.,1555 BLAKE ST STE 250,UNITED STATES
213,J.P. MORGAN TRUST COMPANY (JERSEY) LIMITED,Grenville Street St. Helier,UNITED KINGDOM
214,AEP TICKETING SOLUTIONS SRL,VIA DEI COLLI 240,ITALY
215,MAXIMA EESTI OU,Aiandi tn 13/2,ESTONIA
216,PALANTIR TECHNOLOGIES QFC LLC,1555 BLAKE ST STE 250,UNITED STATES
217,VOLVO CONSTRUCTION EQUIPMENT HAULERS LIMITED,Newhouse Industrial Estate,UNITED KINGDOM
218,ALLIANZ SPA,PIAZZA TRE TORRI 3,ITALY
219,FINVAULT EXCHANGE OU,Rannaku pst 12,ESTONIA
220,"AIRBUS DS MILITARY AIRCRAFT, INC.",8100 AIRBUS MILITARY DR,UNITED STATES
221,FCE BANK PLC,Arterial Road Laindon,UNITED KINGDOM
222,ALLIANZ DIRECT SPA,PIAZZA TRE TORRI 3,ITALY
223,LHV PANK AS,Tartu mnt 2,ESTONIA
224,NASA LANGLEY RESEARCH CENTER,11 LANGLEY BLVD,UNITED STATES
225,ALPRO (UK) LIMITED,Altendiez Way Latimer Business Park Burton Latimer,UNITED KINGDOM
226,ENI PLENITUDE SPA SOCIETA' BENEFIT,PIAZZA EZIO VANONI 1,ITALY
227,GREEN IT OU,Mustamae tee 3,ESTONIA
228,MACANDREWS & FORBES INCORPORATED,35 E 62ND ST,UNITED STATES
229,CRODA EUROPE LIMITED,Cowick Hall Snaith,UNITED KINGDOM
230,DUAL ITALIA SPA,VIA EDMONDO DE AMICIS 51,ITALY
231,GREEN WINDOW OU,Jogeva mnt 29,ESTONIA
232,"STERLING INFOSYSTEMS, INC.",1 STATE STREET PLAZA 24TH FL,UNITED STATES
233,CRODA INTERNATIONAL PUBLIC LIMITED COMPANY,Cowick Hall Snaith,UNITED KINGDOM
234,MERCITALIA RAIL SRL,PIAZZA DELLA CROCE ROSSA 1,ITALY
235,SCAN SHIPPING OU,Kopli tn 19,ESTONIA
236,SURFACE MINING COMMISSION ALABAMA,1811 2ND AVE FL 2,UNITED STATES
237,CRODA INVESTMENTS NO 3 LIMITED,Cowick Hall Snaith,UNITED KINGDOM
238,MARINI SPA,VIA ROMA 50,ITALY
239,TS SHIPPING OU,Sadama tn 25/2,ESTONIA
240,COMPASS GROUP L.L.C.,590 MADISON AVE FL 34,UNITED STATES
241,JOHNSON ELECTRIC INTERNATIONAL (UK) LIMITED,Metropolitan House Longrigg,UNITED KINGDOM
242,RAI WAY SPA,VIA TEULADA 66,ITALY
243,DSVH OU,Voidu tn 6,ESTONIA
244,"COMPASS GROUP USA, INC.",2400 YORKMONT RD,UNITED STATES
245,GENERAL NUCLEAR INTERNATIONAL LIMITED,"5TH FLOOR REX HOUSE, 4-12 LOWER REGENT STREET",UNITED KINGDOM
246,BREMBO SPA,VIA BREMBO 25,ITALY
247,SMARTMATIC-CYBERNETICA CENTRE OF EXCELLENCE FOR INTERNET VOTING OU,Ulikooli tn 2,ESTONIA
248,GE POWER & WATER,1 RIVER RD BLDG 5 419,UNITED STATES
249,TOR CURRENCY EXCHANGE LIMITED,St. Marys Terrace,UNITED KINGDOM
250,NUOVA FOURB SRL,VIA MONTE ORTIGARA 5,ITALY
251,3P LOGISTICS OU,Laki poik 2,ESTONIA
252,"NPD GROUP, L.P., THE",900 W SHORE RD,UNITED STATES
253,QBE UK LIMITED,Plantation Place 30 Fenchurch Street,UNITED KINGDOM
254,POLYWORKS EUROPA (ITALIA) SRL,VIA CERESIO 7,ITALY
255,NG INVESTEERINGUD OU,Hobujaama tn 4,ESTONIA
256,PRO MACH INC,89 PARTNERSHIP WAY,UNITED STATES
257,MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED,20 Fenchurch Street,UNITED KINGDOM
258,ARISTON SPA,VIALE ARISTIDE MERLONI 45,ITALY
259,BLRT GRUPP AS,Kopli tn 103,ESTONIA
260,"ATLAS AIR, INC.",2000 WESTCHESTER AVE,UNITED STATES
261,HCC INTERNATIONAL INSURANCE COMPANY PLC,1 Aldgate,UNITED KINGDOM
262,UNIVERSITA' DEGLI STUDI DI PARMA,STRADA DELL'UNIVERSITA' 12,ITALY
263,EKSPRESS GRUPP AS,Parda tn 6,ESTONIA
264,"VERIFONE, INC.",11700 GREAT OAKS WAY STE 210,UNITED STATES
265,BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED,4Th Floor 8 Fenchurch Place,UNITED KINGDOM
266,ITT ITALIA SRL,VIA SAN MARTINO 87,ITALY
267,24 HOLDING OU,Vaike-Turu tn 5-81,ESTONIA
268,"WASTE MANAGEMENT OF ILLINOIS, INC.",700 E STE 400 BUTTERFIELD RD,UNITED STATES
269,NAVIGATORS INTERNATIONAL INSURANCE COMPANY LTD,7-8 Floor 6 Bevis Marks,UNITED KINGDOM
270,KICKOFF SPA,VIA ALBERT EINSTEIN 24,ITALY
271,HEPSOR AS,Jarvevana tee 7b,ESTONIA
272,BLOOMBERG FINANCE L.P.,731 LEXINGTON AVE,UNITED STATES
273,TRAVELERS INSURANCE COMPANY LIMITED,One Creechurch Place,UNITED KINGDOM
274,BAIN & C. ITALY INC.,VIA SANTA MARIA SEGRETA 2 N 03,ITALY
275,TS LAEVAD OU,Sadama tn 25/2,ESTONIA
276,CYCLE LINK (U.S.A.) INC.,1520 BRIDGEGATE DR STE 208,UNITED STATES
277,SAVENCIA FROMAGE & DAIRY UK LTD,The Ham,UNITED KINGDOM
278,HORIBA ITALIA SRL,VIALE LUCA GAURICO 209,ITALY
279,NORD CONNECT OU,Lootsa tn 8,ESTONIA
280,WARNER BROS. DISTRIBUTING INC.,4000 WARNER BLVD,UNITED STATES
281,WMG GLOBAL VENTURES LIMITED,13 Bramley Road,UNITED KINGDOM
282,CANALI SPA,VIA LOMBARDIA 17,ITALY
283,ME GROUP BALTIC OU,Liivalao tn 14,ESTONIA
284,WARNER BROS. ENTERPRISES LLC,4000 WARNER BLVD,UNITED STATES
285,LEYLAND TRUCKS LIMITED,Croston Road Farington Moss,UNITED KINGDOM
286,INDUSTRIA GRAFICA EUROSTAMPA SPA,VIALE RIMEMBRANZA 20,ITALY
287,RAGLOR OU,Laki poik 6,ESTONIA
288,WARNER BROS. RECORDS INC.,777 S SANTA FE AVE,UNITED STATES
289,MANN + HUMMEL VOKES-AIR LIMITED,Farrington Road,UNITED KINGDOM
290,CAMOZZI GROUP SPA,VIA ERITREA 20/I,ITALY
291,SEGMENT INVEST OU,Kanepi tn 3-8,ESTONIA
292,"WARNER BROS. (TRANSATLANTIC), INC.",4000 WARNER BLVD,UNITED STATES
293,MANN + HUMMEL VOKES AIR TREATMENT HOLDINGS LIMITED,Farrington Road,UNITED KINGDOM
294,UNIVERSITA' DEGLI STUDI ROMA TRE,VIA OSTIENSE 133,ITALY
295,ARCO VARA AS,Maakri tn 19/1,ESTONIA
296,WARNER BROS. CONSUMER PRODUCTS INC.,4001 W OLIVE AVE,UNITED STATES
297,K.J.N. AUTOMATION LIMITED,"Unit 8 Peckleton Lane Business Park Peckleton Common, Peckleton",UNITED KINGDOM
298,UNIVERSITA' DEGLI STUDI DI ROMA LA SAPIENZA,PIAZZALE ALDO MORO 5,ITALY
299,YERBLUES OU,Kai tn 1,ESTONIA
300,WARNER BROS. TECHNICAL OPERATIONS INC.,4000 WARNER BLVD,UNITED STATES
301,HUNT AND PALMER PLC,The Tower 48 Goffs Park Road,UNITED KINGDOM
302,UFI FILTERS SPA,VIA EUROPA 26,ITALY
303,GHUNI JATIGRAM OU,Ravala pst 8,ESTONIA
304,"DREAMWORKS, INC.",8600 GATEWAY BLVD E NEAR PENDALE RD.,UNITED STATES
305,RADIODETECTION LIMITED,Western Drive,UNITED KINGDOM
306,BRT SPA,VIA ENRICO MATTEI 42,ITALY
307,PERFORCE SOFTWARE AS,Ulikooli tn 2,ESTONIA
308,TWDC ENTERPRISES 18 CORP.,500 S BUENA VISTA ST,UNITED STATES
309,HUTCHISON 3G UK LIMITED,450 Longwater Avenue Green Park,UNITED KINGDOM
310,SDA EXPRESS COURIER SPA,VIALE EUROPA 175,ITALY
311,HEIMON KALA OU,"Karsa, Suure-Rootsi kula",ESTONIA
312,"WALT DISNEY COMPANY, THE",500 S BUENA VISTA ST,UNITED STATES
313,COMPANY 3 / METHOD LONDON LIMITED,28 Chancery Lane,UNITED KINGDOM
314,LOTTOMATICA SPA,VIA DEGLI ALDOBRANDESCHI 300,ITALY
315,KUEHNE + NAGEL AS,102C Parnu mnt,ESTONIA
316,CORPORATION SERVICE COMPANY,251 LITTLE FALLS DR,UNITED STATES
317,TRAVELODGE HOTELS LIMITED,Sleepy Hollow Aylesbury Road,UNITED KINGDOM
318,BYMYCAR ITALIA SRL,VIA DEI MISSAGLIA 89,ITALY
319,ESTATEGURU CAPITAL OU,Paasukese tn 2,ESTONIA
320,"CSC CORPORATE DOMAINS, INC.",251 LITTLE FALLS DR,UNITED STATES
321,J.H. FENNER & CO. LIMITED,Marfleet Lane,UNITED KINGDOM
322,BM BYMYCAR MILANO SRL,VIA DEI MISSAGLIA 89,ITALY
323,QARSON HOLDING OU,Lootsa tn 2b,ESTONIA
324,"CSC DOMAINS, LLC",2711 CENTERVILLE RD STE 400,UNITED STATES
325,FENNER GROUP HOLDINGS LIMITED,TRITTON ROAD,UNITED KINGDOM
326,SICILY BY CAR SPA,VIA CINISI 3,ITALY
327,ENEFIT SOLUTIONS AS,Malmi tn 8,ESTONIA
328,"MADISON SQUARE ASSOCIATES, LTD.",5901 UNIVERSITY DR MADISON SQUARE MALL,UNITED STATES
329,MODERN BIOSCIENCES LIMITED,2nd Floor 3 Pancras Square Kings Cross,UNITED KINGDOM
330,SWISSLOG HEALTHCARE ITALY SRL,VIA DEGLI ARTIGIANI 12,ITALY
