,company_industry,company_founded,company_revenue,company_name,company_location
132,Utilities,1992.0,$46.2B,Iberdrola,"Bilbao, Spain"
133,Materials,2004.0,$52B,China Shenhua Energy,"Beijing, China"
134,Banking,1944.0,$36B,ItaÃº Unibanco Holding,"SÃ£o Paulo, Brazil"
135,"Engineering, Manufacturing",1925.0,$51B,Caterpillar,"Deerfield, Illinois"
136,Trading Companies,1947.0,$108.3B,Mitsui,"Tokyo, Japan"
137,Trading Companies,1858.0,$108B,Itochu,"Tokyo, Japan"
138,Banking and Financial Services,1971.0,$19B,Charles Schwab,"San Francisco, California"
139,Banking,1872.0,$23.2B,Truist Financial,"Charlotte, North Carolina"
140,"Construction, Oil & Gas Operations, Mining and Chemicals",1949.0,$37.6B,Enbridge,"Calgary, Canada"
141,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1910.0,$91.9B,Hitachi,"Tokyo, Japan"
142,Telecommunications Services,1984.0,$49.2B,KDDI,"Tokyo, Japan"
143,Consumer Durables,1967.0,$102.7B,Hyundai Motor,"Seoul, South Korea"
144,Banking,1987.0,$57B,China Citic Bank,"Chaoyang, China"
145,Banking and Financial Services,1958.0,$25.5B,Visa,"San Francisco, California"
146,Retail and Wholesale,1902.0,$106B,Target,"Minneapolis, Minnesota"
147,Banking,1999.0,$42B,BBVA-Banco Bilbao Vizcaya,"Madrid, Spain"
148,Consumer Durables,2003.0,$53.8B,tesla,"Austin, Texas"
149,Capital Goods,1837.0,$44.5B,Deere & Company,"Moline, Illinois"
150,Banking,1994.0,$22.5B,HDFC Bank,"Mumbai, India"
151,Banking and Financial Services,1896.0,$30.2B,Barclays,"London, United Kingdom"
152,Insurance,1880.0,$84.9B,Munich Re,"Munich, Germany"
153,Insurance,1871.0,$103.6B,Japan Post Holdings,"Tokyo, Japan"
154,Retail and Wholesale,1901.0,$135.9B,Walgreens,"Deerfield, Illinois"
155,"Engineering, Manufacturing",1984.0,$30.3B,Danaher,"Washington, District of Columbia"
156,Insurance,1831.0,$102.1B,Generali Group,"Trieste, Italy"
157,Transportation,2009.0,$62B,MÃ¸ller-Maersk,"Copenhagen, Denmark"
158,Retailing,1921.0,$96.2B,Lowe's,"Mooresville, North Carolina"
159,Transportation and Logistics,1971.0,$91.5B,FedEx,"Memphis, Tennessee"
160,Transportation,1995.0,$96.6B,Deutsche Post,"Bonn, Germany"
161,Banking and Financial Services,1845.0,$19.9B,PNC Financial Services,"Pittsburgh, Pennsylvania"
162,Semiconductors,1961.0,$28.5B,Broadcom,"San Jose, California"
163,Oil & Gas Operations,1991.0,$125.1B,LukOil,"Moscow, Russia"
164,Health Care Equipment & Services,1949.0,$31.8B,Medtronic,"Dublin, Ireland"
165,"IT, Internet, Software & Services",1972.0,$33.2B,SAP,"Walldorf, Germany"
166,Semiconductors,1949.0,$37.5B,SK Hynix,"Icheon, South Korea"
167,Oil & Gas Operations,2008.0,$68.4B,ENGIE,"La Defense, France"
168,Aerospace & Defense,1912.0,$65.8B,Lockheed Martin,"Bethesda, Maryland"
169,Diversified Financials,1988.0,$20.3B,BlackRock,"New York, New York"
170,Banking,1817.0,$20.5B,Westpac Banking Group,"Sydney, Australia"
171,Utilities,1904.0,$25.1B,Duke Energy,"Charlotte, North Carolina"
172,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1984.0,$106.8B,Dell Technologies,"Round Rock, Texas"
173,"Construction, Oil & Gas Operations, Mining and Chemicals",1899.0,$59.1B,VINCI,"Nanterre, France"
174,Insurance,1879.0,$50.6B,Tokio Marine Holdings,"Tokyo, Japan"
175,"Telecommunications Services, Cable Supplier",2000.0,$48.4B,AmÃ©rica MÃ³vil,"Mexico City, Mexico"
176,Utilities,2000.0,$91.4B,E.ON,"Essen, Germany"
177,Materials,1917.0,$41.5B,Anglo American,"London, United Kingdom"
178,Banking,1943.0,$28.3B,Banco Bradesco,"Osasco, Brazil"
179,Diversified Financials,1991.0,$21.5B,ING Group,"Amsterdam, Netherlands"
180,Professional Services,1955.0,$56.7B,Accenture,"Dulin, Ireland"
181,Conglomerates,1906.0,$34.4B,Honeywell International,"Charlotte, North Carolina"
182,Banking,2003.0,$26.8B,Mizuho Financial,"Tokyo, Japan"
183,Chemicals,1879.0,$30.8B,Linde,"Guildford, United Kingdom"
184,Materials,2006.0,$76.7B,ArcelorMittal,"Luxembourg, Luxembourg"
185,Banking,1867.0,$18.7B,Canadian Imperial Bank,"Toronto, Canada"
186,Construction,1992.0,$42.9B,Poly Developments & Holdings Group,"Guangzhou, China"
187,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1978.0,$31.2B,Micron Technology,"Boise, Idaho"
188,Banking and Financial Services,1835.0,$18.4B,ANZ,"Melbourne, Australia"
189,Insurance,2001.0,$33.2B,Fubon Financial,"Taipei, Taiwan"
190,Telecommunications Services,2002.0,$68.2B,China Telecom,"Beijing, China"
191,Health Care Equipment & Services,1968.0,$59.7B,HCA Healthcare,"Nashville, Tennessee"
192,"Construction, Oil & Gas Operations, Mining and Chemicals",1897.0,$58.4B,Dow,"Midland, Michigan"
193,Telecommunications Services,1924.0,$46.4B,TelefÃ³nica,"Madrid, Spain"
194,Construction,1984.0,$71.4B,China Vanke,"Shenzhen, China"
195,Banking,1981.0,$15.8B,NAB - National Australia Bank,"Melbourne, Australia"
196,Insurance,1975.0,$34.5B,Cathay Financial,"Taipei, Taiwan"
197,Semiconductors,1985.0,$36B,Qualcomm,"San Diego, California"
198,Packaged Goods,1909.0,$38.2B,L'OrÃ©al,"Clichy, France"
199,Insurance,1931.0,$50.6B,Allstate,"Markham, Ontario"
200,Consumer Durables,1955.0,$121.4B,SAIC Motor,"Shanghai, China"
201,Banking,1994.0,$21.9B,ICICI Bank,"Vadodara, India"
202,Banking,1992.0,$42.4B,China Everbright Bank,"Beijing, China"
203,Drugs & Biotechnology,1987.0,$27.4B,Gilead Sciences,"Foster City, California"
204,Insurance,1991.0,$68.1B,China Pacific Insurance,"Shanghai, China"
205,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1993.0,$26.9B,NVIDIA,"Santa Clara, California"
206,Drugs & Biotechnology,1980.0,$26B,Amgen,"Thousand Oaks, California"
207,Transportation,1862.0,$22.7B,Union Pacific,"Omaha, Nebraska"
208,Insurance,1902.0,$66.7B,Dai-ichi Life Insurance,"Tokyo, Japan"
209,"Clothing, Shoes, Sports Equipment",1964.0,$46.9B,Nike,"Beaverton, Oregon"
210,Drugs & Biotechnology,1781.0,$31.5B,Takeda Pharmaceutical,"Tokyo, Japan"
211,"Food, Drink & Tobacco",1847.0,$31.5B,Philip Morris International,"New York, New York"
212,Banking and Financial Services,1998.0,$25.6B,PayPal,"San Jose, California"
213,Construction,1994.0,$33.6B,China Resources Land,"Hong Kong, Hong Kong"
214,Banking,1912.0,$22.9B,Oversea-Chinese Banking,"Singapore, Singapore"
215,"Engineering, Manufacturing",1968.0,$50.6B,Midea Group,"Guandong, China"
216,Insurance,1864.0,$35.3B,Travelers,"New York, New York"
217,Drugs & Biotechnology,1876.0,$28.3B,Eli Lilly,"Indianapolis, Indiana"
218,"Food, Drink & Tobacco",2012.0,$28.7B,Mondelez International,"Chicago, Illinois"
219,"Hotels, Restaurants & Leisure",1955.0,$23.2B,McDonald's,"Chicago, Illinois"
220,"Engineering, Manufacturing",1892.0,$74.1B,General Electric,"Mississauga, Ontario"
221,Banking and Financial Services,1864.0,$35.6B,SociÃ©tÃ© GÃ©nÃ©rale,"Paris, France"
222,"Engineering, Manufacturing",1836.0,$34.2B,Schneider Electric,"Rueil-Malmaison, France"
223,Packaged Goods,1902.0,$35.4B,3M,"St. Paul, Minnesota"
224,Insurance,1955.0,$22.1B,Aflac,"Columbus, Ohio"
225,Oil & Gas Operations,1956.0,$66.3B,Oil & Natural Gas,"New Delhi, India"
226,Utilities,1945.0,$23.2B,Southern Company,"Atlanta, Georgia"
227,Banking,1870.0,$36.7B,Deutsche Bank,"Frankfurt, Germany"
228,Oil & Gas Operations,1978.0,$70.6B,PTT,"Bangkok, Thailand"
229,Conglomerates,2014.0,$36.1B,CK Hutchison,"Hong Kong, Hong Kong"
230,Oil & Gas Operations,1973.0,$24B,Canadian Natural Resources,"Calgary, Canada"
231,Banking and Financial Services,1865.0,$29.8B,Sun Life Financial,"Toronto, Canada"
232,Aerospace & Defense,1939.0,$35.7B,Northrop Grumman,"Falls Church, Virginia"
233,"Food, Drink & Tobacco",1902.0,$85.3B,Archer Daniels Midland,"Chicago, Illinois"
234,Oil & Gas Operations,2009.0,$119.8B,Marathon Petroleum,"Findlay, Ohio"
235,Banking,1996.0,$50.1B,China Minsheng Bank,"Beijing, China"
236,Insurance,1836.0,$62.5B,Legal & General Group,"London, United Kingdom"
237,Media & Advertising,1997.0,$30.4B,Netflix,"Los Gatos, California"
238,Insurance,1937.0,$48.1B,Progressive,"Mayfield Village, Ohio"
239,Construction,1993.0,$34.8B,Longfor Group Holdings,"Beijing, China"
240,Banking,1968.0,$12.4B,DBS,"Singapore, Singapore"
241,Transportation,2005.0,$51.8B,Cosco Shipping,"Tianjin, China"
242,Construction,2006.0,$108.4B,China Communications Construction,"Beijing, China"
243,Banking,1968.0,$17.9B,NatWest Group,"Edinburgh, United Kingdom"
244,Utilities,2000.0,$39.3B,Exelon,"Chicago, Illinois"
245,Drugs & Biotechnology,1961.0,$84.1B,Humana,"Louisville, Kentucky"
246,Aerospace & Defense,1952.0,$38.5B,General Dynamics,"Reston, Virginia"
247,Diversified Financials,1925.0,$57.9B,Power Corp of Canada,"MontrÃ©al, Canada"
248,Banking,1964.0,$14.2B,Qatar National Bank,"Doha, Qatar"
249,Drugs & Biotechnology,1863.0,$52.1B,Bayer,"Leverkusen, Germany"
250,Diversified Financials,1976.0,$19B,KKR,"New York, New York"
251,Construction,1992.0,$81.1B,Country Garden Holdings,"Foshan, China"
252,Utilities,1984.0,$23.7B,NextEra Energy,"Juno Beach, Florida"
253,Banking,1963.0,$33.9B,KB Financial Group,"Seoul, South Korea"
254,Construction,1989.0,$166.5B,China Railway Group,"Beijing, China"
255,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1939.0,$65B,HP,"Palo Alto, California"
256,Banking,1974.0,$13.6B,Nordea Bank,"Helsinki, Finland"
257,Food Markets,2005.0,$78.5B,Seven & I Holdings,"Tokyo, Japan"
258,Oil & Gas Operations,1919.0,$31.2B,Suncor Energy,"Calgary, Canada"
259,"IT, Internet, Software & Services",1999.0,$26.5B,Salesforce.com,"San Francisco, California"
260,Chemicals,1902.0,$27.6B,Air Liquide,"Paris, France"
261,Consumer Durables,1949.0,$49.5B,Denso,"Kariya, Japan"
262,Banking,1965.0,$16.1B,Bank of New York Mellon,"New York, New York"
263,Business Services & Supplies,1966.0,$18.9B,Mastercard,"New York, New York"
264,Banking,1808.0,$29.5B,Banco do Brasil,"BrasÃ­lia, Brazil"
265,Drugs & Biotechnology,1984.0,$126B,Centene,"St. Louis, Missouri"
266,Business Services & Supplies,1977.0,$18.5B,HDFC,"Mumbai, India"
267,Materials,1897.0,$24.3B,Freeport-McMoRan,"Phoenix, Arizona"
268,Drugs & Biotechnology,1668.0,$23.3B,"Merck KGaA, Darmstadt, Germany and its affiliates","Darmstadt, Germany"
269,Banking,1980.0,$14.6B,CaixaBank,"Valencia, Spain"
270,Conglomerates,1883.0,$28.9B,ABB,"Zurich, Switzerland"
271,Consumer Durables,1927.0,$43.4B,Volvo Group,"Goteborg, Sweden"
272,Oil & Gas Operations,1920.0,$26B,Occidental Petroleum,"Houston, Texas"
273,Utilities,1990.0,$20.8B,National Grid,"London, United Kingdom"
274,Drugs & Biotechnology,1833.0,$257B,McKesson,"Irving, Texas"
275,Diversified Financials,2001.0,$29.3B,Shinhan Financial Group,"Seoul, South Korea"
276,Semiconductors,1984.0,$20.7B,ASML Holding,"Veldhoven, Netherlands"
277,Chemicals,2017.0,$27.6B,Nutrien,"Saskatoon, Canada"
278,Diversified Financials,1916.0,$12.8B,Investor AB,"Stockholm, Sweden"
279,Consumer Durables,1944.0,$61B,KIA,"Seoul, South Korea"
280,Construction,1665.0,$52.2B,Saint-Gobain,"La Defense, France"
281,Drugs & Biotechnology,1989.0,$22.4B,Novo Nordisk,"BagsvÃ¦rd, Denmark"
282,Materials,1968.0,$66.7B,Posco,"Seoul, South Korea"
283,"Food, Soft Beverages, Alcohol & Tobacco",1997.0,$19B,Diageo,"London, United Kingdom"
284,Food Markets,2016.0,$89.4B,Royal Ahold Delhaize N.V.,"Zaandam, Netherlands"
285,Insurance,1949.0,$90.1B,PICC,"Beijing, China"
286,Utilities,1983.0,$14B,Dominion Energy,"Richmond, Virginia"
287,Food Markets,1883.0,$137.9B,Kroger,"Cincinnati, Ohio"
288,Materials,2000.0,$55.5B,Baoshan Iron & Steel,"Shanghai, China"
289,"Food, Drink & Tobacco",1999.0,$14.6B,Kweichow Moutai,"Renhuai, China"
290,Technology Hardware & Equipment,2010.0,$50.9B,Xiaomi,"Beijing, China"
291,Banking,1997.0,$13.7B,Bank of Ningbo,"Ningbo, China"
292,Oil & Gas Operations,1948.0,$23.4B,Ecopetrol,"Bogota, Colombia"
293,Chemicals,2007.0,$46.2B,LyondellBasell Industries,"London, United Kingdom"
294,Capital Goods,2011.0,$20.1B,Contemporary Amperex Technology,"Ningde, China"
295,Banking,1998.0,$27.8B,UniCredit,"Milan, Italy"
296,Drugs & Biotechnology,1969.0,$221.1B,AmerisourceBergen,"Chesterbrook, Pennsylvania"
297,Health Care Equipment & Services,2018.0,$23.4B,EssilorLuxottica,"Paris, France"
298,Retail and Wholesale,1985.0,$32.6B,Inditex,"Arteixo, Spain"
299,Restaurants,1971.0,$30.4B,Starbucks,"Seattle, Washington"
300,Materials,1905.0,$40B,Nucor,"Charlotte, North Carolina"
301,Diversified Financials,2000.0,$10.1B,IntercontinentalExchange,"Atlanta, Georgia"
302,Retailing,1976.0,$48.6B,TJX Cos,"Framingham, Massachusetts"
303,Banking,1935.0,$14.8B,KBC Group,"Brussels, Belgium"
304,Retail and Wholesale,1919.0,$84.2B,Tesco,"Welwyn Garden City, United Kingdom"
305,Technology Hardware & Equipment,1993.0,$33.8B,BOE Technology Group,"Beijing, China"
306,Diversified Financials,1985.0,$15.5B,Blackstone,"New York, New York"
307,Utilities,1906.0,$16.6B,American Electric,"Columbus, Ohio"
308,Diversified Financials,1985.0,$11.2B,Macquarie Group,"Sydney, Australia"
309,Trading Companies,1858.0,$72.3B,Marubeni,"Tokyo, Japan"
310,Insurance,1863.0,$46B,Swiss Re,"Zurich, Switzerland"
311,Oil & Gas Operations,1985.0,$19.8B,EOG Resources,"Houston, Texas"
312,Insurance,1959.0,$51.8B,CNP Assurances,"Paris, France"
313,Business Services & Supplies,1949.0,$15.7B,Automatic Data Processing,"Roseland, New Jersey"
314,Oil & Gas Operations,2012.0,$111.7B,Phillips 66,"Houston, Texas"
315,"Food, Drink & Tobacco",1935.0,$49.5B,Tyson Foods,"Springdale, Arkansas"
316,Oil & Gas Operations,1987.0,$58.8B,Repsol,"Madrid, Spain"
317,Trading Companies,1952.0,$48.2B,Sumitomo,"Tokyo, Japan"
318,Construction,1912.0,$29.4B,Holcim,"Zug, Switzerland"
319,"Food, Drink & Tobacco",1919.0,$21.1B,Altria Group,"Richmond, Virginia"
320,Semiconductors,1967.0,$24.2B,Applied Materials,"Santa Clara, California"
321,Transportation,,$47B,Daimler Truck Holding,"Leinfelden-Echterdingen, Germany"
322,Materials,1986.0,$37.2B,Zijin Mining Group,"Longyan, China"
323,Banking,1953.0,$8.6B,The Saudi National Bank,"Riyadh, Saudi Arabia"
324,"Clothing, Shoes, Sports Equipment",1988.0,$19.8B,Richemont,"Bellevue, Switzerland"
325,"Clothing, Shoes, Sports Equipment",1963.0,$20.9B,Kering,"Paris, France"
326,Utilities,2000.0,$18.5B,Saudi Electricity,"Riyadh, Saudi Arabia"
327,"Food, Soft Beverages, Alcohol & Tobacco",1919.0,$28.7B,Danone,"Paris, France"
328,Materials,1950.0,$57.5B,Nippon Steel,"Tokyo, Japan"
329,Chemicals,1947.0,$37.3B,LG Chem,"Seoul, South Korea"
330,Banking and Financial Services,1985.0,$12.8B,Discover Financial Services,"Riverwoods, Illinois"
331,Food Markets,1980.0,$58.7B,Couche Tard,"Laval, Canada"
332,Banking,1992.0,$26.4B,Huaxia Bank,"Beijing, China"
333,Insurance,1845.0,$22.4B,NN Group,"The Hague, Netherlands"
334,Business Services & Supplies,1938.0,$100.3B,Fannie Mae,"Washington, District of Columbia"
335,Health Care Equipment & Services,1912.0,$44.3B,Fresenius,"Bad Homburg, Germany"
