,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
23," Dr. Leonard S. Schleifer M.D., Ph.D.",United States," 10,368", 1988,"Tarrytown,NY,UnitedStates",Biotechnology,$74.91 B,"Regeneron Pharmaceuticals, Inc.",REGN
24, Mr. Daniel P.  O'Day,United States," 14,400"," JuneÂ 22, 1987","FosterCity,CA,UnitedStates",Drug ManufacturersâGeneral,$76.15 B,"Gilead Sciences, Inc.",GILD
25, Mr. Thomas E. Polen Jr.,United States," 75,000"," East Rutherford, New Jersey 1897","FranklinLakes,NJ,UnitedStates",Medical Instruments & Supplies,$76.98 B,"Becton, Dickinson and Company",BDX
26, Mr. William S. Demchak,United States," 57,668"," AprilÂ 10, 1845","Pittsburgh,PA,UnitedStates",Banks,$77.10 B,"The PNC Financial Services Group, Inc.",PNC
27, Mr. Timothy M. Archer,United States," 16,300", 1980,"Fremont,CA,UnitedStates",Semiconductor Equipment & Materials,$77.60 B,Lam Research Corporation,LRCX
28, Mr. Thomas A. Fanning,United States," 27,027", 1945,"Atlanta,GA,UnitedStates",UtilitiesâRegulated Electric,$78.38 B,The Southern Company,SO
29,,China," 384,065"," Beijing, China 25 February 2000","Beijing,China",Oil & Gas Integrated,$78.39 B,China Petroleum & Chemical Corporation,600028
30,,China," 3,985",,"Beijing,China",UtilitiesâIndependent Power Producers,$78.42 B,China Yangtze Power Co. Ltd,600900
31, Mr. FranÃÂ§ois-Henri  Pinault,France," 42,811",,"Paris,France",Luxury Goods,$78.66 B,Kering SA,KER
32, Mr. William Darryl White,Canada," 43,863", Montreal Bank 23Â June 1817,"Montreal,QC,Canada",Banks,$79.22 B,Bank of Montreal,BMO
33, Mr. Toshiki  Kawai,Japan," 14,479",,"Tokyo,Japan",Semiconductor Equipment & Materials,$79.62 B,Tokyo Electron Ltd,8035
34, Mr. Andrew J. Cecere,United States," 68,796"," JulyÂ 13, 1863","Minneapolis,MN,UnitedStates",Banks,$80.16 B,U.S. Bancorp,USB
35, Mr. Francesco  Milleri,France," 144,888",,"Paris,France",Medical Instruments & Supplies,$80.49 B,EssilorLuxottica SA,EL
36, Mr. Jay A. Brown,United States," 5,000", 1994,"Houston,TX,UnitedStates",REITâSpecialty,$80.92 B,Crown Castle International Corp. (REIT),CCI
37," Mr. Ross Maxwell McEwan B.B.S., CBE",Australia," 32,741", 1982,"Docklands,VIC,Australia",Banks,$81.03 B,National Australia Bank Limited,NAB
38, Mr. Samuel N. Hazen,United States," 204,000", 1968,"Nashville,TN,UnitedStates",Medical Care Facilities,$82.60 B,"HCA Healthcare, Inc.",HCA
39, Mr. Benoit  Potier,France," 66,400",,"Paris,France",Chemicals,$83.24 B,Air Liquide SA,AI
40, Mr. Tobias  LÃÂ¼tke,Canada," 10,000", 2006,"Ottawa,ON,Canada",SoftwareâApplication,$83.80 B,Shopify Inc.,SHOP
41, Mr. David Michael Cordani,United States," 72,226", 1982,"Bloomfield,CT,UnitedStates",Healthcare Plans,$84.67 B,Cigna Corporation,CI
42, Mr. Hironori  Kamezawa,Japan," 132,700"," OctoberÂ 1, 2005","Tokyo,Japan",Banks,$85.03 B,"Mitsubishi UFJ Financial Group, Inc.",8306
43, Mr. Sanjay  Mehrotra,United States," 43,000"," OctoberÂ 5, 1978","Boise,ID,UnitedStates",Semiconductors,$86.49 B,"Micron Technology, Inc.",MU
44, Mr. Daniel S. Glaser,United States," 83,000", 1905,"NewYork,NY,UnitedStates",Insurance Brokers,$87.16 B,"Marsh & McLennan Companies, Inc.",MMC
45, Mr. Terrence A. Duffy,United States," 3,480", 1848,"Chicago,IL,UnitedStates",Financial Data & Stock Exchanges,$87.17 B,CME Group Inc.,CME
46, Mr. Gary  Nagle,Switzerland," 81,284", 1974,"Baar,Switzerland",Other Industrial Metals & Mining,$87.31 B,Glencore plc,GLEN
47, Mr. James Bruce Flatt,Canada," 150,000", 1899,"Toronto,ON,Canada",Asset Management,$87.46 B,Brookfield Asset Management Inc.,BAM.A
48," Mr. Stephen Allen Schwarzman B.A., M.B.A.",United States," 3,795", 1985,"NewYork,NY,UnitedStates",Asset Management,$87.64 B,The Blackstone Group Inc.,BX
49," Mr. Brian Johnston Porter A.M.P., B.Com.",Canada," 89,782"," MarchÂ 30, 1832","Halifax,NS,Canada",Banks,$87.76 B,Bank of Nova Scotia,BNS
50, Ms. Lynn J. Good,United States," 27,605", 1904,"Charlotte,NC,UnitedStates",UtilitiesâRegulated Electric,$88.76 B,Duke Energy Corporation,DUK
51, Mr. Michael F. Roman,United States," 95,000"," JuneÂ 13, 1902","St.Paul,MN,UnitedStates",Specialty Industrial Machinery,$88.77 B,3M Company,MMM
52, Mr. Paul R. Perreault B.A.,Australia," 25,000", 1916,"Parkville,VIC,Australia",Biotechnology,$89.69 B,CSL Limited,CSL
53, Ms. Kristin C. Peck,United States," 12,100", 1952Â ,"Parsippany,NJ,UnitedStates",Drug ManufacturersâSpecialty & Generic,$89.82 B,Zoetis Inc.,ZTS
54,,United States, 68,,"Wilmington,DE,UnitedStates",Chemicals,$90.34 B,Vulcan International Corp,VULC
55, Mr. Qiangdong  Liu,China," 310,000", 6Â June 2009,"Beijing,China",Internet Retail,$90.46 B,"JD.com, Inc.",9618
56, Mr. Dirk  Van de Put,United States," 79,000"," DecemberÂ 10, 1923","Chicago,IL,UnitedStates",Confectioners,$90.67 B,"Mondelez International, Inc.",MDLZ
57, Ms. Belen  Garijo Lopez M.D.,Germany," 60,334",,"Darmstadt,Germany",Drug ManufacturersâSpecialty & Generic,$90.74 B,MERCK Kommanditgesellschaft auf Aktien,MRK
58, Mr. Timotheus  Hottges,Germany," 216,528",,"Bonn,Germany",Telecom Services,$93.01 B,Deutsche Telekom AG,DTE
59, Mr. Jean-Pascal  Tricoire,France," 166,025",,"Rueil-Malmaison,France",Specialty Industrial Machinery,$94.34 B,Schneider Electric SE,SU
60, Mr. Al  Monaco,Canada," 10,900"," AprilÂ 30,Â 1949Â as Interprovincial Pipe Line Company","Calgary,AB,Canada",Oil & Gas Midstream,$94.94 B,Enbridge Inc.,ENB
61, Ms. Tracy A. Robinson,Canada," 22,604", 6Â June 1919,"Montreal,QC,Canada",Railroads,$94.96 B,Canadian National Railway Company,CNR
62, Mr. Glenn D. Fogel,United States," 20,097", 1996,"Norwalk,CT,UnitedStates",Travel Services,$95.02 B,Booking Holdings Inc.,BKNG
63,,China," 77,029",,"Beijing,China",Thermal Coal,$95.34 B,China Shenhua Energy Company Ltd,601088
64,,United Kingdom," 60,000", 14Â AprilÂ 1909 as the Anglo-Persian Oil Company,"London,UnitedKingdom",Oil & Gas Integrated,$96.24 B,BP plc,BP.
65, Mr. Carlos A. Rodriguez,United States," 56,000", 1949,"Roseland,NJ,UnitedStates",Staffing & Employment Services,$96.98 B,"Automatic Data Processing, Inc.",ADP
66, Mr. Michel Abbas Khalaf,United States," 49,000"," MarchÂ 24, 1868","NewYork,NY,UnitedStates",InsuranceâLife,$62.69 B,"MetLife, Inc.",MET
67, Mr. Bernard S. Charles,France," 20,496",,"Velizy-Villacoublay,France",SoftwareâApplication,$62.75 B,Dassault SystÃ¨mes SE,DSY
68, Mr. William J. Fehrman,United States," 4,800",,"Portland,OR,UnitedStates",UtilitiesâDiversified,$62.87 B,PacifiCorp,PPWLM
69, Mr. Michael F. Mahoney,United States," 41,000", 1979,,Medical Devices,$63.08 B,Boston Scientific Corporation,BSX
70, Mr. Frederick W. Smith,United States," 384,000"," MayÂ 5, 1971","Memphis,TN,UnitedStates",Integrated Freight & Logistics,$63.25 B,FedEx Corporation,FDX
71,,Japan," 24,629",,"Tokyo,Japan",Chemicals,$63.43 B,Shin-Etsu Chemical Co Ltd,4063
72, Mr. Soren  Skou,Denmark," 95,000",,"Copenhagen,Denmark",Marine Shipping,$64.40 B,AP Moller - Maersk A-S,MAERSK.B
73,,South Korea," 29,047",,"Icheon-Si,SouthKorea",Semiconductors,$64.60 B,"SK hynix, Inc.",000660
74, Mr. Toshio  Kagami,Japan," 8,782",,"Urayasu,Japan",Leisure,$64.66 B,Oriental Land Co. Ltd,4661
75, Mr. Frank  Slootman,United States," 2,495"," JulyÂ 23, 2012","SanMateo,CA,UnitedStates",SoftwareâApplication,$65.04 B,Snowflake Inc.,SNOW
76, Mr. Christopher Mark Crane,United States," 31,518"," OctoberÂ 20, 2000","Chicago,IL,UnitedStates",UtilitiesâDiversified,$65.53 B,Exelon Corporation,EXC
77, Mr. Noel R. Wallace,United States," 33,800", 1806,"NewYork,NY,UnitedStates",Household & Personal Products,$65.64 B,Colgate-Palmolive Company,CL
78, Mr. James D. Farley Jr.,United States," 183,000"," JuneÂ 16, 1903","Dearborn,MI,UnitedStates",Auto Manufacturers,$65.74 B,Ford Motor Company,F
79, Mr. Thomas Ronald Palmer,United States," 14,400", 1921,"Denver,CO,UnitedStates",Gold,$65.89 B,Newmont Corporation,NEM
80, Mr. Charles J. Meyers,United States," 10,944", 1998,"RedwoodCity,CA,UnitedStates",REITâSpecialty,$66.35 B,"Equinix, Inc. (REIT)",EQIX
81, Mr. Sandeep  Bakhshi B.E.,India," 98,750", 5Â January 1994,"Mumbai,India",Banks,$66.62 B,ICICI Bank Limited,IBN
82, Mr. Piyush  Gupta,Singapore," 33,000",,"Singapore,Singapore",Banks,$66.74 B,DBS Group Holdings Ltd,D05
83,,China," 59,630",,"Fuzhou,China",Banks,$66.87 B,Industrial Bank Co. Ltd,601166
84, Mr. James C. Fish Jr.,United States," 48,500"," JanuaryÂ 1, 1968","Houston,TX,UnitedStates",Waste Management,$66.95 B,"Waste Management, Inc.",WM
85,,Switzerland," 104,400", 1988,"Zurich,Switzerland",Electrical Equipment & Parts,$67.19 B,ABB Ltd,ABBN
86," Mr. Peter Francis King F.C.A., BEc, FCA",Australia," 40,143",,"Sydney,NSW,Australia",Banks,$67.20 B,Westpac Banking Corporation,WBC
87, Ms. Susan Patricia Griffith,United States," 49,077"," MarchÂ 10, 1937","Mayfield,OH,UnitedStates",InsuranceâProperty & Casualty,$67.31 B,The Progressive Corporation,PGR
88, Mr. E. Scott Santi,United States," 45,000", 1912,"Glenview,IL,UnitedStates",Specialty Industrial Machinery,$67.49 B,Illinois Tool Works Inc.,ITW
89," Dr. Reshma  Kewalramani FASN, M.D.",United States," 3,900", 1989,"Boston,MA,UnitedStates",Biotechnology,$67.49 B,Vertex Pharmaceuticals Incorporated,VRTX
90, Mr. John G. Morikis,United States," 61,000"," Cleveland, Ohio, U.S. 1866","Cleveland,OH,UnitedStates",Specialty Chemicals,$67.54 B,The Sherwin-Williams Company,SHW
91, Mr. Werner  Baumann,Germany," 95,950",,"Leverkusen,Germany",Drug ManufacturersâGeneral,$68.09 B,Bayer AG,BAYN
92, Mr. Hisayuki  Idekoba,Japan," 46,800",,"Tokyo,Japan",Staffing & Employment Services,$68.11 B,Recruit Holdings Co Ltd,6098
93, Mr. Jose Ignacio  Sanchez Galan,Spain," 38,702",,"Bilbao,Spain",UtilitiesâDiversified,$68.23 B,"Iberdrola, SA",IBE
94, Mr. Frank J. Bisignano,United States," 44,000", 1984,"Brookfield,WI,UnitedStates",Information Technology Services,$68.68 B,"Fiserv, Inc.",FISV
95, Mr. Herman Oskarovich Gref,Russia," 287,866",,"Moscow,Russia",Banks,$68.69 B,Sberbank of Russia PJSC,SBER
96, Mr. Ralph A. J. G. Hamers,Switzerland," 71,385", 29Â June 1998,"Zurich,Switzerland",Banks,$68.93 B,UBS Group AG,UBSG
97, Mr. Joseph D. Russell Jr.,United States," 5,800", 1972,"Glendale,CA,UnitedStates",REITâIndustrial,$69.31 B,Public Storage,PSA
98, Mr. Daniel Hajj Aboumrad,Mexico," 181,205", 1986,"MexicoCity,DF,Mexico",Telecom Services,$69.45 B,"AmÃ©rica MÃ³vil, S.A.B. de C.V.",AMXA
99, Mr. Jean-Laurent  Bonnafe,France," 190,000",,"Paris,France",Banks,$69.90 B,BNP Paribas SA,BNP
100, Mr. Francesco  Starace,Italy," 66,279",,"Rome,RM,Italy",UtilitiesâDiversified,$70.15 B,Enel SpA,ENEL
101, Mr. Robert M. Blue,United States," 17,100"," Virginia, U.S. 1983","Richmond,VA,UnitedStates",UtilitiesâDiversified,$70.20 B,"Dominion Energy, Inc.",D
102, Dr. Thomas  Buberl,France," 106,128",,"Paris,France",InsuranceâDiversified,$70.20 B,AXA SA,CS
103, Ms. Phebe N. Novakovic,United States," 103,100"," FebruaryÂ 7, 1899",,Aerospace & Defense,$70.55 B,General Dynamics Corporation,GD
104, Mr. Stephane  Bancel,United States," 2,700", SeptemberÂ 2010,"Cambridge,MA,UnitedStates",Biotechnology,$70.81 B,"Moderna, Inc.",MRNA
105," Mr. Mark  Cutifani B.E., BEng (Mining), Fellow AusIMM, CEngFIMMM, DBA",United Kingdom," 106,000", 1917,"London,UnitedKingdom",Other Industrial Metals & Mining,$71.48 B,Anglo American plc,AAL
106, Dr. Bernhard  Montag,Germany," 66,800",,"Erlangen,Germany",Diagnostics & Research,$71.50 B,Siemens Healthineers AG,SHL
107, Mr. Ezra Y. Yacob,United States," 2,800", 1999,"Houston,TX,UnitedStates",Oil & Gas E&P,$71.90 B,"EOG Resources, Inc.",EOG
108,,Indonesia," 25,370",,"Jakarta,Indonesia",Banks,$71.91 B,PT Bank Central Asia Tbk,BBCA
109, Mr. Guilherme  De Souza Macedo Loureiro,Mexico," 231,259",,"MexicoCity,DF,Mexico",Discount Stores,$71.96 B,Wal-Mart de Mexico SAB de CV,WALMEX
110, Mr. Richard C. Adkerson,United States," 24,700", 1912,"Phoenix,AZ,UnitedStates",Copper,$72.16 B,Freeport-McMoRan Inc.,FCX
111, Mr. James A. Squires,United States," 18,100"," JulyÂ 23,Â 1980 in Norfolk, Virginia, United States","Norfolk,VA,UnitedStates",Railroads,$72.31 B,Norfolk Southern Corporation,NSC
112,,Japan," 47,320",,"Tokyo,Japan",Telecom Services,$73.12 B,KDDI Corp,9433
113, Ms. Kathy J. Warden,United States," 88,000", 1994,"FallsChurch,VA,UnitedStates",Aerospace & Defense,$73.25 B,Northrop Grumman Corporation,NOC
114, Mr. Gregory Clarence Case,United Kingdom," 50,000", 1982,"London,UnitedKingdom",Insurance Brokers,$73.33 B,Aon Plc,AON
115, Mr. Oliver  Zipse,Germany," 118,909",,"Munich,Germany",Auto Manufacturers,$56.17 B,Bayerische Motoren Werke AG,BMWB
116,,China," 90,238",,"Shanghai,China",Banks,$56.38 B,Bank of Communications Co. Ltd,601328
117, Mr. Richard P. Wallace,United States," 11,300", 1997,"Milpitas,CA,UnitedStates",Semiconductor Equipment & Materials,$56.48 B,KLA Corporation,KLAC
118, Mr. Bruce Dale Broussard,United States," 95,500"," AugustÂ 18, 1961","Louisville,KY,UnitedStates",Healthcare Plans,$56.55 B,Humana Inc.,HUM
119, Mr. Francois Lionel Poirier,Canada," 7,017",,"Calgary,AB,Canada",Oil & Gas Midstream,$56.77 B,TC Energy Corporation,TRP
120, Mr. Saeed  Bin Mohammed A. Al-Ghamdi,Saudi Arabia," 16,113",,"Riyadh,SaudiArabia",Banks,$56.89 B,The Saudi National Bank,1180
121,,United Kingdom," 16,000", 1959,"London,UnitedKingdom",Consulting Services,$56.94 B,IHS Markit Ltd.,INFO
122, Mr. Lei  Chen,China," 7,986",,"Shanghai,China",Internet Retail,$57.09 B,Pinduoduo Inc.,PDD
123, Mr. Anthony G. Capuano Jr.,United States," 120,000"," MarchÂ 5, 1927","Bethesda,MD,UnitedStates",Lodging,$57.18 B,"Marriott International, Inc.",MAR
124, Mr. Victor G. Dodig,Canada," 46,030"," JuneÂ 1, 1961","Toronto,ON,Canada",Banks,$57.20 B,Canadian Imperial Bank of Commerce,CM
125, Mr. Takehiko  Kakiuchi,Japan,,,"Tokyo,Japan",Conglomerates,$57.23 B,Mitsubishi Corp,8058
126,,China," 6,058",,"Foshan,China",Packaged Foods,$57.40 B,Foshan Haitian Flavouring and Food Company Ltd,603288
127, Mr. A. James Teague,United States," 7,000", 1968,"Houston,TX,UnitedStates",Oil & Gas Midstream,$57.43 B,Enterprise Products Partners L.P.,EPD
128, Mr. Milton Maluhy Filho,Brazil," 99,600",,"SÃÂ£oPaulo,SP,Brazil",Banks,$57.45 B,ItaÃº Unibanco Holding SA,ITUB
129, Mr. Matthew J. Murphy,United States," 6,695",,"Wilmington,DE,UnitedStates",Semiconductors,$57.62 B,"Marvell Technology, Inc.",9MW
130, Mr. Olivier  Le Peuch,United States," 92,000", 1926,"Houston,TX,UnitedStates",Oil & Gas Equipment & Services,$57.63 B,Schlumberger Limited,SLB
131, Mr. Alexandre  Ricard,France," 18,500",,"Paris,France",BeveragesâWineries & Distilleries,$57.75 B,Pernod Ricard SA,RI
132, Mr. Seifollah  Ghasemi,United States," 20,000", 1940,"Allentown,PA,UnitedStates",Chemicals,$57.82 B,"Air Products and Chemicals, Inc.",APD
133, Mr. Matthew J. Murphy,Bermuda," 6,695", 1995,"Hamilton,Bermuda",                                        Semiconductors                                    ,$58.36 B,Marvell Technology Group Ltd.,MRVL
134, Mr. Erik  Engstrom,United Kingdom," 33,500", 1993,"London,UnitedKingdom",Publishing,$58.53 B,RELX plc,REL
135, Mr. Aneel  Bhusri,United States," 15,200", MarchÂ 2005,"Pleasanton,CA,UnitedStates",SoftwareâApplication,$58.70 B,"Workday, Inc.",WDAY
136, Mr. Xavier M. P. Huillard,France," 218,569",,"Rueil-Malmaison,France",Engineering & Construction,$59.01 B,Vinci SA,DG
137,,China," 11,833",,"Shenzhen,China",Medical Devices,$59.26 B,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,300760
138, Mr. Oscar  Gonzalez Rocha,United States," 14,700", 1952,"Phoenix,AZ,UnitedStates",Copper,$59.46 B,Southern Copper Corporation,SCCO
139,,Saudi Arabia,,,"Riyadh,SaudiArabia",Telecom Services,$59.47 B,Saudi Telecom Company,7010
140,,China," 20,773",,"Hangzhou,China",BeveragesâNon-Alcoholic,$59.50 B,Nongfu Spring Co. Ltd,9633
141,,United Kingdom," 43,000", 1814,"Slough,UnitedKingdom",Household & Personal Products,$59.53 B,Reckitt Benckiser Group plc,RKT
142," Mr. Shayne Cary Elliott B.Com, B.Com.",Australia," 39,684", 1Â October 1970,"Melbourne,VIC,Australia",Banks,$59.55 B,Australia and New Zealand Banking Group Limited,ANZ
143, Mr. Nikesh  Arora C.F.A.,United States," 11,527", 2005,"SantaClara,CA,UnitedStates",SoftwareâInfrastructure,$59.65 B,"Palo Alto Networks, Inc.",PANW
144, Mr. Surendralal Lanca Karsanbhai,United States," 86,700", 1890,"SaintLouis,MO,UnitedStates",Specialty Industrial Machinery,$59.66 B,Emerson Electric Co.,EMR
145, Mr. Richard D. Fairbank,United States," 50,767"," July 21, 1994","McLean,VA,UnitedStates",Credit Services,$59.67 B,Capital One Financial Corporation,COF
146, Mr. Alejandro Nicolas  Aguzin,Hong Kong," 2,146",,"Central,HongKong",Financial Data & Stock Exchanges,$59.75 B,Hong Kong Exchanges & Clearing Ltd,0388
147, Mr. Lei  Ding,China," 18,129", JuneÂ 1997,"Hangzhou,China",Internet Content & Information,$59.76 B,"NetEase, Inc.",9999
148, Dr. Frank  Appel,Germany," 548,042",,"Bonn,Germany",Integrated Freight & Logistics,$59.80 B,Deutsche Post AG,DPWA
149, Mr. Jack  Dorsey,United States," 8,521"," FebruaryÂ 14, 2009","SanFrancisco,CA,UnitedStates",SoftwareâInfrastructure,$59.95 B,"Block, Inc.",SQ
150, Mr. Kenneth A. Seitz,Canada," 23,500",,"Saskatoon,SK,Canada",Agricultural Inputs,$60.06 B,Nutrien Ltd.,NTR
151, Mr. Keqiang  Xu,Hong Kong," 18,151", August 1999,"Central,HongKong",Oil & Gas E&P,$60.19 B,CNOOC Limited,0883
152, Mr. Mats  RahmstrÃÂ¶m,Sweden," 42,862",,"Nacka,Sweden",Specialty Industrial Machinery,$60.97 B,Atlas Copco AB,ATCO.A
153, Mr. Pieter Willem van der Does,Netherlands," 2,180",,"Amsterdam,Netherlands",SoftwareâInfrastructure,$61.11 B,Adyen N.V.,ADYEN
154, Mr. Rolf Habben Jansen,Germany," 14,106",,"Hamburg,Germany",Marine Shipping,$61.46 B,Hapag-Lloyd AG,HLAG
155, Mr. Jose Antonio  Alvarez Alvarez,Spain," 177,033", 15Â May 1857,"Madrid,Spain",Banks,$61.67 B,"Banco Santander, SA",SAN
156, Mr. Gary Adam Norcross,United States," 65,000", 1968,"Jacksonville,FL,UnitedStates",Information Technology Services,$61.73 B,"Fidelity National Information Services, Inc.",FIS
157, Mr. Vincent T. Roche,United States," 24,700"," Cambridge, Massachusetts, United States 1965","Norwood,MA,UnitedStates",Semiconductors,$62.00 B,"Analog Devices, Inc.",ADI
158, Mr. Craig  Arnold,Ireland," 85,947", 1911,"Dublin,Ireland",Specialty Industrial Machinery,$62.17 B,Eaton Corporation plc,ETN
159, Mr. Scott Douglas Sheffield,United States," 1,932", 1997,"Irving,TX,UnitedStates",Oil & Gas E&P,$62.19 B,Pioneer Natural Resources Company,PXD
160,,Japan," 6,574",,"Kyoto,Japan",Electronic Gaming & Multimedia,$62.20 B,Nintendo Co Ltd,7974
161, Mr. Robert Scott Fauber,United States," 13,460", 1909Â ,"NewYork,NY,UnitedStates",Financial Data & Stock Exchanges,$62.58 B,Moody's Corporation,MCO
162, Mr. Dara  Khosrowshahi,United States," 29,300", MarchÂ 2009,"SanFrancisco,CA,UnitedStates",SoftwareâApplication,$62.66 B,"Uber Technologies, Inc.",UBER
163, Mr. Xiaodong  Li,Singapore," 29,800",,"Singapore,Singapore",Electronic Gaming & Multimedia,$62.66 B,Sea Limited,SE
164, Mr. Martin  Mucci,United States," 15,000", 1971,"Rochester,NY,UnitedStates",Staffing & Employment Services,$49.23 B,"Paychex, Inc.",PAYX
165, Ms. Sarah M. London,United States," 72,500", 1984,"St.Louis,MO,UnitedStates",Healthcare Plans,$49.32 B,Centene Corporation,CNC
166, Mr. Miguel  Patricio,United States," 36,000"," JulyÂ 2, 2015","Pittsburgh,PA,UnitedStates",Packaged Foods,$49.42 B,The Kraft Heinz Company,KHC
167, Mr. Laurence Neil Hunn,United States," 19,300", 1890,"Sarasota,FL,UnitedStates",Specialty Industrial Machinery,$49.66 B,"Roper Technologies, Inc.",ROP
168, Mr. Marcos  Eduardo GalperÃÂ­n,Argentina," 29,957"," AugustÂ 2, 1999","BuenosAires,Argentina",Internet Retail,$49.83 B,"MercadoLibre, Inc.",MELI
169, Mr. Francis A. deSouza,United States," 9,800", 1998,"SanDiego,CA,UnitedStates",Diagnostics & Research,$49.91 B,"Illumina, Inc.",ILMN
170, Mr. Olivier  Andries,France," 77,008",,"Paris,France",Aerospace & Defense,$50.02 B,Safran SA,SAF
171, Dr. Aart J. de Geus,United States," 16,361"," 1986 in Research Triangle Park, North Carolina.","MountainView,CA,UnitedStates",SoftwareâInfrastructure,$50.18 B,"Synopsys, Inc.",SNPS
172, Mr. Leonid Viktorovich Mikhelson,Russia,,,"Tarko-Sale,Russia",Oil & Gas E&P,$50.19 B,Novatek PJSC,NVTK
173, Mr. Christophe  Beck,United States," 47,000", 1923Â ,"SaintPaul,MN,UnitedStates",Specialty Chemicals,$50.29 B,Ecolab Inc.,ECL
174,,China," 14,217",,"Beijing,China",Travel Services,$50.46 B,China Tourism Group Duty Free Corp Ltd,601888
175,,Taiwan,,,"NewTaipeiCity,Taiwan",Electronic Components,$50.75 B,Hon Hai Precision Industry Co. Ltd,2317
176, Ms. Elizabeth Anne Gaines CA,Australia," 10,232", 2003,"EastPerth,WA,Australia",Other Industrial Metals & Mining,$50.76 B,Fortescue Metals Group Limited,FMG
177, Mr. Nicholas K. Akins,United States," 16,688", 1906,"Columbus,OH,UnitedStates",UtilitiesâRegulated Electric,$50.95 B,"American Electric Power Company, Inc.",AEP
