"IPO Year","Number of Employees","Country","CEO","Founded Year","Market Value","Name"
"","200,000",USA,Chris Kempczinski,1940,199.56 Billion USD,MCDONALD'S CORPORATION
"","33,078",China,Zeng Yuqun,2011,197.13 Billion USD,CONTEMPORARY AMPEREX TECHNOLOGY
"","606,331",India,Rajesh Gopinathan,1968,193.87 Billion USD,TATA CONSULTANCY SERVICES (TCS)
1999,"534,000",USA,Carol B. Tome,1907,189.61 Billion USD,UNITED PARCEL SERVICE (UPS)
"","203,000",USA,John T. Stankey,1983,187.74 Billion USD,AT&T
"","68,097",USA,James P. Gorman,1931,186.71 Billion USD,MORGAN STANLEY
"","349,671",China,"",1954,182.17 Billion USD,CHINA CONSTRUCTION BANK CORPORATION
"","86,000",Netherlands,Ben van Beurden,1907,181.56 Billion USD,ROYAL DUTCH SHELL
"","83,100",UK,Pascal Soriot,1999,178.12 Billion USD,ASTRAZENECA
"","32,000",USA,Walter W Bettinger II,1971,173.44 Billion USD,THE CHARLES SCHWAB CORPORATION
"","15,417",France,Axel Dumas,1837,172.04 Billion USD,HERMES INTERNATIONAL
"","74,207",UK,Sanjiv Lamba,1879,171.94 Billion USD,LINDE AG
"","9,700",USA,James L Robo,1984,169.55 Billion USD,NEXTERA ENERGY
"","220,000",USA,Marvin Ellison,1921,169.17 Billion USD,LOWE'S COMPANIES
"","31,000",USA,Richard K. Templeton,1951,165.72 Billion USD,TEXAS INSTRUMENTS
"","32,124",USA,Lance M. Fritz,1862,163.79 Billion USD,UNION PACIFIC CORPORATION
"","80,000",Australia,Mike Henry,1885,162.91 Billion USD,BHP GROUP
"","107,415",Germany,Christian Klein,1972,162.54 Billion USD,SAP SE
"","459,000",China,"",1979,160.76 Billion USD,AGRICULTURAL BANK OF CHINA
1993,"13,500",USA,Sasan K. Goodarzi,1983,160.71 Billion USD,INTUIT
"","58,390",China,Wang Xing,2010,160.51 Billion USD,MEITUAN DIANPING
"","85,301",Canada,David I. McKay,1864,159.75 Billion USD,ROYAL BANK OF CANADA
"","15,500",USA,Lisa Su,1969,159.41 Billion USD,ADVANCED MICRO DEVICES (AMD)
"","109,700",Japan,Kenichiro Yoshida,1946,156.01 Billion USD,SONY CORPORATION
"","69,900",USA,Jacek Olczak,1847,154.34 Billion USD,PHILIP MORRIS INTERNATIONAL
"","362,000",China,Ma Mingzhe,1988,150.12 Billion USD,PING AN INSURANCE (GROUP) COMPANY OF CHINA
"","99,000",USA,Darius Adamczyk,1906,148.53 Billion USD,HONEYWELL INTERNATIONAL
"","89,464",Canada,Bharat Masrani,1955,144.32 Billion USD,TORONTO-DOMINION BANK
"","476,223",China,Wang Dongjin,1999,143.70 Billion USD,PETROCHINA COMPANY
"","128,339",France,Pietro Beccari,1946,143.38 Billion USD,CHRISTIAN DIOR
2015,"7,000",Canada,Tobias Lutke,2004,143.34 Billion USD,SHOPIFY
"","8,380",Japan,Yu Nakata,1974,142.42 Billion USD,KEYENCE CORPORATION
"","90,000",Ireland,Geoffrey S. Martha,1949,141.39 Billion USD,MEDTRONIC
"","32,200",USA,Giovanni Caforio,1887,139.46 Billion USD,BRISTOL-MYERS SQUIBB COMPANY
"","303,000",Germany,Roland Busch,1847,138.71 Billion USD,SIEMENS
"","105,476",France,Patrick Pouyanne,1924,138.01 Billion USD,TOTALENERGIES SE
"","295,000",USA,Karen S. Lynch,1996,137.54 Billion USD,CVS HEALTH CORPORATION
"","149,000",Netherlands,Alan Jope,1929,137.22 Billion USD,UNILEVER GROUP
"","75,000",USA,Mike Sievert,1994,137.07 Billion USD,T-MOBILE US
"","306,322",China,Gao Yingxin,1912,135.64 Billion USD,BANK OF CHINA
1999,"16,500",USA,Larry Fink,1988,135.55 Billion USD,BLACKROCK
"","500,000",Germany,"","","",SCHWARZ GROUP
"","174,000",USA,Gregory Hayes,1934,135.37 Billion USD,RAYTHEON TECHNOLOGIES CORPORATION
"","64,000",USA,Stephen Squeri,1850,135.07 Billion USD,AMERICAN EXPRESS COMPANY
"","662,575",Germany,Herbert Diess,1937,134.25 Billion USD,VOLKSWAGEN
1972,"27,000",USA,Gary E. Dickerson,1967,134.00 Billion USD,APPLIED MATERIALS
"","223,448",UK,Noel Quinn,1865,132.94 Billion USD,HSBC HOLDINGS
1999,"43,900",USA,David M. Solomon,1869,132.60 Billion USD,THE GOLDMAN SACHS GROUP
"","26,348",China,Chen Lin,1998,132.39 Billion USD,WULIANGYE YIBIN
"","223,400",USA,Jane Fraser,1998,130.53 Billion USD,CITI GROUP
"","454,332",China,Li Yue,1997,130.51 Billion USD,CHINA MOBILE
1983,"24,200",USA,Robert A. Bradway,1980,128.03 Billion USD,AMGEN
"","",USA,Susan Wojcicki,2005,"",YOUTUBE
1995,"62,000",USA,Fabrizio Freda,1946,127.76 Billion USD,ESTEE LAUDER COMPANIES
"","141,014",USA,Dave Calhoun,1916,126.65 Billion USD,BOEING COMPANY
"","95,442",France,Paul Hudson,1973,126.37 Billion USD,SANOFI
1992,"383,000",USA,Laxman Narasimhan,1971,126.20 Billion USD,STARBUCKS CORPORATION
"","49,245",Australia,Matt Comyn,1911,125.77 Billion USD,COMMONWEALTH BANK OF AUSTRALIA
"","23,000",Hong Kong,Lee Yuan Siong,1919,125.62 Billion USD,AIA GROUP
"","28,025",UK,Ivan Menezes,1997,123.29 Billion USD,DIAGEO
"","5,618",USA,Tom Bartlett,1995,121.40 Billion USD,AMERICAN TOWER CORPORATION (REIT)
"","107,700",USA,Jim Umpleby,1925,121.27 Billion USD,CATERPILLAR
"","375,300",USA,Arvind Krishna,1911,120.85 Billion USD,IBM
2002,"49,000",UK,Jakob Stausholm,1873,116.98 Billion USD,RIO TINTO GROUP
"","75,600",USA,John C. May,1837,116.40 Billion USD,DEERE & COMPANY
2000,"9,793",USA,Gary S Guthart,1995,115.85 Billion USD,INTUITIVE SURGICAL
"","161,027",India,Sashidhar Jagdishan,1994,114.33 Billion USD,HDFC BANK
"","2,053",USA,Hamid Moghadam,1983,113.66 Billion USD,PROLOGIS
2012,"16,881",USA,Bill McDermott,2003,112.71 Billion USD,SERVICENOW
"","168,000",USA,H. Lawrence Culp Jr,1892,111.35 Billion USD,GENERAL ELECTRIC COMPANY
"","409,000",USA,Brian Cornell,1902,110.57 Billion USD,TARGET CORPORATION
"","99,000",UK,Dame Emma Walmsley,2000,110.32 Billion USD,GLAXOSMITHKLINE
2003,"104,160",China,Dairen Lin,1949,109.77 Billion USD,CHINA LIFE INSURANCE COMPANY
"","164,000",Belgium,Michel Doukeris,2008,109.50 Billion USD,ANHEUSER-BUSCH INBEV
"","93,700",USA,Thomas M. Rutledge,1993,109.45 Billion USD,CHARTER COMMUNICATIONS
"","473,800",Russia,Alexey Miller,1989,108.15 Billion USD,GAZPROM
"","22,850",USA,Douglas L. Peterson,1917,107.67 Billion USD,S&P GLOBAL
"","166,025",France,Jean-Pascal Tricoire,1836,107.12 Billion USD,SCHNEIDER ELECTRIC
"","26,037",USA,"",1979,"",INGRAM MICRO
"","18,800",USA,"","","",VANGUARD GROUP
"","10,100",USA,Ryan Lance,1875,106.36 Billion USD,CONOCOPHILLIPS COMPANY
2014,"314,906",China,Liu Qiangdong,1998,106.00 Billion USD,JD.COM
"","43,000",USA,Sanjay Mehrotra,1978,105.80 Billion USD,MICRON TECHNOLOGY
"","63,900",USA,Gail Koziara Boudreaux,2004,105.58 Billion USD,ANTHEM
2020,"6,132",USA,Brian Chesky,2008,105.51 Billion USD,AIRBNB
"","125,888",Netherlands,Guillaume Faury,1970,105.09 Billion USD,AIRBUS
"","122,000",USA,"","","",KOCH INDUSTRIES
"","60,000",China,"",2012,"",BYTEDANCE
2017,"33,800",Singapore,Forrest Li,2009,104.35 Billion USD,SEA LIMITED
"","95,000",USA,Mike Roman,1902,103.70 Billion USD,3M COMPANY
"","150,269",Germany,Oliver Bate,1890,103.28 Billion USD,ALLIANZ SE
"","345,218",India,Salil Parekh,1981,102.72 Billion USD,INFOSYS
"","58,408",Germany,Belen Garijo,1668,102.50 Billion USD,MERCK KGAA O.N.
"","303,350",Japan,Jun Sawada,1952,101.57 Billion USD,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
"","27,558",Japan,Motoyuki Ii,1991,101.26 Billion USD,NTT DOCOMO
"","38,553",France,Francois-Henri Pinault,1963,101.13 Billion USD,KERING
"","56,000",USA,Carlos A. Rodriguez,1961,100.64 Billion USD,AUTOMATIC DATA PROCESSING (ADP)
"","19,400",USA,Glenn D. Fogel,1996,99.97 Billion USD,BOOKING HOLDINGS
2013,"12,100",USA,JUAN RAMÓN ALAIX,1952,99.87 Billion USD,ZOETIS
"","43,000",USA,Kevin A. Lobo,1941,99.43 Billion USD,STRYKER CORPORATION
"","114,000",USA,James D. Taiclet,1995,99.32 Billion USD,LOCKHEED MARTIN CORPORATION
"","144,116",Spain,Pablo Isla,1985,98.66 Billion USD,INDITEX (INDUSTRIA DE DISENO TEXTIL)
"","183,000",USA,Jim Farley,1903,97.67 Billion USD,FORD MOTOR COMPANY
"","60,000",UK,Bernard Looney,1909,97.62 Billion USD,BP P.L.C.
"","25,000",Australia,Paul Perreault,1916,97.07 Billion USD,CSL
"","13,716",Saudi Arabia,Waleed A. Al-Mogbel,1957,94.93 Billion USD,AL RAJHI BANKING AND INVESTMENT CORPORATION
"","400,000",Germany,"","","",ROBERT BOSCH
"","59,426",USA,William S. Demchak,1845,94.56 Billion USD,THE PNC FINANCIAL SERVICES GROUP
"","32,721",Saudi Arabia,Yousef Al-Benyan,1976,94.40 Billion USD,SAUDI BASIC INDUSTRIES CORPORATION (SABIC)
1984,"14,100",USA,Timothy M. Archer,1980,94.24 Billion USD,LAM RESEARCH CORPORATION
"","79,000",USA,Dirk Van de Put,2012,94.23 Billion USD,MONDELEZ INTERNATIONAL
"","224,300",China,"",1995,92.26 Billion USD,BYD COMPANY
"","226,291",Germany,Timotheus Hottges,1995,92.03 Billion USD,DEUTSCHE TELEKOM AG
2020,"2,495",USA,Frank Slootman,2012,91.79 Billion USD,SNOWFLAKE
"","6,000",USA,Billy Gifford,1985,91.43 Billion USD,ALTRIA GROUP
"","90,640",Germany,Markus Duesmann,1909,82.15 Billion USD,AUDI AG
"","300,000",UK,Anders Dons,"","",DELOITTE
"","190,000",France,Jean-Laurent Bonnafe,1848,90.46 Billion USD,BNP PARIBAS
"","68,796",USA,Andrew Cecere,1968,90.45 Billion USD,U.S. BANCORP
2010,"157,000",USA,Mary Barra,1908,90.41 Billion USD,GENERAL MOTORS COMPANY
"","155,000",USA,"","","",CARGILL
"","49,370",Japan,Hisayuki Idekoba,1960,90.24 Billion USD,RECRUIT HOLDINGS
"","152,000",Canada,Bruce Flatt,1899,89.97 Billion USD,BROOKFIELD ASSET MANAGEMENT
"","21,245",Norway,Anders Opedal,1972,89.92 Billion USD,EQUINOR ASA
"","55,000",UK,Jack Bowles,1902,89.47 Billion USD,BRITISH AMERICAN TOBACCO
"","288,481",Germany,Ola Kallenius,1998,89.41 Billion USD,MERCEDEC BENZ GROUP AG
1992,"14,400",USA,Daniel O'Day,1987,89.39 Billion USD,GILEAD SCIENCES
"","151,017",France,Francesco Milleri,2018,89.05 Billion USD,ESSILOR LUXOTTICA
"","320,000",USA,Ernie Herrman,1987,88.73 Billion USD,THE TJX COMPANIES
"","24,700",USA,Vincent Roche,1965,88.70 Billion USD,ANALOG DEVICES
"","89,488",Canada,Brian J. Porter,1832,87.96 Billion USD,BANK OF NOVA SCOTIA
"","14,479",Japan,Toshiki Kawai,1963,87.40 Billion USD,TOKYO ELECTRON LIMITED
"","22,604",Canada,TRACY ROBINSON,1918,87.20 Billion USD,CANADIAN NATIONAL RAILWAY COMPANY
"","52,641",USA,William H. “Bill” Rogers Jr,1872,86.77 Billion USD,TRUIST FINANCIAL CORPORATION
2018,"1,800",USA,Stephane Bancel,2010,86.71 Billion USD,MODERNA
"","31,000",Switzerland,Evan G. Greenberg,1985,86.66 Billion USD,CHUBB
"","271,025",USA,Jamie Dimon,2000,494.00 Billion USD,J P MORGAN CHASE & CO
"","149,239",China,Paul Fang,1968,85.14 Billion USD,MIDEA GROUP
"","61,626",USA,John G. Morikis,1866,84.75 Billion USD,SHERWIN-WILLIAMS COMPANY
"","295,371",UK,"","","",PRICEWATERHOUSECOOPERS
"","34,760",Switzerland,Jerome Lambert,1988,84.50 Billion USD,COMPAGNIE FINANCIERE RICHEMONT SA
"","67,000",France,Francois Jackow,1902,84.26 Billion USD,AIR LIQUIDE
"","5,000",USA,Jay A. Brown,1994,84.16 Billion USD,CROWN CASTLE INTERNATIONAL CORPORATION
"","285,555",Russia,Herman Gref,1991,83.76 Billion USD,SBERBANK OF RUSSIA
"","20,919",USA,James M. Foote,1980,83.20 Billion USD,CSX CORPORATION
2007,"3,795",USA,Stephen A. Schwarzman,1985,82.93 Billion USD,BLACKSTONE GROUP
2013,"17,400",Ireland,Brenton L. Saunders,2013,62.84 Billion USD,ALLERGAN
"","81,000",USA,Daniel S. Glaser,1905,82.71 Billion USD,MARSH & MCLENNAN COMPANIES
"","232,000",USA,"","","",PUBLIX
"","11,200",Canada,Al Monaco,1949,82.22 Billion USD,ENBRIDGE
"","58,786",Japan,Masayoshi Son,1981,81.22 Billion USD,SOFTBANK GROUP
"","52,000",Germany,Bernd Montag,2015,81.18 Billion USD,SIEMENS HEALTHINEERS AG
2002,"4,370",USA,Terrence A. Duffy,2007,80.88 Billion USD,CME GROUP
2019,"29,300",USA,Dara Khosrowshahi,2009,80.53 Billion USD,UBER TECHNOLOGIES
"","27,605",USA,Lynn Good,1904,80.40 Billion USD,DUKE ENERGY CORPORATION
"","13,334",Saudi Arabia,Faisal Omar al-Sakkaf,1953,79.84 Billion USD,NATIONAL COMMERCIAL BANK
"","114,000",India,"","","",LIFE INSURANCE CORPORATION OF INDIA
"","66,438",Italy,Francesco Starace,1962,79.77 Billion USD,ENEL
"","194,527",China,Lv Jiajin,2007,79.13 Billion USD,PSBC (POSTAL SAVINGS BANK OF CHINA)
"","4,077",China,Lei Mingshan,2002,78.97 Billion USD,CHINA YANGTZE POWER
"","132,700",Japan,Hironori Kamezawa,2005,78.84 Billion USD,MITSUBISHI UFJ FINANCIAL GROUP
"","571,974",Germany,Frank Appel,1995,78.47 Billion USD,DEUTSCHE POST AG
"","",India,"","","",RELIANCE JIO
2011,"235,000",USA,Samuel N. Hazen,1968,78.44 Billion USD,HCA HEALTHCARE
"","40,000",Sweden,Mats Rahmstrom,1873,78.38 Billion USD,ATLAS COPCO AB
"","384,065",China,"",2000,77.72 Billion USD,CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC)
"","20,054",Sweden,Johan Forssell,1916,77.33 Billion USD,INVESTOR AB (PUBL)
"","73,800",USA,David Cordani,1982,77.28 Billion USD,CIGNA CORPORATION
"","45,000",USA,Ernest Scott Santi,1912,77.26 Billion USD,ILLINOIS TOOL WORKS
2015,"6,433",Australia,Mike Cannon-Brookes,2002,76.76 Billion USD,ATLASSIAN CORPORATION
"","15,700",USA,Michael A Mussallem,1958,76.36 Billion USD,EDWARDS LIFESCIENCES CORPORATION
"","21,000",India,Sanjiv Mehta,1933,76.09 Billion USD,HINDUSTAN UNILEVER
2021,"7,000",USA,RJ Scaringe,2009,76.22 Billion USD,RIVIAN AUTOMOTIVE INC
"","105,000",Switzerland,Bjorn Rosengren,1988,76.04 Billion USD,ABB
"","315,000",Russia,Igor Sechin,1993,75.45 Billion USD,ROSNEFT OIL COMPANY
"","1,750",Netherlands,Pieter van der,2006,75.41 Billion USD,ADYEN
2005,"8,858",USA,Jeffrey C. Sprecher,2000,75.07 Billion USD,INTERCONTINENTAL EXCHANGE
"","96,595",France,Thomas Buberl,1816,74.59 Billion USD,AXA
"","43,863",Canada,Darryl White,1817,73.37 Billion USD,BANK OF MONTREAL
"","130,170",India,Sandeep Bakhshi,1994,73.33 Billion USD,ICICI BANK
"","2,372",Hong Kong,Nicolas Aguzin,2000,73.04 Billion USD,HONG KONG EXCHANGES AND CLEARING (HKEX)
"","42,685",China,Hongjia Gong,2001,72.96 Billion USD,HANGZHOU HIKVISION DIGITAL TECHNOLOGY
"","29,008",South Korea,Lee Seok-Hee,1983,72.83 Billion USD,SK HYNIX
"","27,300",USA,Thomas A. Fanning,1945,72.75 Billion USD,THE SOUTHERN COMPANY
"","75,000",USA,Thomas Polen,1897,72.44 Billion USD,BECTON DICKINSON AND COMPANY
"","18,100",USA,James A. Squires,1982,72.23 Billion USD,NORFOLK SOUTHERN CORPORATION
"","6,058",China,Pang Kang,1955,72.14 Billion USD,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY
"","45,000",Spain,Jose Ignacio Sanchez Galan,1992,72.10 Billion USD,IBERDROLA
1986,"44,000",USA,Frank Bisignano,1984,71.85 Billion USD,FISERV
"","74,316",Brazil,Eduardo Bartolomeo,1942,71.75 Billion USD,VALE SA
"","65,000",USA,Gary A. Norcross,1968,71.64 Billion USD,FIDELITY NATIONAL INFORMATION SERVICES
"","24,069",Japan,Yasuhiko Saito,1926,71.31 Billion USD,SHIN-ETSU CHEMICAL
"","19,789",France,Bernard Charles,1981,71.22 Billion USD,DASSAULT SYSTEMES
"","33,800",USA,Noel R. Wallace,1806,71.17 Billion USD,COLGATE-PALMOLIVE COMPANY
"","134,878",Switzerland,Gary Nagle,1974,70.87 Billion USD,GLENCORE
"","120,726",Germany,"",1916,70.51 Billion USD,BAYERISCHE MOTOREN WERKE (BMW)
"","11,834",Canada,Keith Creel,1881,70.40 Billion USD,CANADIAN PACIFIC RAILWAY
"","312,250",UK,"","","",ERNST & YOUNG
2000,"5,633",Bermuda,Matthew Murphy,1995,70.13 Billion USD,MARVELL TECHNOLOGY GROUP
2018,"7,986",China,Colin Huang Zheng,2015,70.06 Billion USD,PINDUODUO
"","289,000",USA,Raj Subramaniam,1971,69.95 Billion USD,FEDEX CORPORATION
2000,"10,944",USA,Charles J. Meyers,1998,69.78 Billion USD,EQUINIX
"","16,821",Russia,Leonid Viktorovich Mikhelson,1994,69.39 Billion USD,NOVATEK
"","13,023",USA,Rob Fauber,1909,69.23 Billion USD,MOODY'S CORPORATION
"","2,000",USA,"",2007,69.12 Billion USD,"LUCID GROUP, INC."
"","34,944",Australia,Ross McEwan,1981,69.04 Billion USD,NATIONAL AUSTRALIA BANK
"","110,302",Germany,"",1865,68.99 Billion USD,BASF SE
"","80,000",Denmark,Soren Skou,1904,68.83 Billion USD,A.P. MOLLER - MAERSK A/S
"","49,050",Brazil,Roberto Castello Branco,1953,68.81 Billion USD,PETROLEO BRASILEIRO - PETROBRAS
"","25,000",Germany,"","","",ALDI
"","47,320",Japan,Takashi Tanaka,1984,68.13 Billion USD,KDDI CORPORATION
"","32,873",China,"",2000,68.09 Billion USD,LONGI GREEN ENERGY TECHNOLOGY
"","52,930",Switzerland,Mario Greco,1872,67.91 Billion USD,ZURICH INSURANCE GROUP AG
"","48,500",USA,James C. Fish Jr,1968,67.67 Billion USD,WASTE MANAGEMENT
"","",China,"",1996,66.97 Billion USD,NONGFU SPRING
"","85,947",Ireland,Craig Arnold,1911,66.91 Billion USD,EATON CORPORATION
"","28,239",China,Ding Lei,1997,66.90 Billion USD,NETEASE
"","168,391",Japan,Koji Arima,1949,66.75 Billion USD,DENSO CORPORATION
2014,"71,551",Switzerland,Ralph Hamers,1998,66.67 Billion USD,UBS GROUP AG
2017,"5,661",USA,Evan Spiegel,2011,66.58 Billion USD,SNAP INC
"","60,500",China,"Doyle Mitchell, Jr.",1988,66.41 Billion USD,INDUSTRIAL BANK
"","186,851",Mexico,Daniel Hajj Aboumrad,2000,66.20 Billion USD,AMERICA MOVIL
"","26,123",Indonesia,Jahja Setiaatmadja,1957,66.01 Billion USD,PT BANK CENTRAL ASIA TBK
"","20,875",USA,Seifi Ghasemi,1940,65.93 Billion USD,AIR PRODUCTS AND CHEMICALS
"","47,000",USA,Christophe Beck,1923,65.87 Billion USD,ECOLAB
1994,"50,800",USA,Richard Fairbank,1994,65.84 Billion USD,CAPITAL ONE FINANCIAL CORPORATION
"","117,356",Japan,Jun Seki,1973,65.39 Billion USD,NIDEC CORPORATION
"","80,369",Japan,Masanori Togawa,1924,65.36 Billion USD,DAIKIN INDUSTRIES
2015,"8,521",USA,Jack Dorsey,2009,65.29 Billion USD,BLOCK INC
"","29,000",Singapore,Piyush Gupta,1968,65.12 Billion USD,DBS GROUP HOLDINGS
"",55,USA,"",2009,"",WHATSAPP
"","76,182",China,Yang Jiping,1995,64.99 Billion USD,CHINA SHENHUA ENERGY COMPANY
"","17,100",USA,Robert M. Blue,1983,64.96 Billion USD,DOMINION ENERGY
1991,"10,368",USA,Leonard Schleifer,1988,64.93 Billion USD,REGENERON PHARMACEUTICALS
"","189,512",Netherlands,Carlos Tavares,2021,64.80 Billion USD,STELLANTIS N.V
"","49,000",USA,Tricia Griffith,1937,63.81 Billion USD,PROGRESSIVE CORPORATION
"","10,780",China,"",1954,63.57 Billion USD,CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED
"","17,377",Taiwan,Rick Tsai,1997,63.35 Billion USD,MEDIATEK
1980,"11,550",USA,Richard P. Wallace,1997,63.21 Billion USD,KLA CORPORATION
"","88,000",USA,Kathy Warden,1994,63.00 Billion USD,NORTHROP GRUMMAN CORPORATION
2015,"4,556",Italy,BENEDETTO VIGNA,1947,62.96 Billion USD,FERRARI
"","239,000",Mexico,Guilherme Loureiro,1952,62.57 Billion USD,WAL-MART DE MEXICO
"","12,500",USA,Chano Fernandez,2005,62.56 Billion USD,WORKDAY
"","9,819",China,"",1991,62.48 Billion USD,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS
"","5,800",USA,Joseph D. Russell Jr,1972,62.41 Billion USD,PUBLIC STORAGE
"","3,226",India,Sashidhar Jagdishan,1994,62.40 Billion USD,HDFC
"","50,000",USA,Gregory C. Case,1982,62.31 Billion USD,AON
"","43,000",UK,Laxman Narasimhan,1823,62.30 Billion USD,RECKITT BENCKISER GROUP
"","26,969",India,Sanjiv Bajaj,2007,61.95 Billion USD,BAJAJ FINANCE
