founded,founders,headquarters,industry,key_people,name,number_of_employees,operating_income,revenue,services,total_assets,type,website
"['Toronto', 'Ontario']",[],['Brampton'],['Retail'],[],Loblaw Companies Limited,"['almost 200,000 (2019)', '[3]']",[],"[' ', ' (2020)']",[],[],['Public'],"['www', '.loblaw', '.ca']"
"['June\xa024, 1902', ' (corporation)', 'January\xa05, 1962', ' (store)']","[' (corporation)', ' & ', ' (store)']","['1000 ', ', U.S.']",['Retail'],[],Target Corporation,"['409,000 (2020)', '[2]']",[' US$6.539 billion (2021)'],"[' ', ' (2021)']",[],[' US$51.248 billion (2021)'],['Public'],"['target.com', 'corporate.target.com']"
['3\xa0June 1987'],"['Bernard Arnault', ' Alain Chevalier ', ' Henry Racamier']",['Paris'],['Luxury goods'],[],LVMH Moët Hennessy Louis Vuitton SE,"['150,000 (2021)', '[2]']","[' €17.155 billion (2021)', '[2]']",['€'],['Department stores'],"[' €125.311 billion (2021)', '[2]']",['Public'],['lvmh.com']
['22\xa0September 1924'],"['Percy Christmas', 'Stanley Chatterton', 'Cecil Scott Waine', 'George Creed', 'Ernest Williams']","['Bella Vista, New South Wales']",['Retailing'],[],Woolworths Group Limited,"[' 215,000 (2020)']","[' ', 'A$', '3.19 billion ', '(2020)']",['A$'],[],[],['Public'],['www.woolworthsgroup.com.au']
"['October\xa01939', ' (as J.L. Turner and Son)', 'June\xa01955', ' (as Dollar General)']","['James Luther Turner', 'Cal Turner']","['Goodlettsville, Tennessee']",['Discount retailer'],[],Dollar General Corporation,"['158,000 (2022)']","[' ', 'US$', '3.220 Billion (', 'Fiscal Year Ended January 28, 2022', ')', '[6]']",['US$'],[],"[' ', 'US$', '26.327 Billion (', 'Fiscal Year Ended January 28, 2022', ')', '[6]']",['Public'],"['www', '.dollargeneral', '.com']"
"['Seattle, Washington']","['James Sinegal', 'Jeffrey Brotman']","['Issaquah, Washington']",['Retail'],[],Costco Wholesale Corporation,"[' 304,000', '[1]', '\xa0(2022)']","[' $7.7', '\xa0', 'billion', '[2]', '\xa0(2022)']","[' US$226.95', 'billion', '\xa0(2022)']","['Merchandise', 'Cash & Carry', 'Warehouse club', 'Gas stations']","[' $64.17', '\xa0', 'billion', '[2]', '\xa0(2022)']",['Public'],[' ']
"['28\xa0July 1943', ' in Sweden']",['Ingvar Kamprad'],['Delft'],['Retail'],[],Inter IKEA Systems B.V.,[],[],[' €41.9 billion (2021)'],[],[],['Private'],[' (retail)']
['1898'],['Geoffroy Guichard'],"['Saint-Étienne', 'France']",['Mass Retail'],[],Casino Guichard-Perrachon S.A.,"[' 196,307 employees worldwide ', '(2021)', '[1]']","[' €', '-', '656 million ', '(2021)', '[1]']","[' €14.41 billion (', ')', ' €14.61 billion (', ')', ' €2.03 billion (', ')']",[],"[' €30.53 billion ', '(2021)', '[1]']",['Société Anonyme with a board of directors'],"['www', '.groupe-casino', '.fr']"
['Roubaix'],['Gérard Mulliez'],"['Croix', 'Lille Métropole']",['Retail'],[],Auchan Retail International S.A.,"['179,590 (2020)', '[1]']","[' €1.6 billion (2020)', '[1]']",['€'],[],"[' €1.169 billion (2020)', '[1]']",['SA'],['auchan-retail.com']
"['1990 (predecessor)', '15\xa0May\xa01996', ' (date of incorporation of Suning Domestic Appliance)']",['Zhang Jindong'],['Nanjing'],['Retail'],[],Suning.com,"['69,398', '[2]', ' (2 August 2021)']","[' ', '¥−5.015 billion\xa0RMB', '[1]', ' ', '(US$787 million, 2020)']","[' ', ' ', '(US$39.610 billion, 2020)']",[],"[' ', '¥212.075 billion\xa0RMB', '[1]', ' ', '(US$33.295 billion, 2020)']",['Public'],['suning.cn']
"['7 November 1988; ', '34 years ago']",['Charoen Pokphand Group'],"['Bangkok', 'Thailand']",['Retail (Convenience stores)'],[],CP All Public Company Limited,"['35,557 ', '(2012)', '[1]', ':\u200a50\u200a']",[],['baht'],[],[],['Public'],"['www', '.cpall', '.co', '.th']"
"['2017', ' (original group was founded in 1996)']",[],['Düsseldorf'],['Retail'],[],Ceconomy AG,"['46,186\xa0(2019/20)']",[],['€20.8 billion\xa0(2019/20)'],[],[],[' (AG)'],[' ']
"['A Coruña', 'Galicia', 'Spain']","['Amancio Ortega', 'Rosalía Mera']","['Arteixo', 'A Coruña', 'Spain']",['Retailing'],[],"Industria de Diseño Textil, S.A.","[' 162,450 (2020) ', '[1]']","[' €4.8 billion (2020)', '[2]']",[' €20.4 billion (2020)'],[],"[' €19.621 billion (2020)', '[1]']",['Sociedad Anónima'],"['www', '.inditex', '.com']"
"['Bologna', 'Italy']",[],"['Bologna', 'Italy']",['Department store'],[],Conad,"['65,772 in 2020', '[3]']","['15.5 Billion ', '€', ' in 2020', '[2]']",[],[],[],['Supermarket'],"['www', '.conad', '.it']"
"[', U.S.']","['Donald Fisher', 'Doris F. Fisher']","['San Francisco, California', 'U.S.']",['Retail'],[],"The Gap, Inc.","['117,000 (2021)', '[4]']","[' ', 'US$−862 million', ' (2020)', '[4]']",[' '],[],"[' ', 'US$13.769 billion', ' (2020)', '[4]']",['Public company'],"['gap', '.com', 'gapinc', '.com']"
[],['Werner Otto'],"['Hamburg', 'Germany']",[],[],Otto GmbH & Co KG,"['51′982 (2019/2020)', '[1]']",[],['14.3 Billion EUR (2019/2020)'],[],[],['Private'],"['www', '.ottogroup', '.com', '/en', '/index', '.php']"
"['January\xa025, 1964']","['Bill Bowerman', 'Phil Knight']","['Beaverton, Oregon']","['Apparel', 'Accessories', 'Sports equipment']",[],"Nike, Inc.","['c.', '\u200979,100', ' (May 2022)']",[' US$6.86 billion (2022)'],"[' ', 'US$', '46.71 ', 'billion', ' (2022)']",[],[' US$40.32 billion (2022)'],['Public'],['nike.com']
"['New York, New York']",['Rowland Hussey Macy'],['New York City'],['Retail'],[],Macy's,[],[],[],[],[],['Subsidiary'],"['macys', '.com']"
"['Forrest City, Arkansas']",['Pitt Hyde'],"['Memphis, Tennessee']",['Retail'],[],"AutoZone, Inc.","['~87,000\xa0(2017)']","[' ', 'US$', '2.417 Billion (', 'Fiscal Year Ended August 29, 2020', ')', '[1]']",['US$'],[],"[' ', 'US$', '14.423 Billion (', 'Fiscal Year Ended August 29, 2020', ')', '[1]']",['Public company'],"['autozone', '.com']"
['1890'],[],"['Monterrey', 'Nuevo León', 'Mexico']","['Beverage', 'Retail']",[],"Fomento Económico Mexicano, S.A.B. de C.V.","['+230,000']",[],['MXN$'],[],"[' MXN$637.5 billion ', '(2019)']",['Sociedad Anónima Bursátil de Capital Variable'],[]
['1973'],[],"['Karlsruhe', 'Germany']",['Retail'],[],dm-drogerie markt GmbH + Co. KG,"['66,076 (2021)', '[1]']",[],['€12.265\xa0billion (2021)'],[],[],['GmbH & Co. KG'],"['dm', '.de']"
['1938'],[],"['Solna', 'Stockholm', 'Sweden']",[],[],ICA Gruppen AB (publ),"['23,000', '[1]']",[],['€'],[],[],"['Private', 'Aktiebolag']","['www', '.icagruppen', '.se', '/en', '/']"
['Madrid'],"['Ramón Areces', 'César Rodríguez']","['Madrid', 'Spain']",['Retail'],[],"El Corte Inglés, S.A.","[' 90,004 ', '(2018)', '[1]']",[],[' €15.783 billion '],[],[],['Sociedad Anónima'],[' (International)']
['1979'],[],['Brackenfell'],['Retail'],[],Shoprite Holdings,"['over 145,000 (As end July 2022)']",[],['R'],[],[],['Public'],['https://www.shopriteholdings.co.za/']
['1963'],['François Pinault'],"['40 rue de Sèvres, Paris 7e, France']",['Luxury'],[],Kering S.A.,"['38,000 (2019)']",['€3.13 billion (2019)'],['billion'],[],['€27.148 billion (2020)'],"['Public', 'Société Anonyme']","['kering', '.com']"
"['Beaconsfield, Iowa']","['Charles Hyde', 'David Vredenburg']","['West Des Moines, Iowa']","['Retail', 'grocery']",[],"Hy-Vee, Inc.","['93,000', '[1]']",[],[' $12.0 billion (2021)'],['Gas station'],[],"['Private', 'employee-owned']",['www.hy-vee.com']
"['1\xa0July 2010', ' as Coupang Co., Ltd.']",['Bom Kim'],"['Jamsil-dong', 'Songpa-gu', 'Seoul', 'South Korea']","['E-commerce', 'digital distribution']",[],"Coupang, Inc.
","['68,000', '[1]', '\xa0(2021)']",[],"[' ', '\xa0(2021)']","['Rocket Delivery (e-commerce) ', 'Rocket Fresh {grocery delivery} ', 'Coupang Eats (restaurant delivery) ', 'Coupang Play (streaming service) ', 'Coupang Pay (digital payments)']",[],['Public'],"['coupang', '.com']"
['1976'],['Michel Leclercq'],"[""Villeneuve d'Ascq"", 'France']",['Retail'],[],Decathlon S.A.,"['93 710 (2020)', '[1]']",[],['US$'],[],[],['Private'],['www.decathlon.com']
['2000'],[],['Kochi'],['Motion picture'],[],Aashirvad Cinemas,[],[],[],[],[],['Privately held company'],"['www', '.aashirvadcinemas', '.in']"
['11 November 1994'],['Jeetendra'],['Mumbai'],['Television'],[],Balaji Telefilms Ltd.,[],"[' ', '₹', '576.62 crore', ' (US$72\xa0million) (2020)', '[1]']","[' ', ' (US$73\xa0million) (2020)']",[],"[' ', '₹', '1,213 crore', ' (US$150\xa0million) (2020)', '[1]']",['Public'],['Balaji Telefilms']
['22 June 1934'],"['Himanshu Rai', 'Devika Rani']","['Malad', 'Maharashtra']",['Entertainment'],[],Bombay Talkies,[],[],[],[],[],[],[]
['India'],['Sachin Gupta'],"['Mumbai', 'India']",['Entertainment'],[],Chilsag Entertainment Network,[],[],[],[],[],['Privately held company'],"['www', '.chilsag', '.com']"
['2009'],"['Saif Ali Khan', 'Dinesh Vijan']","['Mumbai', 'Maharashtra', 'India']",[],[],Illuminati Films,[],[],[],"['Production', 'Distribution']",[],['Private Limited Company'],[]
['1978'],[],"['Reykjavík', 'Iceland']",['Film'],[],Sagafilm,[],[],[],[],[],[],"['sagafilm', '.is']"
['Hyderabad'],[],"['Hyderabad, Telangana']",['Entertainment'],[],Geetha Arts,[],[],[],[],[],['Private'],['Geetha Arts']
['1999'],['S.Shankar'],"['Chennai', 'India']","['Entertainment', 'Motion picture']",[],S Pictures,[],[],[],[],[],['Film Production'],[]
['March\xa02008'],['Akshay Kumar'],"['Mumbai, Maharashtra']","['Entertainment', 'Motion picture']",[],Cape of Good Films,[],[],[],[],[],['Private'],[]
"['2002 (Formerly called ', ' in 1999)']","['Shah Rukh Khan', 'Gauri Khan']","['Mumbai', 'India']",['Motion picture'],[],Red Chillies Entertainment,[],[],['est. ₹800 crore'],"['Production', 'Distribution']",[],['Private Limited Company'],['redchillies.com']
['2000'],[],"['Chennai', 'Tamil Nadu', 'India']",['Film'],[],Sun Pictures Pvt. Ltd,[],[],[],[],[],['Sun Network'],"['sunpictures', '.in']"
['15\xa0December 1991'],"['Subhash Chandra', 'Jeon Boram']","['Mumbai', 'Maharashtra']","['Mass media', 'Entertainment']",[],Zee Entertainment Enterprises Limited,"['3,429 (2021)', '[2]']","[' ', '₹', '1,460 crore', ' (US$180\xa0million) (2022)', '[2]']","[' ', ' (US$1.0\xa0billion) (2022)']",[],"[' ', '₹', '13,239 crore', ' (US$1.7\xa0billion) (2022)', '[2]']",['Public'],['zee.com']
"['Mumbai', 'Maharashtra', 'India']","['Anuya Mhaiskar, Sachin Awasthee']","['Mumbai', 'Maharashtra', 'India']",[],[],Sudha Productions,[],[],[],[],[],[],[]
"['January\xa029, 2010']",[],"['Chennai', 'Tamil Nadu']","['Entertainment', 'Motion picture']",[],YNOT Studios,[],[],[],[],[],['Private'],['YNOT Studios']
['15\xa0February 2005'],[],"['Mumbai, Maharashtra']","['Entertainment', 'Mass media']",[],Reliance Entertainment Pvt Ltd,[],[],[],[],[],['Division'],['Reliance Entertainment']
['1986\xa0'],"['Senthil Kumar, Jayendra Panchapakesan']",['India'],"['Film, TV Technology']",[],Qube Cinema Technologies,['650'],[],[],[],[],[],['\xa0']
['1948'],['Raj Kapoor'],"['Chembur', 'Mumbai', 'Maharashtra']",['Bollywood'],[],R. K. Films,[],[],[],[],[],['Private'],[]
"['October, 2010']",['Deeyah Khan'],['Oslo'],"['Film', 'Media', 'Music']",[],Fuuse,[],[],[],[],[],[],[]
['Tokyo'],"['Hayao Miyazaki', 'Toshio Suzuki', 'Isao Takahata']","['Koganei, Tokyo']","['Motion pictures', 'Video games', 'TV commercials']",[],Studio Ghibli Inc.,['182\xa0(2021)'],[],[],[],"['¥15.77 billion', ' (2011)']",['Private'],"['www', '.ghibli', '.jp']"
"['New Manila', 'Quezon City', 'Philippines']",[],"['Pasig', 'Philippines']",['Film production'],[],"Regal Entertainment, Inc.",[],[],[],[],[],['Private'],"['regalfilms', '.com']"
['1980'],['Ben Murray-Bruce'],['Victoria Island'],['Mass media'],[],Silverbird Group,[],[],[],"['Real estate', 'Entertainment']",[],['Private'],"['www', '.silverbirdgroup', '.com']"
"['February 4, 1943']",[],"['Ekaterinburg', 'Russia']",['Motion pictures'],[],Sverdlovsk Film Studio,[],[],[],[],[],['Corporation'],['http://stranamedia.com/']
['22\xa0December 1991'],[],['Saint Petersburg'],['Video games'],[],Lesta Studio,['150\xa0(2012)'],[],[],[],[],[],['lesta.ru']
"['Manila', 'Philippines']",[],"['Manila', 'Philippines']",['Motion pictures'],[],Reyna Films,[],[],[],[],[],[],[]
['1914'],[],"['St. Petersburg, Russia']",['Film industry'],[],Kinostudiya LenFilm,[],[],[],[],[],['Corporation'],"['www', '.lenfilm', '.ru']"
['1915'],[],['Moscow'],['Motion pictures'],[],Gorky Film Studio,[],[],[],[],[],['Corporation'],"['www', '.gorkyfilm', '.ru']"
"['1992, reorganized in 2006']",[],"['Moscow', 'Russia']",['Motion pictures'],[],Art Pictures Studio,[],[],[],[],[],[],['art-pictures.ru']
['2004'],['Andrey Sigle'],['Saint-Petersburg'],['Cinema'],[],Proline Film,[],[],[],[],[],[],[]
['2010'],[],"['Cape Town', 'South Africa']",['Film'],[],Cape Town Film Studios,[],[],[],[],[],['Independent'],"['www', '.capetownfilmstudios', '.co', '.za']"
['10\xa0June 1936'],[],"['Akademika Korolyova str.', 'Moscow', 'Russia']",['Animated Films.'],[],Soyuzmultfilm,['\xa0(February 2020)'],"['-$8.58\xa0million', '[1]', '\xa0(2017)']","['$2.76\xa0million', '\xa0(2017)']",[],"['$15.4\xa0million', '[1]', '\xa0(2017)']",['JSC'],[]
['September\xa01995'],['James Hyung Soon Kim'],"['Nonhyeon-dong', 'Gangnam District', 'Seoul', 'South Korea']",['Film'],[],Sidus Corporation,[],[],[],"['distribution', 'film production']",[],['Private'],[]
['25\xa0June 1998'],[],['Belgrade'],['Media'],[],Pink International Company d.o.o.,"['924 ', '(2018)']",[],['€'],[],"[' €164.78 million ', '(2018)', '[2]']",['d.o.o.'],"['www', '.rtvpink', '.com']"
['1993'],[],['Moscow'],"['production', 'TV-production', 'entertainment', 'sketch shows', 'TV shows', 'sitcoms']",[],Soho Media,[],[],[],[],[],['Production company'],[]
['1998'],[],"['Saint Petersburg', 'Russia']",['Motion pictures'],[],Svarog Films (Сварог Фильм),[],[],[],[],[],['Corporation'],['http://www.svarog-film.com/']
"['Seoul', 'South Korea']",['Yoo Jung-hoon'],"['Nambusunhwan', 'Gangnam']","['Entertainment, media']",[],Showbox Entertainment,[],"['2,086,000,000 won']","['12,327,000,000 won\xa0(2014)']",['Film distribution'],[],['Joint-stock'],"['www', '.showbox', '.co', '.kr']"
[],[],"['Istanbul', 'Turkey']",[],[],Star TV,[],[],[],[],[],[],['www.startv.com.tr']
['1997'],"['Andrew Macdonald', 'Duncan Kenworthy']","['London, England']",['Film'],[],DNA Films,[],[],[],[],[],[],['DNAFilms.com']
['18 June 1990'],['David M. Thompson'],['Broadcasting House'],['Film'],[],BBC Film,[],[],[],['Film'],[],[],"['www', '.bbc', '.co', '.uk', '/bbcfilm']"
['1954'],"['Lord Grade', 'Prince Littler', 'Val Parnell']","['London, United Kingdom']",['Media'],[],ITC Entertainment,[],[],[],['Distribution'],[],[],[]
"['1931', ' (as Sound Film Producing & Recording Studios)']",[],['Shepperton'],"['Film, television']",[],Shepperton Studios,[],[],[],[],[],['Subsidiary'],[]
['1979'],"['Spike Lee', 'Monty Ross']","['Brooklyn, New York']","['Film', 'television']",[],40 Acres and a Mule Filmworks,[],[],[],"['Film production', 'television production']",[],['Production company'],"['40acres', '.com']"
['2006'],[],"['Bridgend', 'Wales']",['Film and television production'],[],Dragon Studios Wales,[],[],[],[],[],[],[]
['1970'],[],"['Bangkok', 'Thailand']",['Motion pictures'],[],Sahamongkol Film International Co. Ltd.,[],[],[],[],[],['Private'],['www.sahamongkolfilm.com']
['1983'],"['Tim Bevan', 'Sarah Radclyffe']","['London', 'England']",['Film production'],[],Working Title Films Limited,[],[],[],[],[],['Subsidiary'],['Official website']
['1999'],"['Rob Mitchell', 'Steve Beckett']",['Sheffield'],['Feature Films and TV Drama'],[],Warp Films,[],[],[],[],[],[],"['warpfilms', '.com']"
"['London, United Kingdom ', ' (July 2002)']",[],['London'],"['Film, television']",[],Vertigo Films,[],[],[],[],[],['Private'],"['vertigofilms', '.com']"
['1965'],[],"['New York City', 'United States']",['Exploitation film studio'],[],Cinemation Industries,[],[],[],[],[],[],[]
"['February\xa022, 1987']","['Carl Ludwig', 'Eugene Troubetzkoy', 'Alison Brown', 'David Brown', 'Michael Ferraro']","['Greenwich, Connecticut']","['Computer animation', 'Motion pictures']",[],"Blue Sky Studios, Inc.","['450', '[6]', '\xa0(2021)']",[],[],[],[],['Subsidiary'],"['blueskystudios.com', 'Wayback Machine']"
['1913'],[],"['St Margarets, London']",['Film and TV'],[],Twickenham Studios Limited,[],[],[],[],[],['Limited company'],"['www', '.twickenhamstudios', '.com']"
['1996'],"['Tim Toyama', 'Chris Tashima', 'Chris Donahue']",['United States'],[],[],Cedar Grove Productions,[],[],[],[],[],['Entertainment'],['www.cedargroveproductions.com']
['1917'],"['Thomas L. Tally', 'J. D. Williams']",['United States'],"['Motion picture exhibition, distribution and production']",[],First National Pictures,[],[],[],[],[],[],[]
"['June\xa028, 1916']","['Adolph Zukor', 'Jesse L. Lasky', 'Frohman brothers']","['Hollywood, California', 'United States']",['Film'],[],Famous Players-Lasky Corporation,[],[],[],[],[],[],[]
"['May\xa08, 1912']",['Adolph Zukor'],"['Hollywood, California']",['Motion pictures'],[],The Famous Players Film Company,[],[],[],[],[],[],[]
['1980'],"['Robert Little', 'Ellen Little']","['Century City, California']","['Film production', 'Home video']",[],First Look Studios,[],[],[],[],['$25 million'],['Private'],[]
['1991'],['Ira Deutchman'],['4000 Warner Blvd'],['Film production'],[],Fine Line Features,[],[],[],[],[],['Division'],[]
"['1970', '2007', '1980']","['Laszlo Barna', 'Laura Alper']","['Toronto', 'Ontario', 'Toronto', 'Ontario', 'Toronto', 'Ontario']","['Entertainment', 'Film production', 'Television production']",[],Entertainment One Ltd.,[],[],['£941.2 million (2019)'],[],[],"['Subsidiary', 'Division', 'Division']","['\xa0', '\xa0']"
"['October 12, 1994', ' (as a division of ', ')', 'October 27, 2004', ' (as DreamWorks Animation SKG)']","['Steven Spielberg', 'Jeffrey Katzenberg', 'David Geffen']","['Glendale, California']","['Animated', 'films']",[],DreamWorks Animation LLC,"['1,400 (2022)', '[2]']",[],[],[],[],"['Division', 'Subsidiary']","['dreamworks', '.com']"
['1922'],[],"['723 Seventh Avenue, New York, NY']",['Motion pictures'],[],Film Booking Offices of America,[],[],[],[],[],['Corporation'],[]
"['November\xa019, 1916']","['Samuel Goldwyn', 'Edgar Selwyn', 'Archibald Selwyn']","['Fort Lee, New Jersey']",['Film studio'],[],Goldwyn Pictures,[],[],[],[],[],[],[]
"['October\xa023, 1967']","['Dennis Friedland ', 'Christopher C. Dewey']","['United States', '(Also owned studios and cinema chains throughout the UK, Israel and Europe)']",['Film production'],[],"The Cannon Group, Inc.",[],[],[],[],[],['Private'],[]
['1910'],[],"['The Bronx', 'New York City', 'New York']",['Film studio'],[],Gnome Motion Picture Company,[],[],[],[],[],['Private'],[]
['1993'],['Matthew Crouch'],"['Hollywood, California', 'United States']",['Entertainment'],[],"Gener8Xion Entertainment, Inc.",[],[],[],[],[],['Inc'],['www.8X.com']
['1994'],['Tom Rothman'],"['Century City, Los Angeles, California', 'United States']",['Film'],[],"Searchlight Pictures, Inc.",['100+'],[],[],[],[],['Subsidiary'],"['searchlightpictures.com', '[a]']"
['1923'],['Samuel Goldwyn'],['United States'],['Film'],[],Samuel Goldwyn Productions,[],[],[],['Film production'],[],['Independent'],[]
['2001'],"['Bill Banowsky ', ' Eamonn Bowles']","['New York City', 'New York', 'United States']",['Motion pictures'],[],Magnolia Pictures,[],[],[],[],[],['Subsidiary'],"['magpictures', '.com']"
"['Vancouver', 'British Columbia']","['Frank Giustra', 'Stephen Shellen']","['Santa Monica, California', 'Santa Monica, California']","['Entertainment', 'Home video']",[],Lions Gate Entertainment Corporation,"['3,500\xa0(2018)']",[' US$79 million\xa0(2022)'],[' US$3.597 billion\xa0(2022)'],"['Film production', 'Video on demand', 'Television broadcasting', 'Broadcast programming', 'Digital distribution']",[' US$9.088 billion\xa0(2022)'],['Public'],"['lionsgate.com', 'www', '.lionsgate', '.com']"
['1990'],"['James Cameron', 'Lawrence Kasanoff']","['Santa Monica', 'California', 'U.S.']",['Film'],[],Lightstorm Entertainment,[],[],[],[],[],['Private'],[]
['1896'],['Siegmund Lubin'],"['Philadelphia, Pennsylvania', 'United States']",['Motion pictures'],[],Lubin Manufacturing Company,[],[],[],[],[],[],[]
[],[],"['Studio City', 'California']",['Entertainment'],[],Lightyear Entertainment,[],[],[],[],[],"['Film distributor', 'music distributor']","['lightyear', '.com']"
"['December\xa07, 1993']","['Avi Arad', 'Toy Biz']",['500 South Buena Vista Street'],"['Film', 'Television', 'Animation']",[],"Marvel Studios, LLC",[],[],[],[],[],['Subsidiary'],"['www', '.marvel', '.com', '/movies']"
"['December\xa010, 1971', ' in San Francisco, California, United States']",['George Lucas'],['Letterman Digital Arts Center'],"['Film', 'Television']",[],Lucasfilm Ltd. LLC,"['2,000 (2015)', '[2]']",[],[],[],[],['Subsidiary'],[' ']
['1974'],[],"['Medford, Oregon', 'United States']","['Production company', 'Film distributor']",[],Pacific International Enterprises,[],[],[],[],[],['Private'],[]
['November\xa02006'],"['Chris McGurk', 'Danny Rosett']","['Beverly Hills, California']",['Motion pictures'],[],"Overture Films, LLC",[],[],[],[],[],"['Private', 'subsidiary company']",[]
