country,industry,market_capitalization_USD,name,sector,stock
Switzerland,Other Industrial Metals & Mining,87310000000,Glencore plc,Basic Materials,GLEN
United States,Financial Data & Stock Exchanges,87170000000,CME Group Inc.,Financials,CME
United States,Insurance Brokers,87160000000,"Marsh & McLennan Companies, Inc.",Financials,MMC
United States,Semiconductors,86490000000,"Micron Technology, Inc.",Technology,MU
Japan,Banks,85030000000,"Mitsubishi UFJ Financial Group, Inc.",Financials,8306
United States,Healthcare Plans,84670000000,Cigna Corporation,Healthcare,CI
Canada,Software—Application,83800000000,Shopify Inc.,Technology,SHOP
France,Chemicals,83240000000,Air Liquide SA,Basic Materials,AI
United States,Medical Care Facilities,82600000000,"HCA Healthcare, Inc.",Healthcare,HCA
Australia,Banks,81030000000,National Australia Bank Limited,Financials,NAB
United States,REIT—Specialty,80920000000,Crown Castle International Corp. (REIT),Real Estate,CCI
France,Medical Instruments & Supplies,80490000000,EssilorLuxottica SA,Healthcare,EL
United States,Banks,80160000000,U.S. Bancorp,Financials,USB
Japan,Semiconductor Equipment & Materials,79620000000,Tokyo Electron Ltd,Technology,8035
Canada,Banks,79220000000,Bank of Montreal,Financials,BMO
France,Luxury Goods,78660000000,Kering SA,Consumer Discretionary,KER
China,Utilities—Independent Power Producers,78420000000,China Yangtze Power Co. Ltd,Utilities,600900
China,Oil & Gas Integrated,78390000000,China Petroleum & Chemical Corporation,Energy,600028
United States,Utilities—Regulated Electric,78380000000,The Southern Company,Utilities,SO
United States,Semiconductor Equipment & Materials,77600000000,Lam Research Corporation,Technology,LRCX
United States,Banks,77100000000,"The PNC Financial Services Group, Inc.",Financials,PNC
United States,Medical Instruments & Supplies,76980000000,"Becton, Dickinson and Company",Healthcare,BDX
United States,Drug Manufacturers—General,76150000000,"Gilead Sciences, Inc.",Healthcare,GILD
United States,Biotechnology,74910000000,"Regeneron Pharmaceuticals, Inc.",Healthcare,REGN
United States,Banks,74790000000,Truist Financial Corporation,Financials,TFC
Canada,Oil & Gas E&P,74780000000,Canadian Natural Resources Limited,Energy,CNQ
United States,Financial Data & Stock Exchanges,74170000000,"Intercontinental Exchange, Inc.",Financials,ICE
United States,Apparel Retail,73990000000,"The TJX Companies, Inc.",Consumer Discretionary,TJX
Australia,Software—Application,73720000000,Atlassian Corporation Plc,Technology,TEAM
Switzerland,Insurance—Diversified,73580000000,Zurich Insurance Group AG,Financials,ZURN
United States,Medical Devices,73380000000,Edwards Lifesciences Corporation,Healthcare,EW
United Kingdom,Insurance Brokers,73330000000,Aon Plc,Financials,AON
United States,Aerospace & Defense,73250000000,Northrop Grumman Corporation,Industrials,NOC
Japan,Telecom Services,73120000000,KDDI Corp,Communication Services,9433
United States,Railroads,72310000000,Norfolk Southern Corporation,Industrials,NSC
United States,Copper,72160000000,Freeport-McMoRan Inc.,Basic Materials,FCX
Mexico,Discount Stores,71960000000,Wal-Mart de Mexico SAB de CV,Consumer Staples,WALMEX
Indonesia,Banks,71910000000,PT Bank Central Asia Tbk,Financials,BBCA
United States,Oil & Gas E&P,71900000000,"EOG Resources, Inc.",Energy,EOG
Germany,Diagnostics & Research,71500000000,Siemens Healthineers AG,Healthcare,SHL
United Kingdom,Other Industrial Metals & Mining,71480000000,Anglo American plc,Basic Materials,AAL
United States,Biotechnology,70810000000,"Moderna, Inc.",Healthcare,MRNA
United States,Aerospace & Defense,70550000000,General Dynamics Corporation,Industrials,GD
France,Insurance—Diversified,70200000000,AXA SA,Financials,CS
United States,Utilities—Diversified,70200000000,"Dominion Energy, Inc.",Utilities,D
Italy,Utilities—Diversified,70150000000,Enel SpA,Utilities,ENEL
France,Banks,69900000000,BNP Paribas SA,Financials,BNP
Mexico,Telecom Services,69450000000,"América Móvil, S.A.B. de C.V.",Communication Services,AMXA
United States,REIT—Industrial,69310000000,Public Storage,Real Estate,PSA
Switzerland,Banks,68930000000,UBS Group AG,Financials,UBSG
Russia,Banks,68690000000,Sberbank of Russia PJSC,Financials,SBER
United States,Information Technology Services,68680000000,"Fiserv, Inc.",Technology,FISV
Spain,Utilities—Diversified,68230000000,"Iberdrola, SA",Utilities,IBE
Japan,Staffing & Employment Services,68110000000,Recruit Holdings Co Ltd,Industrials,6098
Germany,Drug Manufacturers—General,68090000000,Bayer AG,Healthcare,BAYN
United States,Specialty Chemicals,67540000000,The Sherwin-Williams Company,Basic Materials,SHW
United States,Biotechnology,67490000000,Vertex Pharmaceuticals Incorporated,Healthcare,VRTX
United States,Specialty Industrial Machinery,67490000000,Illinois Tool Works Inc.,Industrials,ITW
United States,Insurance—Property & Casualty,67310000000,The Progressive Corporation,Financials,PGR
Australia,Banks,67200000000,Westpac Banking Corporation,Financials,WBC
Switzerland,Electrical Equipment & Parts,67190000000,ABB Ltd,Industrials,ABBN
United States,Waste Management,66950000000,"Waste Management, Inc.",Industrials,WM
China,Banks,66870000000,Industrial Bank Co. Ltd,Financials,601166
Singapore,Banks,66740000000,DBS Group Holdings Ltd,Financials,D05
India,Banks,66620000000,ICICI Bank Limited,Financials,IBN
United States,REIT—Specialty,66350000000,"Equinix, Inc. (REIT)",Real Estate,EQIX
United States,Gold,65890000000,Newmont Corporation,Basic Materials,NEM
United States,Auto Manufacturers,65740000000,Ford Motor Company,Consumer Discretionary,F
United States,Household & Personal Products,65640000000,Colgate-Palmolive Company,Consumer Staples,CL
United States,Utilities—Diversified,65530000000,Exelon Corporation,Utilities,EXC
United States,Software—Application,65040000000,Snowflake Inc.,Technology,SNOW
Japan,Leisure,64660000000,Oriental Land Co. Ltd,Consumer Discretionary,4661
South Korea,Semiconductors,64600000000,"SK hynix, Inc.",Technology,000660
Denmark,Marine Shipping,64400000000,AP Moller - Maersk A-S,Industrials,MAERSK.B
Japan,Chemicals,63430000000,Shin-Etsu Chemical Co Ltd,Basic Materials,4063
United States,Integrated Freight & Logistics,63250000000,FedEx Corporation,Industrials,FDX
United States,Medical Devices,63080000000,Boston Scientific Corporation,Healthcare,BSX
United States,Utilities—Diversified,62870000000,PacifiCorp,Utilities,PPWLM
France,Software—Application,62750000000,Dassault Systèmes SE,Technology,DSY
United States,Insurance—Life,62690000000,"MetLife, Inc.",Financials,MET
United States,Auto Manufacturers,62690000000,General Motors Company,Consumer Discretionary,GM
Singapore,Electronic Gaming & Multimedia,62660000000,Sea Limited,Communication Services,SE
United States,Software—Application,62660000000,"Uber Technologies, Inc.",Technology,UBER
United States,Financial Data & Stock Exchanges,62580000000,Moody's Corporation,Financials,MCO
Japan,Electronic Gaming & Multimedia,62200000000,Nintendo Co Ltd,Communication Services,7974
United States,Oil & Gas E&P,62190000000,Pioneer Natural Resources Company,Energy,PXD
Ireland,Specialty Industrial Machinery,62170000000,Eaton Corporation plc,Industrials,ETN
United States,Semiconductors,62000000000,"Analog Devices, Inc.",Technology,ADI
United States,Information Technology Services,61730000000,"Fidelity National Information Services, Inc.",Technology,FIS
Spain,Banks,61670000000,"Banco Santander, SA",Financials,SAN
Germany,Marine Shipping,61460000000,Hapag-Lloyd AG,Industrials,HLAG
Netherlands,Software—Infrastructure,61110000000,Adyen N.V.,Technology,ADYEN
Sweden,Specialty Industrial Machinery,60970000000,Atlas Copco AB,Industrials,ATCO.A
Hong Kong,Oil & Gas E&P,60190000000,CNOOC Limited,Energy,0883
Canada,Agricultural Inputs,60060000000,Nutrien Ltd.,Basic Materials,NTR
United States,Software—Infrastructure,59950000000,"Block, Inc.",Technology,SQ
Germany,Integrated Freight & Logistics,59800000000,Deutsche Post AG,Industrials,DPWA
China,Internet Content & Information,59760000000,"NetEase, Inc.",Communication Services,9999
Hong Kong,Financial Data & Stock Exchanges,59750000000,Hong Kong Exchanges & Clearing Ltd,Financials,0388
United States,Credit Services,59670000000,Capital One Financial Corporation,Financials,COF
United States,Specialty Industrial Machinery,59660000000,Emerson Electric Co.,Industrials,EMR
United States,Software—Infrastructure,59650000000,"Palo Alto Networks, Inc.",Technology,PANW
Australia,Banks,59550000000,Australia and New Zealand Banking Group Limited,Financials,ANZ
United Kingdom,Household & Personal Products,59530000000,Reckitt Benckiser Group plc,Consumer Staples,RKT
China,Beverages—Non-Alcoholic,59500000000,Nongfu Spring Co. Ltd,Consumer Staples,9633
Saudi Arabia,Telecom Services,59470000000,Saudi Telecom Company,Communication Services,7010
United States,Copper,59460000000,Southern Copper Corporation,Basic Materials,SCCO
China,Medical Devices,59260000000,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,Healthcare,300760
France,Engineering & Construction,59010000000,Vinci SA,Industrials,DG
United States,Software—Application,58700000000,"Workday, Inc.",Technology,WDAY
United Kingdom,Publishing,58530000000,RELX plc,Communication Services,REL
Bermuda,Semiconductors,58360000000,Marvell Technology Group Ltd.,Technology,MRVL
United States,Chemicals,57820000000,"Air Products and Chemicals, Inc.",Basic Materials,APD
France,Beverages—Wineries & Distilleries,57750000000,Pernod Ricard SA,Consumer Staples,RI
United States,Oil & Gas Equipment & Services,57630000000,Schlumberger Limited,Energy,SLB
United States,Semiconductors,57620000000,"Marvell Technology, Inc.",Technology,9MW
Brazil,Banks,57450000000,Itaú Unibanco Holding SA,Financials,ITUB
United States,Oil & Gas Midstream,57430000000,Enterprise Products Partners L.P.,Energy,EPD
China,Packaged Foods,57400000000,Foshan Haitian Flavouring and Food Company Ltd,Consumer Staples,603288
Japan,Conglomerates,57230000000,Mitsubishi Corp,Industrials,8058
Canada,Banks,57200000000,Canadian Imperial Bank of Commerce,Financials,CM
United States,Lodging,57180000000,"Marriott International, Inc.",Consumer Discretionary,MAR
China,Internet Retail,57090000000,Pinduoduo Inc.,Consumer Discretionary,PDD
United Kingdom,Consulting Services,56940000000,IHS Markit Ltd.,Industrials,INFO
Saudi Arabia,Banks,56890000000,The Saudi National Bank,Financials,1180
Canada,Oil & Gas Midstream,56770000000,TC Energy Corporation,Energy,TRP
United States,Healthcare Plans,56550000000,Humana Inc.,Healthcare,HUM
United States,Semiconductor Equipment & Materials,56480000000,KLA Corporation,Technology,KLAC
China,Banks,56380000000,Bank of Communications Co. Ltd,Financials,601328
Germany,Auto Manufacturers,56170000000,Bayerische Motoren Werke AG,Consumer Discretionary,BMWB
Australia,Capital Markets,55990000000,Macquarie Group Limited,Financials,MQG
United Kingdom,Utilities—Diversified,55880000000,National Grid plc,Utilities,NG.
Japan,Building Products & Equipment,55580000000,"Daikin Industries,Ltd.",Industrials,6367
Japan,Drug Manufacturers—General,55310000000,Chugai Pharmaceutical Co. Ltd,Healthcare,4519
United States,Beverages—Non-Alcoholic,55280000000,Keurig Dr Pepper Inc.,Consumer Staples,KDP
United States,Staffing & Employment Services,55230000000,Ergo Science Corp,Industrials,ERGN
Japan,Telecom Services,54930000000,SoftBank Group Corp.,Communication Services,9984
Netherlands,Beverages—Brewers,54870000000,Heineken N.V.,Consumer Staples,HEIA
Brazil,Beverages—Brewers,54690000000,Ambev SA,Consumer Staples,ABEV3
Canada,Railroads,54590000000,Canadian Pacific Railway Limited,Industrials,CP
United States,Oil & Gas Refining & Marketing,54540000000,Marathon Petroleum Corporation,Energy,MPC
United States,Insurance—Diversified,54310000000,"American International Group, Inc.",Financials,AIG
United States,Discount Stores,54300000000,Dollar General Corporation,Consumer Staples,DG
United States,Software—Infrastructure,53860000000,"Fortinet, Inc.",Technology,FTNT
United States,Internet Content & Information,53860000000,Snap Inc.,Communication Services,SNAP
Italy,Auto Manufacturers,53780000000,Ferrari N.V.,Consumer Discretionary,RACE
Switzerland,Diagnostics & Research,53760000000,Lonza Group Ltd,Healthcare,LONN
United Kingdom,Financial Data & Stock Exchanges,53330000000,London Stock Exchange Group plc,Financials,LSEG
Canada,Consulting Services,53300000000,Thomson Reuters Corporation,Industrials,TRI
Germany,Chemicals,52760000000,BASF SE,Basic Materials,BAS
United States,Utilities—Diversified,52470000000,Sempra Energy,Utilities,SRE
United States,Oil & Gas E&P,52300000000,Occidental Petroleum Corporation,Energy,OXY
United States,Banks,52300000000,"Liberty Bancshares, Inc. (OH)",Financials,LBSI
Japan,Apparel Retail,52290000000,Fast Retailing Co. Ltd,Consumer Discretionary,9983
Netherlands,Semiconductors,52280000000,NXP Semiconductors N.V.,Technology,NXPI
United States,Semiconductors,52190000000,"Xilinx, Inc.",Technology,XLNX
Japan,Conglomerates,52190000000,ITOCHU Corp,Industrials,8001
Italy,Oil & Gas Integrated,52000000000,Eni S.p.A.,Energy,ENI
Netherlands,Auto Manufacturers,51800000000,Stellantis N.V.,Consumer Discretionary,STLA
Canada,Telecom Services,51710000000,BCE Inc.,Communication Services,BCE
Japan,Auto Parts,51580000000,DENSO Corp,Consumer Discretionary,6902
Japan,Auto Manufacturers,51550000000,Toyota Motor Corporation,Consumer Discretionary,7203
United States,Aerospace & Defense,51510000000,"L3Harris Technologies, Inc.",Industrials,LHX
United States,Credit Services,51490000000,"AgriBank, FCB",Financials,AGRIP
United Kingdom,Insurance—Property & Casualty,51430000000,General Accident plc,Financials,GACA
United States,Farm Products,51030000000,Archer-Daniels-Midland Company,Consumer Staples,ADM
United States,Utilities—Regulated Electric,50950000000,"American Electric Power Company, Inc.",Utilities,AEP
Australia,Other Industrial Metals & Mining,50760000000,Fortescue Metals Group Limited,Basic Materials,FMG
Taiwan,Electronic Components,50750000000,Hon Hai Precision Industry Co. Ltd,Technology,2317
China,Travel Services,50460000000,China Tourism Group Duty Free Corp Ltd,Consumer Discretionary,601888
United States,Specialty Chemicals,50290000000,Ecolab Inc.,Basic Materials,ECL
Russia,Oil & Gas E&P,50190000000,Novatek PJSC,Energy,NVTK
United States,Software—Infrastructure,50180000000,"Synopsys, Inc.",Technology,SNPS
France,Aerospace & Defense,50020000000,Safran SA,Industrials,SAF
United States,Diagnostics & Research,49910000000,"Illumina, Inc.",Healthcare,ILMN
Argentina,Internet Retail,49830000000,"MercadoLibre, Inc.",Consumer Discretionary,MELI
United States,Specialty Industrial Machinery,49660000000,"Roper Technologies, Inc.",Industrials,ROP
United States,Packaged Foods,49420000000,The Kraft Heinz Company,Consumer Staples,KHC
United States,Healthcare Plans,49320000000,Centene Corporation,Healthcare,CNC
United States,Staffing & Employment Services,49230000000,"Paychex, Inc.",Industrials,PAYX
Japan,Auto Manufacturers,49110000000,"Honda Motor Co., Ltd.",Consumer Discretionary,7267
Japan,Conglomerates,48920000000,Hitachi Ltd,Industrials,6501
Australia,REIT—Retail,48830000000,Scentre Group,Real Estate,SCG
Taiwan,Semiconductors,48740000000,"MediaTek, Inc.",Technology,2454
Canada,Apparel Retail,48520000000,Lululemon Athletica Inc.,Consumer Discretionary,LULU
United States,Chemicals,48500000000,Dow Inc.,Basic Materials,DOW
Russia,Oil & Gas Integrated,48500000000,Rosneft Oil Co PJSC,Energy,ROSN
United States,Medical Distribution,48460000000,McKesson Corporation,Healthcare,MCK
