address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"Unit A-F, 35/F, Legend Tower, 7 Shing Yip Street, Kwun Tong, Hong Kong",Hong Kong,Technology and Communications,$1.7B,BOE Varitronix Limited,"4,063",$995.6M,852  21976000,www.boevx.com
"1 Ebix Way, Johns Creek, Georgia, 30097",United States of America,Technology and Communications,$590.6M,Ebix Inc,"10,030",$994.9M,1 678 2812020,www.ebix.com
"7-9f, Aoba Daiichi Bldg., 2-3-1, Kudan-Minami, Chiyoda-Ku, Tokyo, 102-0074",Japan,Consumer Packaged Goods,$145.1M,GSI Creos Corp,624,$995.6M,81 3 52111800,www.gsi.co.jp
"2-17-1, Konan, Minato-Ku, Tokyo, 108-0075",Japan,Technology and Communications,$2.1B,Information Services International-Dentsu Ltd,"3,240",$997.8M,81 3 67136111,www.isid.co.jp
"One Penn Square, Lancaster, Pennsylvania, 17602",United States of America,Financial Services,$2.6B,Fulton Financial Corp,"3,200",$997.2M,1 717 2912411,www.fultonbank.com/About-Fulton-Bank
"No.8, Li-Shing Road Vii, Hsinchu Science-Based Industrial Park, 300",Taiwan,Technology and Communications,$533.6M,Alpha Networks Inc,"6,392",$998.0M,886 3 5636666,www.alphanetworks.com
"C-4, District Centre, Saket, New Delhi, 110017",India,Construction,$709.7M,Ircon International Ltd,"1,278",$999.5M,91 11 29565666,www.ircon.org/index.php
"Via Angelo Rizzoli, 8, Milano, 20132",Italy,Media,$392.6M,RCS MediaGroup SpA,"2,953",$1.0B,39 02 25841,www.rcsmediagroup.it
"Amarin Tower, 500 Ploenchit Road, Lumphini, Pathumwan, Bangkok, 10330",Thailand,Financial Services,$1.9B,Kiatnakin Phatra Bank Public Co Ltd,"3,665",$1.0B,66 21 655555,bank.kkpfg.com/th/home
"45, Dasansunhwan-Ro, Namyangju, 12253",South Korea,Consumer Packaged Goods,$315.3M,Binggrae Co Ltd,"1,609",$1.0B,82 2 20226000,www.bing.co.kr
"100 Saulteaux Cres, Winnipeg, Manitoba, R3J3T3",Canada,Paper and Packaging,$2.0B,Winpak Ltd,"2,563",$1.0B,1 204 8312244,www.winpak.com
"Floor 37-38, Q. House Lumphini Building, 1 South Sathon Road, Thungmahamek, Sathon, Bangkok, 10120",Thailand,Construction,$3.5B,Land and Houses Public Co Ltd,"1,623",$1.0B,66 23 438900,www.lh.co.th
"24th Floor, Wisma Genting, Jalan Sultan Ismail, Kuala Lumpur, 50250",Malaysia,Leisure and Arts,$3.9B,Genting Malaysia Bhd,"14,048",$1.0B,60 3 21782288,www.gentingmalaysia.com
"4-7-3, Kudan Minami, Chiyoda-Ku, Tokyo, 102-8277",Japan,Industrial Goods and Machinery,$769.6M,Nohmi Bosai Ltd,"2,635",$1.0B,81 3 32650211,www.nohmi.co.jp
"Gpo, P.O. Box 30161, Nairobi, 00100",Kenya,Consumer Packaged Goods,$1.1B,East African Breweries PLC,"1,576",$1.0B,254 20 8644000,www.eabl.com
"Building 5, No.58, Huasheng Road, Chenghua District, Chengdu, Sichuan, 610052",China,Chemicals,$2.2B,Lier Chemical Co Ltd,"5,360",$1.0B,86 28 67575627,www.lierchem.com
"14 Par-La-Ville Road, Park Place, Hamilton, HM11",Bermuda,Energy and Utilities,,Seadrill Ltd,"3,220",$1.0B,1 441 2421500,www.seadrill.com
"33rd Floor, Great Eagle Centre, Hong Kong",Hong Kong,Construction,$1.7B,Great Eagle Holdings Ltd,"5,200",$1.0B,852  28273668,www.greateagle.com.hk
"35-14, Jeyakgongdan 4-Gil, Hyangnam-Eup, Hwaseong, 18623",South Korea,Pharmaceuticals and Healthcare,$1.3B,Daewoong Pharmaceutical Co Ltd,"1,256",$1.0B,8225508800,www.daewoong.com
"Jl. H.R. Rasuna Said, Kompleks Rasuna Ep, Lantai 12, Bakrie Tower, Jakarta, 12960",Indonesia,Metals and Mining,$3.6B,PT Bumi Resources Tbk,864,$1.0B,62 21 57942080,www.bumiresources.com
"3f,Admnstn Bldg,All Asia Broadcast Cntr, Lebuhraya Puchong-Sungai Besi, Technology Park Malaysia, Bukit Jalil, Kuala Lumpur, 57000",Malaysia,Media,$735.5M,Astro Malaysia Holdings Berhad,"4,191",$1.0B,60 3 95436688,corporate.astro.com.my
"Haibin Second Road, Rizhao, Shandong , 276826",China,Transport and Logistics,$1.3B,Rizhao Port Co Ltd,"5,709",$1.0B,86 633 8388822,www.rzpcl.com
"1, Shakespeare Sarani (2nd Floor), Kolkata, 700071",India,Construction,$912.9M,Birla Corp Ltd,"7,184",$1.0B,91 33 66033300,www.birlacorporation.com
"Crest House, Pyrcroft Road, Chertsey, KT169GN",United Kingdom,Construction,$784.7M,Crest Nicholson Holdings plc,661,$1.0B,44 1932 580555,www.crestnicholson.com
"11311 Concept Boulevard, Largo, Florida, 33773",United States of America,Medical Equipment,$2.9B,ConMed Corp,"3,800",$1.0B,1 727 2142974,www.conmed.com
"Suite 800, 780 Johnson Ferry Road, Atlanta, Georgia, 30342",United States of America,Retailing,$548.8M,Haverty Furniture Companies Inc,"2,845",$1.0B,1 404 4432900,www.havertys.com
"Room 401, 4th Floor, Office Tower C, Vanton Center, No.6 Chaowai Street, Chaoyang District, Beijing, 100020",China,Consumer Packaged Goods,$74.1M,DaChan Food (Asia) Ltd,"8,071",$1.0B,,www.dachanfoodasia.com/en/aboutus.php
"Adolf Fredriks Kyrkogata 9, Stockholm, 10355",Sweden,Pharmaceuticals and Healthcare,,Praktikertjanst AB,"6,700",$1.0B,46 10 1280000,www.praktikertjanst.se
"China Nonferrous Building, No. 10, Anding Road, Chaoyang District, Beijing, 100029",China,Metals and Mining,$1.5B,China Non-ferrous Metal Industry’s Foreign Engineering and Construction Co Ltd,"4,797",$1.0B,86 10 84427227,www.nfc.com.cn
"Asa Norte, Brasilia, 70.040-912",Brazil,Financial Services,$13.4B,BB Seguridade Participacoes SA,,$1.0B,55 61 34932929,www.bbseguridaderi.com.br/pt
"Suite 700, 2000 Mckinney Ave, Dallas, Texas, 75201",United States of America,Financial Services,$3.0B,Texas Capital Bancshares Inc,"1,751",$1.0B,1 214 9326600,www.texascapitalbank.com
"No.1 Lutai Avenue, High-Tech Zone, Zibo, Shandong , 255086",China,Pharmaceuticals and Healthcare,$2.1B,Shandong Xinhua Pharmaceutical Co Ltd,"6,540",$1.0B,86 533 2166666,www.xhzy.com
"No.385, Tiyu South Street, Shijiazhuang, Hebei, 050023",China,Construction,$1.4B,HBIS Resources Co Ltd,"4,004",$1.0B,86 311 66500923,www.hbiszy.com
"7, Main Gulberg, Lahore, 54000",Pakistan,Consumer Packaged Goods,$76.6M,Nishat Mills Ltd,"27,760",$1.0B,92 42 35716351,www.nishatmillsltd.com
"2800 Post Oak Blvd Ste 3800, Houston, Texas, 77056-6170",United States of America,Financial Services,,Cadence Bancorp,"1,818",$1.0B,1 713 8714000,www.cadencebancorporation.com
"Po Box 91976, Auckland, 1142",New Zealand,Consumer Packaged Goods,$3.5B,The a2 Milk Company Ltd,421,$1.0B,64 9 3755998,thea2milkcompany.com
"Parc Technologique Des Fontaines, Chemin Des Franques, Bernin, Villard-Bonnot, Rhone Alpes, 38190",France,Technology and Communications,$5.8B,Soitec SA,"1,847",$1.0B,33 4 76927500,www.soitec.com
"Jalan Jenderal Sudirman No.51, Bangka Belitung, Pangkal Pinang, 33121",Indonesia,Metals and Mining,$623.9M,PT Timah Tbk,"4,564",$1.0B,62 21 23528000,www.timah.com
"Osaka Center Bldg., 4-1-3, Kyutaro-Machi, Chuo-Ku, Osaka-Shi, 541-8566",Japan,Chemicals,$107.3M,Unitika Ltd,"3,037",$1.0B,81 6 62815695,www.unitika.co.jp
"399 Park Avenue, 38th Floor, New York, 10022",United States of America,Financial Services,$5.1B,Owl Rock Capital Corp,,$1.0B,1 212 4193000,www.owlrockcapitalcorporation.com
"Suite 1802, Jl. Cilandak Kko No. 1, Lantai 18, Gedung Tmt 1, Jakarta Selatan, 12560",Indonesia,Metals and Mining,$573.9M,PT ABM Investama Tbk,"6,652",$1.0B,62 21 29976767,www.abm-investama.com
"3400 Gateway Blvd, Fremont, California, 94538-6583",United States of America,Technology and Communications,$1.3B,BizLink Holding Inc,"5,003",$1.0B,886 2 82261000,www.bizlinktech.com
"8 Rue Mouatamid Ibnou Abbad, Bp 3098 Roches Noires, Casablanca",Morocco,Consumer Packaged Goods,$1.6B,Cosumar SA,"1,380",$1.0B,212 52 2678300,www.cosumar.co.ma
"Insjon, Leksand, 79385",Sweden,Retailing,$410.6M,Clas Ohlson AB,"3,186",$1.0B,46 247 44400,www.clasohlson.com/se
"Carretera De Fuencarral A Alcobendas, N 4, Madrid, 28049",Spain,Media,$1.1B,Mediaset Espana Comunicacion SA,"1,587",$1.0B,34 913 966300,www.mediaset.es
"Via Nazionale, 320, Angri, 84012",Italy,Consumer Packaged Goods,,La Doria SpA,810,$1.0B,39 081 5166111,www.gruppoladoria.it
"175 W Jackson Blvd Ste 1000, Chicago, Illinois, 60604-2863",United States of America,Financial Services,$1.3B,Enova International Inc,"1,463",$1.0B,1 312 5684200,www.enova.com
"Sinar Mas Land Plaza, Menara 2, Lt.5 Jl. Mh. Thamrin No 51, Jakarta Pusat, 10350",Indonesia,Paper and Packaging,$1.4B,PT Pabrik Kertas Tjiwi Kimia Tbk,"5,300",$1.0B,62 21 29650800,tjiwikimia.co.id
"Av. Paseo De La Republica N 4675, Lima, 15047",Peru,Construction,$182.8M,AENZA SAA,"33,169",$1.0B,51 1 2136565,www.aenza.com.pe
"3460 Preston Ridge Rd, Alpharetta, Georgia, 30005-2058",United States of America,Paper and Packaging,$561.9M,Neenah Inc,"2,493",$1.0B,1 678 5666500,www.neenah.com
"Giesshuebelstrasse 45, Zuerich, 8045",Switzerland,Industrial Goods and Machinery,$1.4B,Bystronic AG,"3,636",$1.0B,41 44 4682449,www.bystronic.com
"61 Front Street, 2 Church Street, Hamilton, HM11",Bermuda,Financial Services,$4.3B,Essent Group Ltd,350,$1.0B,1 441 2979901,essentgroup.com
"620 Eighth Avenue, 45th Floor, New York, 10018",United States of America,Technology and Communications,$22.1B,Datadog Inc,"3,200",$1.0B,1 917 5126452,www.datadoghq.com
"Xunqiao, Linhai City, Taizhou, Zhejiang, 317024",China,Pharmaceuticals and Healthcare,$4.9B,Zhejiang Huahai Pharmaceutical Co Ltd,"7,019",$1.0B,8657685991096,www.huahaipharm.com
"8-9f, Kingdom Technology Mansion, Gaoxin South Fifth Ave,South Section, Hi-Tech Zone, Nanshan District, Shenzhen, Guangdong, 518057",China,Technology and Communications,$1.8B,Shenzhen Kingdom Sci-Tech Co Ltd,"8,888",$1.0B,86 755 86393989,www.szkingdom.com
"Chiltern Hill, Test City, New Postcode, Chalfont St Peter, SL99FG",United Kingdom,Business and Consumer Services,$1.9B,RWS Holdings PLC,"7,796",$1.0B,44 1753 480200,www.rws.com
"28/F The World Centre, 330 Sen. Gil Puyat Avenue, Manila, 1634",Philippines,Construction,$1.2B,Megaworld Corp,924,$1.0B,63 2 88946431,www.megaworldcorp.com
"22 St. Clair Avenue East, Suite 500, Toronto, Ontario, M4T2S5",Canada,Construction,$3.8B,Choice Properties Real Estate Investment Trust,298,$1.0B,1 416 9606990,www.choicereit.ca
"22 Cherry Hill Dr, Danvers, Massachusetts, 01923-2575",United States of America,Medical Equipment,,Abiomed Inc,"2,003",$1.0B,1 978 7775410,www.abiomed.com
"10th Floor, 350 Mission Street, San Francisco, California, 94105",United States of America,Technology and Communications,$2.0B,Yelp Inc,"4,400",$1.0B,1 303 7962850,www.yelp.com
"8 Temasek Boulevard, #36-02 Suntec Tower Three, Singapore, 038988",Singapore,Agriculture and Forestry,$1.7B,First Resources Ltd,"8,066",$1.0B,65 6 6020200,www.first-resources.com
"Toa Nha Tpbank, So 57, Pho Ly Thuong Kie, Phuong Tran Hung Dao, Quan Hoan Kiem, Hanoi",Vietnam,Financial Services,$1.6B,Tien Phong Commercial Joint Stock Bank,"8,968",$1.0B,84 4 37683683,tpb.vn
"Citeureup Factory Complex, Jl. Mayor Oking Jayaatmaja, Bogor, 16810",Indonesia,Construction,$2.4B,PT Indocement Tunggal Prakarsa Tbk,"4,668",$1.0B,62 21 2512121,www.indocement.co.id
"3 rue de la Reine, Luxembourg, L2418",Luxembourg,Technology and Communications,$245.8M,Solutions 30 SE,"7,487",$1.0B,,www.solutions30.com
"16th Floor, Metroplaza, Tower Ii, 223 Hing Fong Road, Kwai Chung, New Territories, Hong Kong",Hong Kong,Retailing,$242.2M,Texwinca Holdings Ltd,"10,903",$1.0B,852  26107116,www.texwinca.com
"20 Eastbourne Terrace, London, W26LG",United Kingdom,Medical Equipment,$3.0B,LivaNova Plc,"3,000",$1.0B,44 20 33250662,www.livanova.com/home.action
"Seestrasse 103, Maennedorf, 8708",Switzerland,Medical Equipment,$5.6B,Tecan Group Ltd,"3,291",$1.0B,41 44 9228111,www.tecan.com
"6th Floor, No. 106-2, Section 2, Chung Shan North Road, Jhongshan Dist., Taipei, 110",Taiwan,Textiles,$1.9B,Makalot Industrial Co Ltd,"23,773",$1.0B,886 2 23455588,www.makalot.com.tw
"Nsic New Mdbp Building, 3rd Floor, Okhla Industrial Estate, New Delhi, 110020",India,Transport and Logistics,$5.3B,Container Corporation of India Ltd,"1,359",$1.0B,91 11 41222500,www.concorindia.com
"Gotthardstrasse 31, Altdorf, 6460",Switzerland,Industrial Goods and Machinery,$2.8B,Datwyler Holding Inc,"8,679",$1.0B,41 41 8751100,www.datwyler.com
"Oksenoyveien 10, Lysaker, 1366",Norway,Energy and Utilities,$5.6B,Aker ASA,"2,358",$1.0B,47 2 4130000,www.akerasa.com
"One Vision Drive, Natick, Massachusetts, 01760",United States of America,Technology and Communications,$8.8B,Cognex Corp,"2,257",$1.0B,1 508 6503000,www.cognex.com
"Postterminalen, Conrad Mohrsv. 29, P.O. Box 6101, Bergen, 5892",Norway,Transport and Logistics,$744.2M,Odfjell SE,"2,299",$1.0B,47 55 270000,www.odfjell.com
"2-10-3, Nagata-Cho, Chiyoda-Ku, Tokyo, 100-8141",Japan,Technology and Communications,$619.8M,Mitsubishi Research Institute Inc,"4,235",$1.0B,81 3 51572111,www.mri.co.jp
"23f-1, No.98, Shizheng North, 7th Road, Xitun District, Taichung, 407",Taiwan,Consumer Packaged Goods,$3.1B,Nien Made Enterprise Co Ltd,"7,664",$1.0B,886 43 6000999,www.nienmade.com.tw
"Avenida Vicente Suarez Y Calle Sexta, S/N Zona Industrial Nombre De Dios, Chihuahua, 31105",Mexico,Construction,$2.7B,GCC SAB de CV,"3,028",$1.0B,52 614 4423100,www.gcc.com
"7272 Wisconsin Ave., Suite 1800, Bethesda, Maryland, 20814",United States of America,Alternative Energy,$3.2B,Enviva Inc,"1,196",$1.0B,1 301 6575560,www.envivabiomass.com
"Parkgatan 49, Goeteborg, 41138",Sweden,Construction,$6.0B,Fastighets AB Balder,"1,139",$1.0B,46 31 109570,www.balder.se
"8 Amal Street,  Afeq Industrial Park, P.O. Box 435, Rosh Ha'Ayin, 4809229",Israel,Technology and Communications,$1.3B,Partner Communications Co Ltd,"2,588",$1.0B,,www.partner.co.il
"1-1-7 Nishikaniya, Minami-Ku, Minami-ku, Hiroshima-Shi, 732-0804",Japan,Financial Services,,The Hiroshima Bank Ltd,"3,439",$1.0B,81 82 2455151,www.hirogin-hd.co.jp/
"8-15 Nihonbashi Honcho 4-Chome, 3rd Floor Neo Kawai Building, Chuo-Ku, Tokyo, 103-0027",Japan,Consumer Packaged Goods,$151.0M,"Lacto Japan Co., Ltd.",323,$1.0B,81 3 62143831,www.lactojapan.com
"400 Birmingham Hwy, Chattanooga, Tennessee, 37419-2346",United States of America,Transport and Logistics,$486.9M,"Covenant Logistics Group, Inc.","4,500",$1.0B,1 423 8211212,www.covenantlogistics.com
"21680 Haggerty Rd, Northville, Michigan, 48167-8994",United States of America,Automotive,$2.4B,Gentherm Inc,"10,474",$1.0B,1 248 5040500,www.gentherm.com
"Vilaadecans Business Park, Edif. Brasil, Carrer de Catalunya, 83, Barcelona , 08840",Spain,Transport and Logistics,,Vueling Airlines SA,"3,969",$1.0B,34 93 3787878,www.vueling.com
"10th Floor, 6175 South Willow Drive, Greenwood Village, Colorado, 80111",United States of America,Technology and Communications,$1.8B,CSG Systems International Inc,"5,200",$1.0B,1 303 2002000,www.csgi.com
"1-15-1, Nihombashi, Chuo-Ku, Tokyo, 103-0027",Japan,Chemicals,$969.7M,Nihon Parkerizing Co Ltd,"4,353",$1.0B,81 3 32784333,www.parker.co.jp
"Unionbank Plaza, Ortigas Center, Meralco Avenue Cor.Onyx & Sapphire Roads, Pasig, 1605",Philippines,Financial Services,$3.9B,UnionBank of the Philippines,"3,676",$1.0B,63 2 86676388,www.unionbankph.com
"Ole Maaloees Vej 3, Copenhagen N, Shenzhen, Guangdong, 518083",China,Medical Equipment,$3.3B,BGI Genomics Co Ltd,"4,333",$1.0B,86 755 36307065,www.bgi.com
"Carrera 13 No. 27-47, Bogota",Colombia,Financial Services,$952.9M,Banco de Occidente,"3,353",$1.0B,57 1 7464000,www.bancodeoccidente.com.co
"925 West Maude Avenue, Sunnyvale, California, 94085",United States of America,Technology and Communications,,Proofpoint Inc,"3,658",$1.1B,1 408 5174710,www.proofpoint.com
"1661 Worthington Rd Ste 100, West Palm Beach, Florida, 33409-6493",United States of America,Financial Services,$262.3M,Ocwen Financial Corp,"5,700",$1.1B,1 561 6828000,www.ocwen.com
"18-6, Nihombashi Kabuto-Cho, Chuo-Ku, Tokyo, 103-0026",Japan,Consumer Packaged Goods,$371.0M,S&B Foods Inc,"2,122",$1.1B,81 3 36680551,www.sbfoods.co.jp
"36f, Scramble Square, 2-24-12, Shibuya, Shibuya-Ku, Tokyo, 150-6136",Japan,Technology and Communications,$1.5B,mixi Inc,"1,452",$1.1B,81 3 68979500,mixi.co.jp
"214, Muha-Ro, Paltan-Myeon, Hwaseong, 18536",South Korea,Pharmaceuticals and Healthcare,$2.6B,Hanmi Pharmaceuticals Co Ltd,"2,095",$1.1B,82 31 3505600,www.hanmi.co.kr
"3-3-20, Chuo, Aoba-Ku, Sendai-Shi, Miyagi, 980-8777",Japan,Financial Services,$1.3B,The 77 Bank Ltd,"2,754",$1.1B,81 22 2671111,www.77bank.co.jp
"142-48, S. V. Road, Jogeshwari (West), Mumbai, 400093",India,Construction,$3.7B,The Supreme Industries Ltd,"5,228",$1.1B,91 22 67710000,www.supreme.co.in
"No.116, Megan Road, Megan Village, Dacun, 515",Taiwan,Leisure and Arts,$1.8B,Merida Industry Co Ltd,"3,768",$1.1B,886 48 526171,www.merida-bikes.com
"3-28-1, Jingumae, Shibuya-Ku, Tokyo, 150-0001",Japan,Retailing,$399.0M,United Arrows Ltd.,"4,213",$1.1B,81 3 57856325,www.united-arrows.co.jp
"275, Mamedo-Cho, Kohoku-Ku, Yokohama-Shi, Kanagawa, 222-8558",Japan,Technology and Communications,$1.4B,Amano Corp,"4,786",$1.1B,81 45 4011441,www.amano.co.jp
"7501 W Memorial Rd, Oklahoma City, 73142-1404",United States of America,Technology and Communications,$18.0B,Paycom Software Inc,"5,385",$1.1B,1 405 7226900,www.paycom.com
"Riedenmatt 4, Stans, 6370",Switzerland,Technology and Communications,$2.5B,SoftwareONE Holding AG,"8,890",$1.1B,,www.softwareone.com
"No. 1 Jiangdong Avenue, Jintan District, Changzhou, Jiangsu, 213200",China,Clean Technology,$4.5B,China Aviation Lithium Battery Co Ltd,,$1.1B,86 379 60339688,www.calb-tech.com
"Chatham Maritime, Osb House Quayside, Kent, ME44QZ",United Kingdom,Financial Services,$2.7B,OSB Group Plc,"1,826",$1.1B,44 1634 848944,www.osb.co.uk
"No.318, Rueiguang Road, Neihu District, Taipei, 114",Taiwan,Technology and Communications,$654.7M,Systex Corp,"4,363",$1.1B,886 2 77201888,tw.systex.com
"Level 3, Crown Towers, 8 Whiteman Street, Southbank, Melbourne, Victoria, 3006",Australia,Leisure and Arts,,Crown Resorts Ltd,"11,500",$1.1B,61 3 92928824,www.crownresorts.com.au
"Carfrsa Plza Cvzli Mh.Tgy Yl  Cad, No:67a Blok B Maltepe, Istanbul, 34846",Turkey,Retailing,$441.9M,CarrefourSA Carrefour Sabanci Ticaret Merkezi AS,"11,154",$1.1B,90 216 6550000,www.carrefoursa.com
"Fazenda Sao Martinho, S/Nr., Zona Rural, Pradopolis, 14.850-000",Brazil,Chemicals,$1.6B,Sao Martinho SA,"7,869",$1.1B,55 16 39819000,www.saomartinho.com.br
"4-78, 1-chome, Wakinohama-cho, Chuo-ku, Kobe-Shi, Hyogo, 651-0072",Japan,Clean Technology,,Kobelco Eco-Solutions Co Ltd,"1,330",$1.1B,81 78 2328018,www.kobelco-eco.co.jp
"No.22, Section 3, Chungshan North Road, Taipei, 104",Taiwan,Technology and Communications,$2.6B,Tatung Co Ltd,"32,222",$1.1B,886 2 25925252,www.tatung.com.tw
"Plaza Tol Taman Mini Indah, Jakarta, 13550",Indonesia,Construction,$1.5B,PT Jasa Marga (Persero) Tbk,"8,049",$1.1B,62 21 8413630,www.jasamarga.com
"90, Sudo-Ro, Bucheon, 14519",South Korea,Technology and Communications,$1.5B,DB HiTek Co Ltd,"2,004",$1.1B,82 32 6804700,www.dbhitek.co.kr
"36/F, Everbright Centre, 108 Gloucester Road, Hong Kong",Hong Kong,Financial Services,$830.0M,Dah Sing Financial Holdings Ltd,"3,014",$1.1B,852  25078866,www.dahsing.com/html/tc/about_us/aboutus.html
"27 Avenue Carnot, Paris, 91300",France,Energy and Utilities,$605.0M,CGG SA,"3,312",$1.1B,33 1 64474500,www.cgg.com
"Suite 3500, 200 International Circle, Hunt Valley, Maryland, 21030",United States of America,Construction,$6.6B,Omega Healthcare Investors Inc,70,$1.1B,1 410 4271700,www.omegahealthcare.com
"Aleksanterinkatu 52 B, Pl 220, Helsinki, 00100",Finland,Retailing,$355.0M,Stockmann plc,"6,449",$1.1B,358 9 1211,www.stockmanngroup.com
"11 Harbor Park Dr, Port Washington, New York, 11050",United States of America,Retailing,$952.4M,Global Industrial Co,"1,480",$1.1B,1 516 6087000,www.globalindustrial.com
"No. 118 Wenquan Road, Zhaoyuan City, Yantai, Shandong , 265400",China,Metals and Mining,$3.8B,Zhaojin Mining Industry Co Ltd,"6,755",$1.1B,86 535 8266009,en.zhaojin.com.cn
"John M. Keynesplein 33, Amsterdam, 1066EP",Netherlands,Business and Consumer Services,$550.2M,Brunel International NV,"12,219",$1.1B,31 20 3125000,www.brunelinternational.net
"Islami Bk Tower, 40 Dilkusha C/A, Dhaka, 1000",Bangladesh,Financial Services,$561.4M,Islami Bank Bangladesh Ltd,"19,193",$1.1B,880 2 9563040,www.islamibankbd.com
"Wisma Ijm, Jalan Yong Shook Lin, Selangor Darul Ehsan, 46050",Malaysia,Construction,$1.3B,IJM Corporation Berhad,"2,878",$1.1B,60 3 79858288,www.ijm.com
"2/F Dmci Bldg. Pasong Tamo Extension, Makati, 2281",Philippines,Metals and Mining,$2.7B,Semirara Mining and Power Corp,"3,943",$1.1B,63 88 83000,www.semiraramining.com
