country,employees_number_2017,employees_number_2020,founding_year,name,revenue_2017_EU,revenue_2020_EU,sector
Estonia,2,7,2015,Bunker Partner,22060642,101726265,Energy
France,40,130,2006,Tikamoon,12200275,56122322,Ecommerce
Croatia,10,8,2013,S.T.A.R. Digital,699907,3211868,Advertising
UK,29,62,2011,Funding Options,1297717,5922043,Fintech
Italy,8,14,2014,Isimed,1050660,4828920,Health
Switzerland,50,195,2008,"Sonar, SonarQube, SonarCloud, SonarLint",16861349,83632640,Technology
Germany,4,30,2016,Scherer,934994,4285766,Support Services
Italy,14,24,2002,Mycroclean Italia,736000,3366730,Support Services
Italy,8,16,2015,Piscor,1061360,4842410,Ecommerce
Italy,1,3,2016,Marwincar,1114200,5083140,Automobiles
UK,288,1038,1993,Brighton & Hove Albion Football Club,32824451,148505285,Travel & Leisure
Bulgaria,5,60,2015,INPE Transport,398676,1816274,Transport
Poland,266,773,2013,RTB House,45981552,191601076,Technology
France,27,38,2010,Obiz,3389300,15377000,Media
Italy,33,70,2012,VmWay,3525720,15901220,Technology
Poland,8,12,2009,Legimi,1698358,7007093,Media
Germany,5,11,2011,MSG Beauty,645633,2910737,Retail
Germany,4,11,2014,Leogra Trading,1128243,5078464,Retail
Italy,10,32,2012,Benefind,505520,2262490,Technology
Italy,5,13,2017,AB Oil & Gas Service,516640,2310000,Support Services
Spain,14,23,2013,Mailtrack,775341,3445698,Technology
UK,15,33,2013,Bumper,771504,3394214,Fintech
Germany,22,46,2015,OTL - Online Trainer,1492190,6607564,Health
Italy,9,17,2014,Macingo Technologies,361790,1601000,Support Services
Germany,120,210,2014,MYCS,8935361,39355846,Retail
Germany,23,92,2008,Audience Serv,1389534,6107018,Advertising
Italy,4,8,2012,Start,857590,3769100,Telecoms
The Netherlands,8,29,2010,MvH Media,544943,2391654,Sales & Marketing
France,1,2,2010,PURE GAMING,1593667,6984956,Ecommerce
UK,4,8,1998,Parcel Compare,2091995,9085936,Transport
Italy,71,81,1979,Ames Centro Polidiagnostico Strumentale,9235130,40391360,Health
Italy,1,6,2016,Arcadia Italia,743130,3249140,Energy
UK,16,43,2016,Zia Lucia,1119494,4853930,Restaurants
Italy,16,37,1952,Travaglini Costruzioni,1062010,4603740,Construction
Spain,10,81,2008,Versa Design Zycle,2199640,9501888,Technology
Germany,5,15,2016,MAUCHER CONSULT,452091,1952000,Construction
Italy,51,137,2015,Ayes,2510930,10827070,Technology
Italy,1,5,2016,BrandUp Group,630660,2718640,Advertising
Italy,11,19,2012,Opyn,969930,4168220,Financial Services
UK,4,8,2014,VAR Capital,499815,2132001,Financial Services
UK,9,25,2017,StoryTerrace,667467,2843048,Technology
Slovenia,8,22,2009,Blubit,691140,2964852,Technology
France,9,9,2014,ZEN’UP,441271,1891361,Insurance
Germany,17,25,2001,Lörcher Bauunternehmen,917735,3932792,Construction
The Netherlands,23,62,2010,Barcode Architects,1134256,4851997,Architecture
France,9,27,2002,TOP CHALEUR,1702165,7260096,Retail
Italy,52,160,1999,Seingim,3163540,13479380,Construction
UK,21,49,2008,Amphibian Scaffolding,948813,4011415,Construction
Liechtenstein,205,551,2009,Beliani,20298288,93438770,Ecommerce
Sweden,17,45,2011,Hatstore,4195789,17453187,Ecommerce
Italy,19,27,2006,Carpenteria Martino,2286000,9719750,Construction
UK,61,147,2012,CapitalOnTap,19489369,82238372,Fintech
Poland,199,637,2008,Netguru,8933769,34677235,Technology
Italy,6,7,2014,Fazio,799170,3375810,Retail
Germany,37,84,2010,Grillfürst,9145411,38599408,Retail
Italy,14,18,2017,Dealernet,5394020,22704300,Automobiles
Germany,14,57,2013,Alpha Real Estate,28378990,119161137,Property
Belgium,12,74,2013,Appwise,1084812,4546110,Technology
Greece,17,55,2014,Convert Group,666118,2789489,Technology
Sweden,17,65,2013,Revolution Race,21841341,89332521,Ecommerce
France,11,40,2009,GONG Galaxy,2708258,11320706,Retail
Italy,8,8,2011,GDR Costruzioni,376440,1573480,Construction
Italy,1,4,2015,Emporio Elettrico,473640,1979050,Ecommerce
UK,15,87,2012,Exscientia AI,2606296,10807048,Technology
UK,128,324,2005,Featurespace,5688822,23501473,Fintech
France,3,11,2016,XL ENERGIES,2013403,8358760,Energy
Spain,20,43,2015,Claveria,1137450,4715363,Support Services
Germany,3,4,2010,Timberagents,1280989,5302985,Retail
France,2,30,2012,fermeture econ’home,451196,1862632,Construction
Sweden,20,70,2014,NRSE,815449,3268813,Management Consulting
Germany,16,21,2011,SIMWERT,6450759,26386701,Telecoms
UK,2,24,2015,Flex Legal,1064498,4319146,Law
Norway,15,41,2010,Documaster,868552,3328791,Technology
Germany,1,4,2014,Immo-Team Allgäu,5381108,21974565,Construction
Germany,17,57,2014,creditshelf,1201900,4899200,Financial Services
Italy,7,10,2016,Blife,1016480,4133980,Food & Beverage
Italy,9,18,2004,Nohup,1177860,4785480,Technology
Poland,17,56,2012,Noctuai,657377,2443117,Technology
Germany,47,96,2013,Ares,3450000,14000000,Industrial Goods
UK,242,399,2000,Moonpig Group,102139979,411390748,Ecommerce
UK,15,22,2016,Wealth Club,1685348,6774867,Financial Services
France,4,25,2016,FACTORY,3119000,12609000,Property
Spain,2,6,2016,Beck Ingredients,1865319,7532293,Health
Hungary,3,3,2010,Mentors & Partners Group,524552,1822227,Management Consulting
The Netherlands,4,9,2011,SB Supply,1081844,4363977,Ecommerce
Czech Republic,8,24,2015,Mediaboard,572798,2243594,Media
France,20,80,2012,DW TRANS,2357096,9485173,Transport
France,2,4,2006,NACELEXPERT,679247,2727392,Industrial Goods
Germany,14,31,2015,keylight,871779,3499555,Technology
Italy,3,13,2011,Technacy,762200,3059440,Technology
France,12,25,2011,Genoskin,700823,2810120,Chemicals & Pharmaceuticals
UK,12,21,2013,Payment Assist,1518678,5993895,Fintech
Germany,14,65,2013,my Boo,1184000,4706000,Retail
Sweden,11,25,2012,84codes.com,3118698,12120207,Technology
Germany,6,20,2013,KLG LIQUIDA,1267224,5034595,Chemicals & Pharmaceuticals
France,8,35,2011,Ignimission,574323,2280542,Technology
Italy,4,7,2013,Adamant BioNRG,29718000,117997000,Energy
UK,2,5,2015,Xplort,571513,2252358,Interiors
UK,7,12,2010,Bambridge Accountants,855283,3368822,Financial Services
Slovakia,7,13,2016,G2Park,732924,2902148,Property
Italy,2,5,2014,Pelizzari Studio,663100,2625660,Architecture
The Netherlands,4,9,2014,Postex,1334213,5248908,Technology
Italy,5,5,2013,Consorzio Stabile Ambientemilia,2492730,9752760,Waste management & recycling
Italy,6,12,2016,Yocabe’,842600,3293860,Ecommerce
France,19,33,2012,Chez Nestor,2189720,8559263,Property
Italy,2,9,2016,Mint Italia,621500,2415110,Transport
The Netherlands,27,233,2012,Sendcloud,21052232,81775452,Ecommerce
Italy,6,10,2008,Datakey Software Engineering,488940,1898000,Technology
Romania,21,41,2015,Metaminds,8605113,32103084,Cyber Security
Italy,11,29,2012,Time Vision,721090,2793340,Education
Germany,16,36,2013,Werksräder24,3847000,14896000,Automobiles
UK,35,70,2008,FOD Mobility Group,3465675,13309945,Technology
Italy,10,60,2007,Selferg,531960,2050130,Energy
Lithuania,45,94,2012,Poppri Fashion Auctions,3386414,13028856,Ecommerce
UK,156,194,2008,Vizion Network,30862156,117817156,Automobiles
UK,27,66,2017,Beyond Law Group*,2159010,8233616,Law
Germany,13,14,2014,EDA Warehousing,1190000,4570000,Transport
Germany,45,90,2013,BPV,5923571,22704275,Telecoms
France,29,81,2013,Ultra Premium Direct,5422583,20779890,Agricultural Commodities
Spain,12,24,2013,AFR-IX telecom,2593649,9933867,Telecoms
Poland,28,44,2010,Blue energy,1293181,4527970,Cyber Security
France,5,15,2013,C’JUSTE PARIS,628388,2404398,Retail
France,13,44,2007,SOS-accessoire,3848262,14690408,Ecommerce
Germany,18,27,2017,Hannes König,2295632,8750671,Construction
Germany,6,9,2007,ZANATTA media group,2202906,8383859,Advertising
UK,18,20,1997,Wastepack,5924389,22373295,Waste management & recycling
Italy,7,17,2010,Radar Consulting Italia,416960,1580450,Support Services
France,32,53,2014,Agriconomie,9838779,37248117,Agricultural Commodities
Spain,187,364,2014,AnyTech365,4985758,18743704,Technology
UK,4,12,2013,Cladspray Solutions,499484,1863819,Construction
France,10,50,2015,iM Global Partner,8392541,31463692,Financial Services
Italy,2,6,1983,Confinvest,10982110,41130000,Precious metals
France,2,3,2012,Ethic Technology,2229273,8340824,Technology
Italy,6,7,2001,Bomax,19088830,71290680,Telecoms
Germany,4,15,2017,KK-Trade,1174770,4383254,Retail
Germany,4,26,2015,Marsapet,1061642,3960200,Retail
Italy,8,16,2015,Gruppo Tera,5428300,20222750,Ecommerce
Italy,7,14,2009,CodicePlastico,824450,3068430,Technology
Romania,185,426,2005,Tremend,5772716,20679155,Technology
Spain,17,61,2010,Doofinder,1771758,6590434,Technology
Lithuania,80,780,2004,Hostinger,6955394,25860664,Technology
Switzerland,9,39,2013,Catalyx,1627160,6540543,Sales & Marketing
Bulgaria,6,9,2016,Harness Code,599612,2223308,Sales & Marketing
Italy,5,17,2014,Nanoprom Chemicals,749940,2779910,Chemicals & Pharmaceuticals
Spain,27,49,2012,Elite,2716240,10060550,Construction
Poland,26,119,2012,AppUnite,1310532,4424063,Technology
France,2,7,2006,Eskalia et Nakupenda,410775,1515414,Retail
Germany,3,12,2006,LGX Logistics,2191733,8070059,Transport
Portugal,11,22,2015,Polipop,910392,3351671,Industrial Goods
Italy,1,10,2016,StampaSi,691110,2543820,Ecommerce
Italy,45,67,1984,CAM,3336600,12280490,Industrial Goods
France,12,37,2012,Plug In Digital,3743740,13767602,Media
Poland,82,241,2009,Predica,5233937,17589082,Technology
Spain,2,19,2009,Ocean Transport,1304073,4783846,Transport
UK,103,75,1997,Serinus,5474802,19651446,Energy
Germany,20,50,2009,DEMV Deutscher Maklerverbund,1375943,5012841,Financial Services
Spain,53,221,1996,STI Norland,54990779,199822150,Energy
Germany,27,76,2011,HD Elektrotechnik,1158042,4207672,Technology
Italy,1,9,2017,Engenie Group,558480,2025040,Technology
France,25,64,2016,Groupe N.A.T,1156596,4180122,Support Services
Italy,2,5,2015,La Sarraz Pictures,419430,1513710,Media
Germany,5,9,2016,Smart-Planet,1276483,4598207,Retail
Italy,8,49,2015,Sidea Group,674560,2429590,Management Consulting
France,5,17,2004,COUTEAUJAPONAIS.COM,1272558,4579102,Retail
France,20,58,2010,PHYSIDIA,4656191,16746545,Health
Germany,2,3,2013,Horando Deutschland,2257390,8111269,Retail
Poland,22,79,2004,"Diablochairs, Jan Nowak",6549376,21520495,Ecommerce
Sweden,16,28,2011,Parkster,15711602,55139984,Technology
France,5,13,2015,BIOTYFULL,5642145,20248436,Ecommerce
Spain,14,51,2014,Bioksan,1650756,5914732,Food & Beverage
Norway,37,118,1999,Trippel,910070,3057807,Support Services
UK,15,32,2013,Yourparkingspace Limited,3904618,13863431,Technology
France,1,35,2012,Carslift,622989,2226659,Automobiles
Germany,5,11,2009,Zimmerei Nordmann,580537,2074577,Construction
Germany,20,40,2015,SI Silicone Innovation,1018843,3640511,Industrial Goods
Germany,8,12,2010,A.U.E. Genc Warenhandels-UG,5573000,19890000,Retail
Italy,10,18,2010,MGvision,1127170,4010560,Advertising
Italy,13,26,2015,New General Service,433540,1539360,Support Services
France,15,41,2010,ANDRE RENOVATION,3266703,11594389,Construction
Italy,10,14,2017,M.D.G. Components Unipersonale,644440,2283970,Industrial Goods
Bulgaria,5,22,2011,Amco-Bulgaria,1778274,6298606,Retail
UK,16,39,2005,Symprove,3498275,12298843,Personal & Household Goods
UK,10,22,2015,Tecknuovo,7477852,26273556,Technology
France,62,217,2010,Platform.sh,6242232,22077678,Technology
Germany,5,46,2011,ISG Express Logistik,1646307,5822692,Transport
Italy,55,173,2008,Manelli Impresa,12259540,43355980,Construction
Portugal,22,53,2009,SA Formação,1031733,3647652,Education
Germany,3,14,2015,SM SektManufaktur,681652,2408586,Industrial Goods
Germany,8,31,2011,Beauty Consult Deutschland,1055100,3725665,Health
Italy,5,8,1977,Finauto,3350270,11789870,Automobiles
France,18,21,2009,AuCOFFRE.com,32428296,114037838,Financial Services
UK,37,46,2014,Divido,1084616,3786036,Fintech
Germany,6,17,2016,R&K Ingenieure,1482100,5210500,Construction
UK,11,25,2011,Nephos Technologies,5031697,17559447,Technology
UK,8,15,2002,La Vida,2178629,7572128,Support Services
UK,4,12,2012,Midstream Lighting,2363526,8204844,Technology
France,2,2,2014,PROPULSE IT,1809858,6326861,Technology
Spain,25,30,2012,Additius Santa Maria,9100083,31757362,Agricultural Commodities
France,3,15,2017,CONEXIO TELECOM,547084,1908640,Telecoms
Germany,5,9,2012,Tripin,1568506,5465080,Retail
Hungary,4,9,1996,Continental Wood Kft.,910973,2724073,Industrial Goods
Italy,71,120,2008,GeoTeam,2195780,7623730,Energy
France,4,7,2014,Leascorp,5325214,18481247,Financial Services
UK,3,19,2014,Positive Healthcare,1954609,6731831,Management Consulting
Germany,4,8,2010,Ralph Schmolke,658317,2281929,Retail
Italy,2,10,2016,Roomie Milano,1079340,3728920,Property
Romania,40,89,2007,Trencadis Corp,6137755,20410511,Technology
France,4,11,2016,WORTEKS,541582,1870845,Technology
France,27,74,2015,REMOVE,2608093,8988475,Construction
Czech Republic,15,27,2006,Citadelo,452557,1556521,Cyber Security
Germany,13,26,2017,Grill Autoservice,5283415,18141216,Automobiles
Spain,8,15,2013,Inbrooll,776268,2663110,Industrial Goods
Germany,3,4,2010,Cross,25858983,88590000,Retail
Italy,2,6,2010,B1gas S.p.A,12106480,41474660,Energy
Italy,8,10,2009,Filva,1808710,6188900,Construction
Italy,2,6,2005,Archingest,1030000,3515000,Construction
UK,51,124,2009,Alpha FX Group,15241075,51640733,Financial Services
Switzerland,7,50,2012,lemonads,1451770,4952255,Advertising
Norway,71,213,2007,Signicat,13309441,42514150,Technology
Germany,41,55,1965,Alfred Döpker,22730529,77358225,Construction
Germany,42,88,2001,Bavaria-Ei,3842670,13067279,Retail
Lithuania,57,245,2015,Oxylabs.io,7381686,25040954,Technology
Germany,2,5,2014,A.S.H. Automobile,687958,2333452,Automobiles
Hungary,18,57,2007,Vascular,9987236,29099679,Health
France,30,57,2015,ANDJARO,943718,3189298,Support Services
Germany,22,34,2013,Röhrtaler Wertstoff,973460,3286187,Waste management & recycling
UK,6,7,2016,Autel Karnetic,2543343,8520830,Technology
Italy,8,10,2013,Discoup.com,616520,2075110,Advertising
Cyprus,52,85,2011,Hellas Direct,10247832,34488971,Insurance
Germany,30,45,2009,HERRLES,3044054,10242075,Automobiles
Austria,6,12,2016,Investmentpunk Academy,947000,3179000,Education
Germany,6,13,2015,Born Stahlbau,1351164,4527093,Industrial Goods
Germany,5,7,2016,RETTEL Projektbau,2410212,8073458,Construction
Italy,2,4,2005,Suntronic,700960,2347320,Energy
Italy,6,42,2014,TMT,3811838,12763524,Industrial Goods
Germany,2,5,2015,Gedankenburg,881275,2950010,Advertising
Sweden,6,16,2013,SVOP Special Vehicle Operation,1385662,4526309,Automobiles
UK,132,415,2011,Glenholme Healthcare Group,4476517,14845073,Health
France,230,720,2013,AUDENSIEL,17203160,57451279,Technology
Spain,34,106,2011,Ivnosys,2618069,8743069,Technology
Spain,30,45,2012,Mulconsa,2002982,6687402,Construction
Germany,14,54,2004,50NRTH,10518963,35107348,Retail
Croatia,6,10,2008,Delecto,793957,2649288,Retail
Poland,7,47,2015,Mardruk Opakowania,1058063,3226645,Industrial Goods
France,15,40,2012,MANANG,1862272,6205559,Construction
Germany,21,27,2011,bestbion dx,4461170,14863628,Health
UK,7,21,2015,Avamore Capital,772943,2552248,Financial Services
Germany,13,30,2011,Solaris and more,1414501,4692660,Energy
UK,8,11,2015,Clearcycle,660767,2176368,Retail
France,12,35,2005,Opteamis,4180523,13856500,Support Services
Spain,10,20,2010,Codenor,1926967,6385196,Construction
France,8,18,2015,HAPPYBULLE,1271353,4209975,Ecommerce
UK,46,158,2013,Aurora Energy Research,4587687,15079425,Energy
Spain,19,14,2003,Bacci,7265350,24048302,Fashion
Italy,8,25,2013,Emilia Foods,8110160,26824140,Food & Beverage
Italy,82,211,2001,T.E.A.M. - Ti educa a migliorare,1020690,3370490,Health
Poland,30,75,2016,Brainhub,1163241,3513741,Technology
Italy,10,9,2016,Assitech,810750,2675750,Construction
UK,4,11,2016,Schott Packaging,694501,2272847,Ecommerce
Italy,12,30,2010,Alba,1001740,3299330,Energy
UK,219,740,2013,FinTrU,9915609,32392546,Financial Services
Italy,4,5,2011,Global Edilizia,1226000,4028000,Construction
UK,2,381,2016,TPXimpact,17515305,57093437,Management Consulting
Italy,6,9,2010,LGS SportLab,1222870,4014220,Advertising
Germany,4,45,2005,Weiser Brandschutz & Technik,1825769,5986199,Construction
UK,13,47,2013,Fairfax and Favor,5602279,18178322,Fashion
France,39,85,2014,FAO Consulting,2384156,7781600,Technology
Italy,8,37,2010,Gruppo Del Barba Consulting,1794120,5855040,Financial Services
UK,62,109,2003,Exclaimer,8075796,26143857,Technology
Italy,25,77,2013,Join Business Management Consulting,3128700,10189790,Management Consulting
Germany,27,57,2003,Vennes,5244000,17048000,Construction
The Netherlands,7,31,2013,Piggy,906341,2946126,Technology
Finland,40,130,2007,Epassi,63207258,205312456,Fintech
Germany,150,315,2010,Atheneum Partners,10300000,33400000,Technology
UK,211,454,1999,Pharmacy2U,48580102,156232906,Technology
France,6,18,2011,PHOENIX DEVELOPPEMENT,556159,1797294,Support Services
Germany,10,25,2016,Wiwie Transport,1300000,4200000,Transport
Romania,23,31,2003,Mevas Auto Center,834708,2595034,Automobiles
Germany,21,35,2015,BK Beachhouse Mode,1602458,5172479,Retail
Italy,3,9,2015,F.lli Urso,622800,2009090,Construction
UK,61,166,2011,GoHenry,6882489,22020382,Financial Services
Italy,634,816,2014,Adrilog,17727950,57057180,Transport
UK,2,6,2015,Attachment,2250946,7191249,Advertising
France,15,25,2015,PARIS HERBES,4020469,12934943,Agricultural Commodities
France,37,28,2015,Interlog Logistic,1703819,5480946,Transport
Italy,34,75,1975,Conglomerati Bituminosi,10393680,33371870,Construction
Belgium,5,26,2010,Nikkel Art,1172617,3762160,Ecommerce
Italy,9,25,2011,Esyen,1206770,3868940,Technology
UK,104,165,2014,Sav-eco Packaging Ltd,5322238,16923940,Industrial Goods
Germany,8,19,2016,Elmar Mair Tiefbau,719638,2302685,Construction
Spain,12,15,2014,ATLAS Innovative Engineering,1094666,3495981,Energy
France,48,76,2010,SECURE-IC,2171492,6934182,Technology
France,16,36,2014,DATALYO,1111687,3544255,Technology
UK,14,29,2016,Signify Technology,805029,2547992,Management Consulting
UK,20,59,2017,BOXT,12127395,38373430,Ecommerce
UK,55,158,2010,James and James Fulfilment,9762332,30887883,Ecommerce
Italy,5,9,2014,Armonie,879670,2803150,Food & Beverage
Italy,1,5,2017,Maverick Group,1674690,5313290,Technology
Italy,10,29,2012,Brainpull,1344240,4264120,Advertising
France,4,15,2014,Wiseband,516164,1636674,Media
France,4,15,2013,Groupe Ezdo La Boulangerie Des Gourmets,12867410,40777823,Agricultural Commodities
Poland,257,396,2010,Pakar Service,3363800,9729642,Support Services
France,62,117,2000,BIO-UV,10181000,32175000,Industrial Goods
Italy,2,14,2015,F.G. Service,809450,2554140,Construction
Italy,2,125,2012,Allways Logistics System,3033150,9569120,Transport
Sweden,75,164,2013,Matsmart,16075963,49576899,Ecommerce
Germany,2,5,2016,autargo,573070,1807173,Construction
Norway,7,9,2015,Brewshop.no,1484883,4392988,Food & Beverage
Italy,3,15,2016,Visualitics,676000,2131000,Technology
Germany,14,32,2016,HiFi extra,15610826,49190436,Retail
Germany,70,150,2013,Ankerkraut,8271702,26010474,Food & Beverage
Italy,98,205,2008,GDA,6615000,20745690,Fashion
Italy,9,25,2006,Nexid,859960,2696270,Technology
Italy,7,16,2013,GS Studio & Service,666210,2087000,Energy
Italy,60,160,2006,Neosperience,5229000,16367000,Technology
Slovenia,11,16,2010,Lunos,2031522,6356404,Technology
Italy,39,71,2013,Meic Costruzioni,3342120,10456300,Construction
UK,12,14,2016,Trident Lifting Solutions Ltd,5105700,15846632,Construction
Germany,28,69,2010,Smart Battery Solutions,3264000,10203000,Technology
Germany,10,20,2003,eu-bay Commerce,2601485,8122686,Retail
Germany,6,20,2009,Jens Rabe Academy,1171373,3655345,Education
UK,407,1251,2010,Hyperoptic,18649681,57766084,Telecoms
France,2,21,2009,SEPALE,2531055,7879983,Energy
Italy,19,33,2005,3A Informatica,633990,1970000,Telecoms
France,10,22,2014,EMSPROTO,1009846,3136947,Ecommerce
France,9,13,2011,Laboratoires Dermosun,1815835,5626849,Chemicals & Pharmaceuticals
Italy,13,23,2013,Saico,2177950,6737600,Construction
Italy,9,19,1956,Nutis,2124990,6566530,Food & Beverage
Poland,12,23,2011,Ogrodosfera.pl,4693330,13256472,Ecommerce
France,17,30,2010,SVTI,1290312,3981300,Industrial Goods
Italy,13,38,2011,Enhancers,1087520,3352210,Technology
France,6,16,2012,AGRIPOWER FRANCE,2498792,7701275,Waste management & recycling
Italy,8,18,2014,Next Turbo Technologies,3080610,9481040,Industrial Goods
Italy,46,98,2013,Velvet Media Italia,1759490,5411160,Advertising
Italy,9,35,2016,Booster Box,667837,2049365,Advertising
Slovakia,3,2,2014,RMF Group,1072117,3289892,Food & Beverage
UK,89,140,2005,Darwin Group Limited,23141358,70393894,Construction
Poland,90,230,2012,ITFS,3730405,10446862,Technology
France,9,25,2015,SKILLSDAY,1031988,3154795,Education
Finland,23,34,2010,Gapps,2850000,8707000,Technology
Italy,6,15,1984,Maxfel,720650,2201160,Interiors
Spain,33,55,2012,Herrero Brigantina,4832212,14725853,Insurance
Italy,3,6,2016,Manitech,1263420,3834910,Industrial Goods
Italy,6,16,2016,Tradeco,1944720,5889890,Industrial Goods
France,13,28,2012,MON CHASSEUR IMMO,1585727,4794423,Property
France,20,75,2013,UpSlide,2737704,8274214,Support Services
France,5,18,2015,COGECLIM ENERGIES,868406,2622506,Construction
Hungary,10,14,2004,Cellarius,989785,2571079,Sales & Marketing
Germany,75,141,2014,careful-service,1173908,3537769,Health
Lithuania,24,30,2007,Softneta,590642,1778249,Health
UK,64,161,2016,Progeny,5561585,16601337,Financial Services
France,29,57,2009,Web Geo Services,8022358,24114000,Technology
Germany,n/a,n/a,2013,Spedition Ibov,1140000,3424863,Transport
Germany,21,25,2014,MyPostcard.com,2119022,6358307,Retail
Germany,2,3,2013,VARIOSAN,1078808,3233968,Retail
Germany,8,36,2013,Riedle + Bertsch,777849,2331579,Technology
Italy,23,50,1999,Mobili Fiver,3973460,11897820,Interiors
France,11,46,2015,KLC DESAMIANTAGE,2065220,6182419,Construction
France,3,6,2014,SECRET ARTS OF SPIRITS,1105569,3308224,Retail
UK,68,184,2011,MPB Group Limited,24429686,72503245,Ecommerce
Germany,5,12,2016,3zehn Auto Discount,8527777,25448057,Automobiles
France,50,67,2012,ADIKTEEV,15292051,45616000,Technology
Germany,3,50,2009,Fundis Reitsport,2370645,7066208,Retail
Germany,9,17,2009,Antriebstechnik Ebner-Seibold,753352,2245423,Retail
Belgium,30,102,2011,Invibes Advertising,3880663,11530000,Technology
Italy,18,34,2014,Jointly il welfare condiviso,808700,2400550,Support Services
Sweden,10,23,2012,ABTOT Mark & Anläggning AB,3450305,9983094,Construction
Germany,10,36,2012,DUSAPRO Immobilien,11484801,33903865,Property
France,4,8,2012,SOLDATS FILMS,787160,2320653,Media
Italy,120,287,2016,Eagleprojects,5137900,15140480,Telecoms
Italy,15,43,2013,Agile Lab,1897650,5590450,Technology
Norway,4,8,2012,importpris.no,1126971,3113197,Ecommerce
Germany,18,72,2011,truu,4245861,12472561,Industrial Goods
France,5,15,2016,L’Atelier,1461226,4288024,Technology
Germany,7,22,2014,frigoclim Kälte-Klima,1326082,3890690,Construction
Germany,3,5,2013,M Coffee Company,722795,2117442,Retail
France,12,22,2011,PROTEXTYL,1818032,5324116,Retail
France,14,18,2009,SP architecte,964998,2825876,Construction
Spain,54,178,2011,Embargos a lo bestia,7709375,22559217,Retail
Ireland,2,3,2011,Snigel,7000063,20479764,Technology
Germany,5,120,2006,IMS Rettungsdienst,650000,1900000,Health
Italy,1,16,2017,Way2Global SB,828820,2411600,Support Services
UK,3,33,2014,Media Access Solutions,1181642,3407930,Support Services
Spain,21,44,2008,Exadi,14649568,42525086,Sales and Marketing
Germany,10,29,2014,Fiber-Service-Gesellschaft,1395607,4049655,Telecoms
Poland,140,280,2010,TenderHut (Group),3868483,10264611,Technology
Spain,12,30,2016,Worldwide Fishing Company,48449141,140442673,Food & Beverage
Italy,26,43,2013,Doctor Hail spa,6246592,18101114,Automobiles
Germany,650,1500,2011,KBS Group,14500000,42006000,Support Services
Estonia,5,12,2017,Terre Ehitus,723064,2089215,Construction
Germany,7,19,2013,Bauer Energiekonzepte,12554325,36223730,Energy
Italy,26,77,2001,New Euroart,3226280,9307640,Construction
Italy,8,16,2015,Capelli For You,575120,1658750,Beauty
UK,133,371,2014,Ogury,37992902,108758853,Advertising
Germany,7,17,2017,TFT Ernst,698300,2012427,Construction
UK,31,55,2001,Somerford Associates,6564162,18757685,Technology
Germany,12,38,2012,ARCADIA Investment,2818652,8102218,Property
Italy,112,186,2009,FiloBlu,19351090,55564420,Management Consulting
UK,8,21,2016,Tribus Digital,685567,1952800,Technology
Italy,20,35,2014,DoIT,1060000,3040000,Technology
UK,8,23,2009,Global Perspectives,2329522,6631496,Health
Italy,8,25,1999,Pirene,527910,1512680,Support Services
UK,39,183,2012,iPulse,36995102,105149602,Personal & Household Goods
Germany,23,47,2002,blue networks,2322241,6626713,Technology
Germany,20,35,2009,N. Schwegler,3686000,10514000,Construction
Germany,7,15,2002,Marcus Lutz Bau,659402,1874438,Construction
Germany,3,4,2008,HKR-Technik,2462478,6996880,Retail
Germany,18,30,2007,Licht + Strom,1424633,4039340,Technology
Germany,15,40,2009,Die Autowelt,5915499,16754654,Automobiles
France,4,9,2012,ARTHEAU AVIATION,3977562,11263318,Aerospace & Defence
Italy,13,22,2000,Cepo,1592170,4503670,Industrial Goods
France,1,2,2013,Sneakers & Jackets,1022714,2888273,Financial Services
UK,11,26,2009,89up,647020,1814237,Advertising
France,na,4,2016,LUXURY & PERFORMANCE SELECTION,2281929,6444045,Automobiles
UK,117,395,2012,Grayce Group,6381674,17890928,Management Consulting
Italy,1,4,1993,Nemesi Italia,581520,1640000,Technology
UK,12,40,1994,Halo Service Solutions,1799189,5037087,Technology
UK,36,73,2012,Raspberry Pi,28668484,80066074,Technology
Italy,8,17,2010,Giopato & Coombes,1944000,5467910,Interiors
Germany,4,8,2016,Ship it,1207009,3391041,Retail
Germany,19,47,2012,Rheinische Scheidestätte,29564866,83044963,Retail
Poland,34,90,2011,Whites Agency,1586246,4076348,Advertising
Italy,1,38,2017,Casa di Riposo Medicalizzata Sempione*,867960,2436000,Health
Poland,135,269,2014,CShark,4608343,11828515,Technology
Italy,30,47,2015,Zinox Laser,2269510,6364000,Interiors
Italy,14,20,2013,Tera Automation,1778890,4987860,Industrial Goods
Italy,12,16,2014,Innova Hts,3137630,8792400,Health
Czech Republic,8,20,2013,Kentigen,554004,1507867,Technology
Belgium,13,23,2015,Teal Partners,1386701,3873750,Technology
Italy,16,47,2010,LM Medical Division,4040060,11281040,Health
Germany,25,47,2003,BEC,2809036,7843183,Technology
Croatia,41,81,1995,Xylon,1610149,4491888,Technology
Germany,2,9,2017,Spedition Kai Rindert,1083821,3018684,Transport
Italy,16,22,2009,CO.GE.SA. Costruzioni Generali Saba,1241760,3453730,Construction
Sweden,13,20,2010,Skärgårdstunnan/Skargards,5547537,15082088,Ecommerce
Italy,1,14,2015,Autonova Milano,1006280,2790680,Automobiles
Germany,25,40,2011,Polarstern,10925375,30270074,Energy
