"Ticker symbol","Security","SEC filings","GICS Sector","Address of Headquarters","CIK"
"PKI","PerkinElmer","reports","Health Care","Waltham, Massachusetts","0000031791"
"PRGO","Perrigo","reports","Health Care","Dublin, Ireland","0001585364"
"PFE","Pfizer Inc.","reports","Health Care","New York, New York","0000078003"
"PCG","PG&E Corp.","reports","Utilities","San Francisco, California","0001004980"
"PM","Philip Morris International","reports","Consumer Staples","New York, New York","0001413329"
"PSX","Phillips 66","reports","Energy","Houston, Texas","0001534701"
"PNW","Pinnacle West Capital","reports","Utilities","Phoenix, Arizona","0000764622"
"PXD","Pioneer Natural Resources","reports","Energy","Irving, Texas","0001038357"
"PBI","Pitney-Bowes","reports","Industrials","Stamford, Connecticut","0000078814"
"PNC","PNC Financial Services","reports","Financials","Pittsburgh, Pennsylvania","0000713676"
"RL","Polo Ralph Lauren Corp.","reports","Consumer Discretionary","New York, New York","0001037038"
"PPG","PPG Industries","reports","Materials","Pittsburgh, Pennsylvania","0000079879"
"PPL","PPL Corp.","reports","Utilities","Allentown, Pennsylvania","0000922224"
"PX","Praxair Inc.","reports","Materials","Danbury, Connecticut","0000884905"
"CFG","Citizens Financial Group","reports","Financials","Providence, Rhode Island","0000759944"
"PCLN","Priceline.com Inc","reports","Consumer Discretionary","Norwalk, Connecticut","0001075531"
"PFG","Principal Financial Group","reports","Financials","Des Moines, Iowa","0001126328"
"PG","Procter & Gamble","reports","Consumer Staples","Cincinnati, Ohio","0000080424"
"PGR","Progressive Corp.","reports","Financials","Mayfield Village, Ohio","0000080661"
"PLD","Prologis","reports","Financials","San Francisco, California","0001045609"
"PRU","Prudential Financial","reports","Financials","Newark, New Jersey","0001137774"
"PEG","Public Serv. Enterprise Inc.","reports","Utilities","Newark, New Jersey","0000788784"
"PSA","Public Storage","reports","Financials","Glendale, California","0001393311"
"PHM","Pulte Homes Inc.","reports","Consumer Discretionary","Atlanta, Georgia","0000822416"
"PVH","PVH Corp.","reports","Consumer Discretionary","New York, New York","0000078239"
"QRVO","Qorvo","reports","Information Technology","Hillsboro, Oregon","0001604778"
"PWR","Quanta Services Inc.","reports","Industrials","Houston, Texas","0001050915"
"QCOM","QUALCOMM Inc.","reports","Information Technology","San Diego, California","0000804328"
"DGX","Quest Diagnostics","reports","Health Care","Madison, New Jersey","0001022079"
"RRC","Range Resources Corp.","reports","Energy","Fort Worth, Texas","0000315852"
"RTN","Raytheon Co.","reports","Industrials","Waltham, Massachusetts","0001047122"
"O","Realty Income Corporation","reports","Financials","San Diego, California","0000726728"
"RHT","Red Hat Inc.","reports","Information Technology","Raleigh, North Carolina","0001087423"
"REGN","Regeneron","reports","Health Care","Tarrytown, New York","0000872589"
"RF","Regions Financial Corp.","reports","Financials","Birmingham, Alabama","0001281761"
"RSG","Republic Services Inc","reports","Industrials","Phoenix, Arizona","0001060391"
"RAI","Reynolds American Inc.","reports","Consumer Staples","Winston-Salem, North Carolina","0001275283"
"RHI","Robert Half International","reports","Industrials","Menlo Park, California","0000315213"
"ROK","Rockwell Automation Inc.","reports","Industrials","Milwaukee, Wisconsin","0001024478"
"COL","Rockwell Collins","reports","Industrials","Cedar Rapids, Iowa","0001137411"
"ROP","Roper Industries","reports","Industrials","Sarasota, Florida","0000882835"
"ROST","Ross Stores","reports","Consumer Discretionary","Pleasanton, California","0000745732"
"RCL","Royal Caribbean Cruises Ltd","reports","Consumer Discretionary","Miami, Florida","0000884887"
"R","Ryder System","reports","Industrials","Miami, Florida","0000085961"
"CRM","Salesforce.com","reports","Information Technology","San Francisco, California","0001108524"
"SCG","SCANA Corp","reports","Utilities","Cayce, South Carolina","0000754737"
"SLB","Schlumberger Ltd.","reports","Energy","Curaçao, Kingdom of the Netherlands","0000087347"
"SNI","Scripps Networks Interactive Inc.","reports","Consumer Discretionary","Cincinnati, Ohio","0001430602"
"STX","Seagate Technology","reports","Information Technology","Dublin, Ireland","0001137789"
"SEE","Sealed Air","reports","Materials","Elmwood Park, New Jersey","0001012100"
"SRE","Sempra Energy","reports","Utilities","San Diego, California","0001032208"
"SHW","Sherwin-Williams","reports","Materials","Cleveland, Ohio","0000089800"
"SIG","Signet Jewelers","reports","Consumer Discretionary","Hamilton, Bermuda","0000832988"
"SPG","Simon Property Group Inc","reports","Financials","Indianapolis, Indiana","0001063761"
"SWKS","Skyworks Solutions","reports","Information Technology","Woburn, Massachusetts","0000004127"
"SLG","SL Green Realty","reports","Financials","New York, New York","0001040971"
"SJM","Smucker (J.M.)","reports","Consumer Staples","Orrville, Ohio","0000091419"
"SNA","Snap-On Inc.","reports","Consumer Discretionary","Kenosha, Wisconsin","0000091440"
"SO","Southern Co.","reports","Utilities","Atlanta, Georgia","0000092122"
"LUV","Southwest Airlines","reports","Industrials","Dallas, Texas","0000092380"
"SWN","Southwestern Energy","reports","Energy","Houston, Texas","0000007332"
"SE","Spectra Energy Corp.","reports","Energy","Houston, Texas","0001373835"
"SPGI","S&P Global, Inc.","reports","Financials","New York, New York","0000064040"
"STJ","St Jude Medical","reports","Health Care","Little Canada, Minnesota","0000203077"
"SWK","Stanley Black & Decker","reports","Consumer Discretionary","New Britain, Connecticut","0000093556"
"SPLS","Staples Inc.","reports","Consumer Discretionary","Framingham, Massachusetts","0000791519"
"SBUX","Starbucks Corp.","reports","Consumer Discretionary","Seattle, Washington","0000829224"
"STT","State Street Corp.","reports","Financials","Boston, Massachusetts","0000093751"
"SRCL","Stericycle Inc","reports","Industrials","Lake Forest, Illinois","0000861878"
"SYK","Stryker Corp.","reports","Health Care","Kalamazoo, Michigan","0000310764"
"STI","SunTrust Banks","reports","Financials","Atlanta, Georgia","0000750556"
"SYMC","Symantec Corp.","reports","Information Technology","Mountain View, California","0000849399"
"SYF","Synchrony Financial","reports","Financials","Stamford, Connecticut","0001601712"
"SYY","Sysco Corp.","reports","Consumer Staples","Houston, Texas","0000096021"
"TROW","T. Rowe Price Group","reports","Financials","Baltimore, Maryland","0001113169"
"TGT","Target Corp.","reports","Consumer Discretionary","Minneapolis, Minnesota","0000027419"
"TEL","TE Connectivity Ltd.","reports","Information Technology","Schaffhausen, Switzerland","0001385157"
"TGNA","Tegna","reports","Consumer Discretionary","McLean, Virginia","0000039899"
"TDC","Teradata Corp.","reports","Information Technology","Miamisburg, Ohio","0000816761"
"TSO","Tesoro Petroleum Co.","reports","Energy","San Antonio, Texas","0000050104"
"TXN","Texas Instruments","reports","Information Technology","Dallas, Texas","0000097476"
"TXT","Textron Inc.","reports","Industrials","Providence, Rhode Island","0000217346"
"COO","The Cooper Companies","reports","Health Care","Pleasanton, California","0000711404"
"HSY","The Hershey Company","reports","Consumer Staples","Hershey, Pennsylvania","0000047111"
"TRV","The Travelers Companies Inc.","reports","Financials","New York, New York","0000086312"
"TMO","Thermo Fisher Scientific","reports","Health Care","Waltham, Massachusetts","0000097745"
"TIF","Tiffany & Co.","reports","Consumer Discretionary","New York, New York","0000098246"
"TWX","Time Warner Inc.","reports","Consumer Discretionary","New York, New York","0001105705"
"TJX","TJX Companies Inc.","reports","Consumer Discretionary","Framingham, Massachusetts","0000109198"
"TMK","Torchmark Corp.","reports","Financials","McKinney, Texas","0000320335"
"TSS","Total System Services","reports","Information Technology","Columbus, Georgia","0000721683"
"TSCO","Tractor Supply Company","reports","Consumer Discretionary","Brentwood, Tennessee","0000916365"
"TDG","TransDigm Group","reports","Industrials","Cleveland, Ohio","0001260221"
"RIG","Transocean","reports","Energy","Vernier, Switzerland","0001451505"
"TRIP","TripAdvisor","reports","Consumer Discretionary","Newton, Massachusetts","0001526520"
"FOXA","Twenty-First Century Fox Class A","reports","Consumer Discretionary","New York, New York","0001308161"
"FOX","Twenty-First Century Fox Class B","reports","Consumer Discretionary","New York, New York","0001308161"
"TSN","Tyson Foods","reports","Consumer Staples","Springdale, Arkansas","0000100493"
"UDR","UDR Inc","reports","Financials","Highlands Ranch, Colorado","0000074208"
"ULTA","Ulta Salon Cosmetics & Fragrance Inc","reports","Consumer Discretionary","Bolingbrook, Illinois","0001403568"
"USB","U.S. Bancorp","reports","Financials","Minneapolis, Minnesota","0000036104"
"UA","Under Armour","reports","Consumer Discretionary","Baltimore, Maryland","0001336917"
"UA.C","Under Armour","reports","Consumer Discretionary","Baltimore, Maryland","0001336917"
"UNP","Union Pacific","reports","Industrials","Omaha, Nebraska","0000100885"
"UAL","United Continental Holdings","reports","Industrials","Chicago, Illinois","0000100517"
"UNH","United Health Group Inc.","reports","Health Care","Minnetonka, Minnesota","0000731766"
"UPS","United Parcel Service","reports","Industrials","Atlanta, Georgia","0001090727"
"URI","United Rentals, Inc.","reports","Industrials","Stamford, Connecticut","0001067701"
"UTX","United Technologies","reports","Industrials","Hartford, Connecticut","0000101829"
"UHS","Universal Health Services, Inc.","reports","Health Care","King of Prussia, Pennsylvania","0000352915"
"UNM","Unum Group","reports","Financials","Chattanooga, Tennessee","0000005513"
"URBN","Urban Outfitters","reports","Consumer Discretionary","Philadelphia, Pennsylvania","0000912615"
"VFC","V.F. Corp.","reports","Consumer Discretionary","Greensboro, North Carolina","0000103379"
"VLO","Valero Energy","reports","Energy","San Antonio, Texas","0001035002"
"VAR","Varian Medical Systems","reports","Health Care","Palo Alto, California","0000203527"
"VTR","Ventas Inc","reports","Financials","Chicago, Illinois","0000740260"
"VRSN","Verisign Inc.","reports","Information Technology","Dulles, Virginia","0001014473"
"VRSK","Verisk Analytics","reports","Industrials","Jersey City, New Jersey","0001442145"
"VZ","Verizon Communications","reports","Telecommunications Services","New York, New York","0000732712"
"VRTX","Vertex Pharmaceuticals Inc","reports","Health Care","Cambridge, Massachusetts","0000875320"
"VIAB","Viacom Inc.","reports","Consumer Discretionary","New York, New York","0001339947"
"V","Visa Inc.","reports","Information Technology","San Francisco, California","0001403161"
"VNO","Vornado Realty Trust","reports","Financials","New York, New York","0000899689"
"VMC","Vulcan Materials","reports","Materials","Birmingham, Alabama","0001396009"
"WMT","Wal-Mart Stores","reports","Consumer Staples","Bentonville, Arkansas","0000104169"
"WBA","Walgreens Boots Alliance","reports","Consumer Staples","Deerfield, Illinois","0001618921"
"DIS","The Walt Disney Company","reports","Consumer Discretionary","Burbank, California","0001001039"
"WM","Waste Management Inc.","reports","Industrials","Houston, Texas","0000823768"
"WAT","Waters Corporation","reports","Health Care","Milford, Massachusetts","0001000697"
"WFC","Wells Fargo","reports","Financials","San Francisco, California","0000072971"
"HCN","Welltower Inc.","reports","Financials","Toledo, Ohio","0000766704"
"WDC","Western Digital","reports","Information Technology","Irvine, California","0000106040"
"WU","Western Union Co","reports","Information Technology","Englewood, Colorado","0001365135"
"WRK","Westrock Co","reports","Materials","Richmond, Virginia","0001636023"
"WY","Weyerhaeuser Corp.","reports","Financials","Federal Way, Washington","0000106535"
"WHR","Whirlpool Corp.","reports","Consumer Discretionary","Benton Harbor, Michigan","0000106640"
"WFM","Whole Foods Market","reports","Consumer Staples","Austin, Texas","0000865436"
"WMB","Williams Cos.","reports","Energy","Tulsa, Oklahoma","0000107263"
"WLTW","Willis Towers Watson","reports","Financials","London, United Kingdom","0001140536"
"WEC","Wisconsin Energy Corporation","reports","Utilities","Milwaukee, Wisconsin","0000783325"
"WYN","Wyndham Worldwide","reports","Consumer Discretionary","Parsippany, New Jersey","0001361658"
"WYNN","Wynn Resorts Ltd","reports","Consumer Discretionary","Las Vegas, Nevada","0001174922"
"XEL","Xcel Energy Inc","reports","Utilities","Minneapolis, Minnesota","0000072903"
"XRX","Xerox Corp.","reports","Information Technology","Norwalk, Connecticut","0000108772"
"XLNX","Xilinx Inc","reports","Information Technology","San Jose, California","0000743988"
"XL","XL Capital","reports","Financials","Hamilton, Bermuda","0000875159"
"XYL","Xylem Inc.","reports","Industrials","White Plains, New York","0001524472"
"YHOO","Yahoo Inc.","reports","Information Technology","Sunnyvale, California","0001011006"
"YUM","Yum! Brands Inc","reports","Consumer Discretionary","Louisville, Kentucky","0001041061"
"ZBH","Zimmer Biomet Holdings","reports","Health Care","Warsaw, Indiana","0001136869"
"ZION","Zions Bancorp","reports","Financials","Salt Lake City, Utah","0000109380"
"ZTS","Zoetis","reports","Health Care","Florham Park, New Jersey","0001555280"
"Ticker symbol","Security","SEC filings","GICS Sector","Address of Headquarters","CIK"
"MMM","3M Company","reports","Industrials","St. Paul, Minnesota","0000066740"
"ABT","Abbott Laboratories","reports","Health Care","North Chicago, Illinois","0000001800"
"ABBV","AbbVie","reports","Health Care","North Chicago, Illinois","0001551152"
"ACN","Accenture plc","reports","Information Technology","Dublin, Ireland","0001467373"
"ATVI","Activision Blizzard","reports","Information Technology","Santa Monica, California","0000718877"
"AYI","Acuity Brands Inc","reports","Industrials","Atlanta, Georgia","0001144215"
"ADBE","Adobe Systems Inc","reports","Information Technology","San Jose, California","0000796343"
"AAP","Advance Auto Parts","reports","Consumer Discretionary","Roanoke, Virginia","0001158449"
"AES","AES Corp","reports","Utilities","Arlington, Virginia","0000874761"
"AET","Aetna Inc","reports","Health Care","Hartford, Connecticut","0001122304"
"AFL","AFLAC Inc","reports","Financials","Columbus, Georgia","0000004977"
"AMG","Affiliated Managers Group Inc","reports","Financials","Beverly, Massachusetts","0001004434"
"A","Agilent Technologies Inc","reports","Health Care","Santa Clara, California","0001090872"
"APD","Air Products & Chemicals Inc","reports","Materials","Allentown, Pennsylvania","0000002969"
"AKAM","Akamai Technologies Inc","reports","Information Technology","Cambridge, Massachusetts","0001086222"
"ALK","Alaska Air Group Inc","reports","Industrials","Seattle, Washington","0000766421"
"ALB","Albemarle Corp","reports","Materials","Baton Rouge, Louisiana","0000915913"
"AA","Alcoa Inc","reports","Materials","New York, New York","0000004281"
"AGN","Allergan plc","reports","Health Care","Dublin, Ireland","0000884629"
"LNT","Alliant Energy Corp","reports","Utilities","Madison, Wisconsin","0000352541"
"ALXN","Alexion Pharmaceuticals","reports","Health Care","Cheshire, Connecticut","0000899866"
"ALLE","Allegion","reports","Industrials","Dublin, Ireland","0001579241"
"ADS","Alliance Data Systems","reports","Information Technology","Plano, Texas","0001101215"
"ALL","Allstate Corp","reports","Financials","Northfield Township, Illinois","0000899051"
"GOOGL","Alphabet Inc Class A","reports","Information Technology","Mountain View, California","0001652044"
"GOOG","Alphabet Inc Class C","reports","Information Technology","Mountain View, California","0001652044"
"MO","Altria Group Inc","reports","Consumer Staples","Richmond, Virginia","0000764180"
"AMZN","Amazon.com Inc","reports","Consumer Discretionary","Seattle, Washington","0001018724"
"AEE","Ameren Corp","reports","Utilities","St. Louis, Missouri","0001002910"
"AAL","American Airlines Group","reports","Industrials","Fort Worth, Texas","0000006201"
"AEP","American Electric Power","reports","Utilities","Columbus, Ohio","0000004904"
"AXP","American Express Co","reports","Financials","New York, New York","0000004962"
"AIG","American International Group, Inc.","reports","Financials","New York, New York","0000005272"
"AMT","American Tower Corp A","reports","Financials","Boston, Massachusetts","0001053507"
"AWK","American Water Works Company Inc","reports","Utilities","Voorhees, New Jersey","0001410636"
"AMP","Ameriprise Financial","reports","Financials","Minneapolis, Minnesota","0000820027"
"ABC","AmerisourceBergen Corp","reports","Health Care","Chesterbrook, Pennsylvania","0001140859"
"AME","Ametek","reports","Industrials","Berwyn, Pennsylvania","0001037868"
"AMGN","Amgen Inc","reports","Health Care","Thousand Oaks, California","0000318154"
"APH","Amphenol Corp A","reports","Industrials","Wallingford, Connecticut","0000820313"
"APC","Anadarko Petroleum Corp","reports","Energy","The Woodlands, Texas","0000773910"
"ADI","Analog Devices, Inc.","reports","Information Technology","Norwood, Massachusetts","0000006281"
"ANTM","Anthem Inc.","reports","Health Care","Indianapolis, Indiana","0001156039"
"AON","Aon plc","reports","Financials","London, United Kingdom","0000315293"
"APA","Apache Corporation","reports","Energy","Houston, Texas","0000006769"
"AIV","Apartment Investment & Mgmt","reports","Financials","Denver, Colorado","0000922864"
"AAPL","Apple Inc.","reports","Information Technology","Cupertino, California","0000320193"
"AMAT","Applied Materials Inc","reports","Information Technology","Santa Clara, California","0000006951"
"ADM","Archer-Daniels-Midland Co","reports","Consumer Staples","Decatur, Illinois","0000007084"
"AJG","Arthur J. Gallagher & Co.","reports","Financials","Itasca, Illinois","0000354190"
"AIZ","Assurant Inc","reports","Financials","New York, New York","0001267238"
"T","AT&T Inc","reports","Telecommunications Services","Dallas, Texas","0000732717"
"ADSK","Autodesk Inc","reports","Information Technology","San Rafael, California","0000769397"
"ADP","Automatic Data Processing","reports","Information Technology","Roseland, New Jersey","0000008670"
"AN","AutoNation Inc","reports","Consumer Discretionary","Fort Lauderdale, Florida","0000350698"
"AZO","AutoZone Inc","reports","Consumer Discretionary","Memphis, Tennessee","0000866787"
"AVGO","Avago Technologies","reports","Information Technology","San Jose, California","0001441634"
"AVB","AvalonBay Communities, Inc.","reports","Financials","Arlington, Virginia","0000915912"
"AVY","Avery Dennison Corp","reports","Materials","Glendale, California","0000008818"
"BHI","Baker Hughes Inc","reports","Energy","Houston, Texas","0000808362"
"BLL","Ball Corp","reports","Materials","Broomfield, Colorado","0000009389"
"BAC","Bank of America Corp","reports","Financials","Charlotte, North Carolina","0000070858"
"BK","The Bank of New York Mellon Corp.","reports","Financials","New York, New York","0001390777"
"BCR","Bard (C.R.) Inc.","reports","Health Care","Murray Hill, New Jersey","0000009892"
"BAX","Baxter International Inc.","reports","Health Care","Deerfield, Illinois","0000010456"
"BBT","BB&T Corporation","reports","Financials","Winston-Salem, North Carolina","0000092230"
"BDX","Becton Dickinson","reports","Health Care","Franklin Lakes, New Jersey","0000010795"
"BBBY","Bed Bath & Beyond","reports","Consumer Discretionary","Union, New Jersey","0000886158"
"BRK-B","Berkshire Hathaway","reports","Financials","Omaha, Nebraska","0001067983"
"BBY","Best Buy Co. Inc.","reports","Consumer Discretionary","Richfield, Minnesota","0000764478"
"BIIB","BIOGEN IDEC Inc.","reports","Health Care","Weston, Massachusetts","0000875045"
"BLK","BlackRock","reports","Financials","New York, New York","0001364742"
"HRB","Block H&R","reports","Financials","Kansas City, Missouri","0000012659"
"BA","Boeing Company","reports","Industrials","Chicago, Illinois","0000012927"
"BWA","BorgWarner","reports","Consumer Discretionary","Auburn Hills, Michigan","0000908255"
"BXP","Boston Properties","reports","Financials","Boston, Massachusetts","0001037540"
"BSX","Boston Scientific","reports","Health Care","Marlborough, Massachusetts","0000885725"
"BMY","Bristol-Myers Squibb","reports","Health Care","New York, New York","0000014272"
"BF-B","Brown-Forman Corporation","reports","Consumer Staples","Louisville, Kentucky","0000014693"
"CHRW","C. H. Robinson Worldwide","reports","Industrials","Eden Prairie, Minnesota","0001043277"
"CA","CA, Inc.","reports","Information Technology","Islandia, New York","0000356028"
"COG","Cabot Oil & Gas","reports","Energy","Houston, Texas","0000858470"
"CPB","Campbell Soup","reports","Consumer Staples","Camden, New Jersey","0000016732"
"COF","Capital One Financial","reports","Financials","Tysons Corner, Virginia","0000927628"
"CAH","Cardinal Health Inc.","reports","Health Care","Dublin, Ohio","0000721371"
"HSIC","Henry Schein","reports","Health Care","Melville, New York","0001000228"
"KMX","Carmax Inc","reports","Consumer Discretionary","Richmond, Virginia","0001170010"
"CCL","Carnival Corp.","reports","Consumer Discretionary","Miami, Florida","0000815097"
"CAT","Caterpillar Inc.","reports","Industrials","Peoria, Illinois","0000018230"
"CBG","CBRE Group","reports","Financials","Los Angeles, California","0001138118"
"CBS","CBS Corp.","reports","Consumer Discretionary","New York, New York","0000813828"
"CELG","Celgene Corp.","reports","Health Care","Summit, New Jersey","0000816284"
"CNC","Centene Corporation","reports","Health Care","St Louis, Missouri","0001071739"
"CNP","CenterPoint Energy","reports","Utilities","Houston, Texas","0001130310"
"CTL","CenturyLink Inc","reports","Telecommunications Services","Monroe, Louisiana","0000018926"
"CERN","Cerner","reports","Health Care","North Kansas City, Missouri","0000804753"
"CF","CF Industries Holdings Inc","reports","Materials","Deerfield, Illinois","0001324404"
"SCHW","Charles Schwab Corporation","reports","Financials","San Francisco, California","0000316709"
"CHTR","Charter Communications","reports","Consumer Discretionary","Stamford, Connecticut","0001091667"
"CHK","Chesapeake Energy","reports","Energy","Oklahoma City, Oklahoma","0000895126"
"CVX","Chevron Corp.","reports","Energy","San Ramon, California","0000093410"
"CMG","Chipotle Mexican Grill","reports","Consumer Discretionary","Denver, Colorado","0001058090"
"CB","Chubb Limited","reports","Financials","Zurich, Switzerland","0000896159"
"CHD","Church & Dwight","reports","Consumer Staples","Ewing, New Jersey","0000313927"
"CI","CIGNA Corp.","reports","Health Care","Philadelphia, Pennsylvania","0000701221"
"XEC","Cimarex Energy","reports","Energy","Denver, Colorado","0001168054"
"CINF","Cincinnati Financial","reports","Financials","Fairfield, Ohio","0000020286"
"CTAS","Cintas Corporation","reports","Industrials","Mason, Ohio","0000723254"
"CSCO","Cisco Systems","reports","Information Technology","San Jose, California","0000858877"
"C","Citigroup Inc.","reports","Financials","New York, New York","0000831001"
"CTXS","Citrix Systems","reports","Information Technology","Fort Lauderdale, Florida","0000877890"
"CLX","The Clorox Company","reports","Consumer Staples","Oakland, California","0000021076"
"CME","CME Group Inc.","reports","Financials","Chicago, Illinois","0001156375"
"CMS","CMS Energy","reports","Utilities","Jackson, Michigan","0000811156"
"COH","Coach Inc.","reports","Consumer Discretionary","New York, New York","0001116132"
"KO","The Coca Cola Company","reports","Consumer Staples","Atlanta, Georgia","0000021344"
"CTSH","Cognizant Technology Solutions","reports","Information Technology","Teaneck, New Jersey","0001058290"
"CL","Colgate-Palmolive","reports","Consumer Staples","New York, New York","0000021665"
"CMCSA","Comcast A Corp","reports","Consumer Discretionary","Philadelphia, Pennsylvania","0001166691"
"CMA","Comerica Inc.","reports","Financials","Dallas, Texas","0000028412"
"CAG","ConAgra Foods Inc.","reports","Consumer Staples","Omaha, Nebraska","0000023217"
"CXO","Concho Resources","reports","Energy","Midland, Texas","0001358071"
"COP","ConocoPhillips","reports","Energy","Houston, Texas","0001163165"
"ED","Consolidated Edison","reports","Utilities","New York, New York","0001047862"
"STZ","Constellation Brands","reports","Consumer Staples","Victor, New York","0000016918"
"GLW","Corning Inc.","reports","Industrials","Corning, New York","0000024741"
"COST","Costco Co.","reports","Consumer Staples","Issaquah, Washington","0000909832"
"COTY","Coty, Inc","reports","Consumer Staples","New York, NY","0001024305"
"CCI","Crown Castle International Corp.","reports","Financials","Houston, Texas","0001051470"
"CSRA","CSRA Inc.","reports","Information Technology","Falls Church, Virginia","0001646383"
"CSX","CSX Corp.","reports","Industrials","Jacksonville, Florida","0000277948"
"CMI","Cummins Inc.","reports","Industrials","Columbus, Indiana","0000026172"
"CVS","CVS Health","reports","Consumer Staples","Woonsocket, Rhode Island","0000064803"
"DHI","D. R. Horton","reports","Consumer Discretionary","Fort Worth, Texas","0000882184"
"DHR","Danaher Corp.","reports","Industrials","Washington, D.C.","0000313616"
"DRI","Darden Restaurants","reports","Consumer Discretionary","Orlando, Florida","0000940944"
"DVA","DaVita Inc.","reports","Health Care","Denver, Colorado","0000927066"
"DE","Deere & Co.","reports","Industrials","Moline, Illinois","0000315189"
"DLPH","Delphi Automotive","reports","Consumer Discretionary","Gillingham, Kent, United Kingdom","0001521332"
"DAL","Delta Air Lines","reports","Industrials","Atlanta, Georgia","0000027904"
"XRAY","Dentsply Sirona","reports","Health Care","York, Pennsylvania","0000818479"
"DVN","Devon Energy Corp.","reports","Energy","Oklahoma City, Oklahoma","0001090012"
"DLR","Digital Realty Trust","reports","Financials","San Francisco, California","0001297996"
"DFS","Discover Financial Services","reports","Financials","Riverwoods, Illinois","0001393612"
"DISCA","Discovery Communications-A","reports","Consumer Discretionary","Silver Spring, Maryland","0001437107"
"DISCK","Discovery Communications-C","reports","Consumer Discretionary","Silver Spring, Maryland","0001437107"
"DG","Dollar General","reports","Consumer Discretionary","Goodlettsville, Tennessee","0000029534"
"DLTR","Dollar Tree","reports","Consumer Discretionary","Chesapeake, Virginia","0000935703"
"D","Dominion Resources","reports","Utilities","Richmond, Virginia","0000715957"
"DOV","Dover Corp.","reports","Industrials","Downers Grove, Illinois","0000029905"
"DOW","Dow Chemical","reports","Materials","Midland, Michigan","0000029915"
"DPS","Dr Pepper Snapple Group","reports","Consumer Staples","Plano, Texas","0001418135"
"DTE","DTE Energy Co.","reports","Utilities","Detroit, Michigan","0000936340"
"DD","Du Pont (E.I.)","reports","Materials","Wilmington, Delaware","0000030554"
"DUK","Duke Energy","reports","Utilities","Charlotte, North Carolina","0001326160"
"DNB","Dun & Bradstreet","reports","Industrials","Short Hills, New Jersey","0001115222"
"ETFC","E*Trade","reports","Financials","New York, New York","0001015780"
"EMN","Eastman Chemical","reports","Materials","Kingsport, Tennessee","0000915389"
"ETN","Eaton Corporation","reports","Industrials","Dublin, Ireland","0001551182"
"EBAY","eBay Inc.","reports","Information Technology","San Jose, California","0001065088"
"ECL","Ecolab Inc.","reports","Materials","St. Paul, Minnesota","0000031462"
"EIX","Edison Int'l","reports","Utilities","Rosemead, California","0000827052"
"EW","Edwards Lifesciences","reports","Health Care","Irvine, California","0001099800"
"EA","Electronic Arts","reports","Information Technology","Redwood City, California","0000712515"
"EMR","Emerson Electric Company","reports","Industrials","Ferguson, Missouri","0000032604"
"ENDP","Endo International","reports","Health Care","Dublin, Ireland","0001100962"
"ETR","Entergy Corp.","reports","Utilities","New Orleans, Louisiana","0000065984"
"EOG","EOG Resources","reports","Energy","Houston, Texas","0000821189"
"EQT","EQT Corporation","reports","Energy","Pittsburgh, Pennsylvania","0000033213"
"EFX","Equifax Inc.","reports","Financials","Atlanta, Georgia","0000033185"
"EQIX","Equinix","reports","Information Technology","Redwood City, California","0001101239"
"EQR","Equity Residential","reports","Financials","Chicago, Illinois","0000906107"
"ESS","Essex Property Trust Inc","reports","Financials","Palo Alto, California","0000920522"
"EL","Estee Lauder Cos.","reports","Consumer Staples","New York, New York","0001001250"
"ES","Eversource Energy","reports","Utilities","Springfield, Massachusetts","0000072741"
"EXC","Exelon Corp.","reports","Utilities","Chicago, Illinois","0001109357"
"EXPE","Expedia Inc.","reports","Consumer Discretionary","Bellevue, Washington","0001324424"
"EXPD","Expeditors Int'l","reports","Industrials","Seattle, Washington","0000746515"
"ESRX","Express Scripts","reports","Health Care","Cool Valley, Missouri","0001532063"
"EXR","Extra Space Storage","reports","Financials","Salt Lake City, UT","0001289490"
"XOM","Exxon Mobil Corp.","reports","Energy","Irving, Texas","0000034088"
"FFIV","F5 Networks","reports","Information Technology","Seattle, Washington","0001048695"
"FB","Facebook","reports","Information Technology","Menlo Park, California","0001326801"
"FAST","Fastenal Co","reports","Industrials","Winona, Minnesota","0000815556"
"FRT","Federal Realty Investment Trust","reports","Financials","Rockville, Maryland","0000034903"
"FDX","FedEx Corporation","reports","Industrials","Memphis, Tennessee","0001048911"
"FIS","Fidelity National Information Services","reports","Information Technology","Jacksonville, Florida","0001136893"
"FITB","Fifth Third Bancorp","reports","Financials","Cincinnati, Ohio","0000035527"
"FSLR","First Solar Inc","reports","Information Technology","Tempe, Arizona","0001274494"
"FE","FirstEnergy Corp","reports","Utilities","Akron, Ohio","0001031296"
"FISV","Fiserv Inc","reports","Information Technology","Brookfield, Wisconsin","0000798354"
"FLIR","FLIR Systems","reports","Industrials","Wilsonville, Oregon","0000354908"
"FLS","Flowserve Corporation","reports","Industrials","Irving, Texas","0000030625"
"FLR","Fluor Corp.","reports","Industrials","Irving, Texas","0001124198"
"FMC","FMC Corporation","reports","Materials","Philadelphia, Pennsylvania","0000037785"
"FTI","FMC Technologies Inc.","reports","Energy","Houston, Texas","0001135152"
"FL","Foot Locker Inc","reports","Consumer Discretionary","New York, New York","0000850209"
"F","Ford Motor","reports","Consumer Discretionary","Dearborn, Michigan","0000037996"
"FTV","Fortive Corp","reports","Industrials","Everett, Washington","0001659166"
